Date,Portfolio_Value
2021-02-01,1.0178008404960295
2021-02-02,1.0317013133013675
2021-02-03,1.0521523839539455
2021-02-04,1.0778765920239057
2021-02-05,1.0764894339601054
2021-02-08,1.0996803528521113
2021-02-09,1.1129275169895003
2021-02-10,1.1307555391892945
2021-02-11,1.1411701725739651
2021-02-12,1.1323173339606265
2021-02-15,1.1313189991793255
2021-02-16,1.1363738774512566
2021-02-17,1.1413841623940182
2021-02-18,1.1567257281428374
2021-02-19,1.159308705817899
2021-02-22,1.1542154683417298
2021-02-23,1.1793504925348883
2021-02-24,1.1986258460593953
2021-02-25,1.2125948316887012
2021-02-26,1.2300709983542784
2021-03-01,1.2520992878373585
2021-03-02,1.2783225143364505
2021-03-03,1.3021355555155991
2021-03-04,1.2962348521598919
2021-03-05,1.2732232221035977
2021-03-08,1.264455619216775
2021-03-09,1.2413819732356444
2021-03-10,1.2466935392126326
2021-03-12,1.2363857547487318
2021-03-15,1.2268289109699246
2021-03-16,1.231204253092589
2021-03-17,1.194279308142057
2021-03-18,1.1648288858440117
2021-03-19,1.1871885874610733
2021-03-22,1.2090085617488318
2021-03-23,1.2363551205294092
2021-03-24,1.2299812939832448
2021-03-25,1.1882541702318703
2021-03-26,1.1897047798648261
2021-03-30,1.1859150881133314
2021-03-31,1.177409866435968
2021-03-31,1.1868384403135737
2021-04-01,1.2275346396799107
2021-04-05,1.2287446825433437
2021-04-06,1.2420828521662446
2021-04-07,1.2451690681690806
2021-04-08,1.2346699431417532
2021-04-09,1.2587980554656406
2021-04-12,1.1824459821083397
2021-04-13,1.2031033260661383
2021-04-15,1.2012220539442917
2021-04-16,1.2072742299976416
2021-04-19,1.1981700613145538
2021-04-20,1.2150913060781912
2021-04-22,1.2192881022595838
2021-04-23,1.228611796569553
2021-04-26,1.2524291041707272
2021-04-27,1.2884973276498397
2021-04-28,1.2973654866124253
2021-04-29,1.2925522564419736
2021-04-30,1.2855993776848331
2021-04-30,1.2833409642969087
2021-05-03,1.3130863163579882
2021-05-04,1.3042786144395748
2021-05-05,1.3095288237142164
2021-05-06,1.3281024257528513
2021-05-07,1.340295363206208
2021-05-10,1.3504357286918176
2021-05-11,1.34958420422756
2021-05-12,1.3479828894543102
2021-05-14,1.32410447583009
2021-05-17,1.3405214099211842
2021-05-18,1.3606087747160431
2021-05-19,1.3845185376391176
2021-05-20,1.387558549674677
2021-05-21,1.4120768503149395
2021-05-24,1.4240276902536164
2021-05-25,1.4253400364580548
2021-05-26,1.4391669359162127
2021-05-27,1.4556583051877685
2021-05-28,1.4388719757960122
2021-05-31,1.4342935234872767
2021-05-31,1.434201176546018
2021-06-01,1.4289119939829162
2021-06-02,1.4611921911317038
2021-06-03,1.485553738562088
2021-06-04,1.505837309673813
2021-06-07,1.5183777053340648
2021-06-08,1.534191494277289
2021-06-09,1.5297118974744077
2021-06-10,1.5545599606688525
2021-06-11,1.5591541754259632
2021-06-14,1.568238107353869
2021-06-15,1.545728202605317
2021-06-16,1.5106214423956545
2021-06-17,1.4768237018267802
2021-06-18,1.4610430839381718
2021-06-21,1.47840979644269
2021-06-22,1.4979560679077373
2021-06-23,1.47852384659191
2021-06-24,1.4634260680443016
2021-06-25,1.4641560983847894
2021-06-28,1.445219151725564
2021-06-29,1.443717252360065
2021-06-30,1.4384753380129294
2021-06-30,1.4451574796396265
2021-07-01,1.4565906461101057
2021-07-02,1.46567649318597
2021-07-05,1.480685958985227
2021-07-06,1.4845235102493015
2021-07-07,1.4916173407551605
2021-07-08,1.484817196799859
2021-07-09,1.4820474885077333
2021-07-12,1.4817962998947651
2021-07-13,1.4961442624890697
2021-07-14,1.5073047587654278
2021-07-15,1.5397912048107392
2021-07-16,1.550930883196704
2021-07-19,1.5310080060282183
2021-07-20,1.5150907383052887
2021-07-22,1.5492097904006918
2021-07-23,1.5703100830993562
2021-07-26,1.5972412498621027
2021-07-27,1.6124884622496616
2021-07-28,1.6090469611298719
2021-07-29,1.6069067045892835
2021-07-30,1.5971520709964964
2021-08-02,1.6278537369534793
2021-08-03,1.6159879532305448
2021-08-04,1.5825900048386348
2021-08-05,1.5557363841822018
2021-08-06,1.5658188655526672
2021-08-09,1.5524600371238695
2021-08-10,1.493046308620899
2021-08-11,1.4587473094982413
2021-08-12,1.5088168848433559
2021-08-13,1.5069238107739285
2021-08-16,1.4865419928420835
2021-08-17,1.4637982817624442
2021-08-18,1.4529506166340296
2021-08-20,1.4160958840870395
2021-08-23,1.3744926165370002
2021-08-24,1.3999567842002831
2021-08-25,1.419320677412373
2021-08-26,1.436107724886374
2021-08-27,1.4568338234182292
2021-08-30,1.4858644550580917
2021-08-31,1.48070290749476
2021-08-31,1.499562609690419
2021-09-01,1.5117423081250951
2021-09-02,1.5289179012908798
2021-09-03,1.5275971080967854
2021-09-06,1.526687812705974
2021-09-07,1.5118044409936728
2021-09-08,1.5365246007317244
2021-09-09,1.5611730872920104
2021-09-13,1.58090138598478
2021-09-14,1.588104598811813
2021-09-15,1.595067766463157
2021-09-16,1.5944574842116361
2021-09-17,1.5841650075394098
2021-09-20,1.5694617795863517
2021-09-21,1.5836630067910116
2021-09-22,1.583591765278616
2021-09-23,1.6050550588029813
2021-09-24,1.592704559602477
2021-09-27,1.6014755502780023
2021-09-28,1.6040994980179266
2021-09-29,1.6165042671168315
2021-09-30,1.634399736158871
2021-09-30,1.6637381324658864
2021-10-01,1.6949743893421187
2021-10-04,1.7361041997084838
2021-10-05,1.7729753075326344
2021-10-06,1.781908198198725
2021-10-07,1.8146470023471528
2021-10-08,1.8212984646489359
2021-10-11,1.8603850255129963
2021-10-12,1.8488385470014437
2021-10-13,1.8237021014361836
2021-10-14,1.822635034213219
2021-10-18,1.8475622409204966
2021-10-19,1.8234590999270714
2021-10-20,1.7783325934801728
2021-10-21,1.7762972925104596
2021-10-22,1.7670776620520985
2021-10-25,1.7579247446081092
2021-10-26,1.798569189147126
2021-10-27,1.8414566260886842
2021-10-28,1.818457003133563
2021-10-29,1.8089880954675586
2021-11-01,1.8291677258123757
2021-11-02,1.8603175924604274
2021-11-03,1.8698596304201636
2021-11-04,1.8957602652651195
2021-11-08,1.909879628308898
2021-11-09,1.9343669964677381
2021-11-10,1.952897043245173
2021-11-11,1.9777586466041088
2021-11-12,1.9996478589793827
2021-11-15,1.994781157606951
2021-11-16,2.0010718212164176
2021-11-17,1.99089707808692
2021-11-18,1.9636329394560916
2021-11-22,1.9346593465642012
2021-11-23,1.9794585251100976
2021-11-24,2.021624363794848
2021-11-25,2.0825897880756647
2021-11-26,2.0554991293429254
2021-11-29,1.991662910510256
2021-11-30,1.9952888043997152
2021-11-30,1.9954119553669223
2021-12-01,2.0012653182408653
2021-12-02,2.023487671720804
2021-12-03,2.040819582327864
2021-12-06,2.0631198528690073
