Metric,Value
Portfolio Volatility,23.04
Sharpe,2.64
VaR95,-2.25
CVaR95,-2.92
Current Drawdown,-0.43
Max Drawdown,-16.54
Largest Position,4.33
Top5 Exposure,20.43
Top10 Exposure,38.06
Health Score,88.69
