TIMESTAMP,VERSION,GIT_COMMIT,REGIME,CAGR,SHARPE,MAX_DRAWDOWN,VOLATILITY,WIN_RATE,PORTFOLIO_SIZE
2026-06-02 20:12:10,1,6c0523e,BEAR,48.28,2.39,-32.08,20.17,58.78,12
2026-06-02 20:20:07,2,e4406db,BEAR,48.28,2.39,-32.08,20.17,58.78,12
2026-06-02 20:27:40,3,06928d0,BEAR,48.28,2.39,-32.08,20.17,58.78,12
2026-06-04 07:10:33,4,f9f070c,BEAR,48.28,2.39,-32.08,20.17,58.78,12
2026-06-04 07:10:38,5,f9f070c,BEAR,48.28,2.39,-32.08,20.17,58.78,12
2026-06-04 07:10:52,6,f9f070c,BEAR,48.28,2.39,-32.08,20.17,58.78,12
2026-06-04 07:11:01,7,f9f070c,BEAR,48.28,2.39,-32.08,20.17,58.78,12
2026-06-04 07:16:46,8,4832fad,BEAR,48.28,2.39,-32.08,20.17,58.78,12
2026-06-04 08:12:04,9,037441f,BEAR,48.28,2.39,-32.08,20.17,58.78,12
2026-06-04 08:49:54,10,7a726f9,BEAR,48.28,2.39,-32.08,20.17,58.78,12
2026-06-04 10:33:46,11,41219ae,BEAR,48.28,2.39,-32.08,20.17,58.78,12
2026-06-04 10:55:08,12,06963b5,LOW_VOL,48.28,2.39,-32.08,20.17,58.78,12
2026-06-04 12:39:50,13,ad854da,LOW_VOL,48.28,2.39,-32.08,20.17,58.78,12
2026-06-04 13:08:41,14,5f37230,LOW_VOL,48.28,2.39,-32.08,20.17,58.78,12
2026-06-04 18:06:31,15,0ca9a9a,LOW_VOL,48.28,2.39,-32.08,20.17,58.78,12
2026-06-04 22:56:42,16,18d8344,LOW_VOL,48.28,2.39,-32.08,20.17,58.78,12
2026-06-05 08:08:14,17,193a097,LOW_VOL,48.28,2.39,-32.08,20.17,58.78,12
2026-06-05 08:36:19,18,e3fe31c,LOW_VOL,48.28,2.39,-32.08,20.17,58.78,12
2026-06-05 09:04:12,19,0293394,LOW_VOL,48.28,2.39,-32.08,20.17,58.78,12
2026-06-05 10:42:22,20,15e1cf3,LOW_VOL,48.28,2.39,-32.08,20.17,58.78,12
2026-06-05 11:08:29,21,6a17412,LOW_VOL,48.28,2.39,-32.08,20.17,58.78,12
2026-06-05 11:56:08,22,5a3145a,LOW_VOL,48.28,2.39,-32.08,20.17,58.78,12
2026-06-05 12:02:17,23,3d7d163,LOW_VOL,48.28,2.39,-32.08,20.17,58.78,12
2026-06-05 12:31:02,24,083c088,LOW_VOL,48.28,2.39,-32.08,20.17,58.78,12
