Metric,Value
CAGR,218.98
Annual Volatility,26.27
Sharpe Ratio,8.11
Max Drawdown,-11.83
Benchmark CAGR,"Ticker
^NSEI    59.94
Name: 2026-06-02 00:00:00, dtype: float64"
Alpha,"Ticker
^NSEI    159.03
Name: 2026-06-02 00:00:00, dtype: float64"
