Metric,Value
Total Return,1.137
CAGR,2.5816
Volatility,0.2536
Sharpe Ratio,9.9447
Sortino Ratio,19.1727
Calmar Ratio,24.6014
Max Drawdown,-0.1049
Win Rate,63.33
Beta,
Alpha,
Information Ratio,
Treynor Ratio,
