Date,Portfolio_Value
2020-01-02,1.0080206571941677
2020-01-03,1.0132916869643342
2020-01-06,0.9956893981556043
2020-01-07,1.0000271075754348
2020-01-08,1.0026896968440955
2020-01-09,1.0097480914792736
2020-01-10,1.015256307427448
2020-01-13,1.0276763794439514
2020-01-14,1.0301550253392515
2020-01-15,1.034128229820889
2020-01-16,1.0332971370426278
2020-01-17,1.0386953421101728
2020-01-20,1.0399613416455549
2020-01-21,1.0399279257565766
2020-01-22,1.0384926469838833
2020-01-23,1.0395851112263397
2020-01-24,1.037226699459849
2020-01-27,1.0364886648436418
2020-01-28,1.0313658370663956
2020-01-29,1.03463015394008
2020-01-30,1.0254639385247852
2020-01-31,1.0260643211942617
2020-02-03,1.0171861378526563
2020-02-04,1.0247702990927052
2020-02-05,1.0321392306033146
2020-02-06,1.031669538751423
2020-02-07,1.0370295147647564
2020-02-10,1.040694028417267
2020-02-11,1.0457272449372421
2020-02-12,1.0444365362917245
2020-02-13,1.04435883598038
2020-02-14,1.0468400092395695
2020-02-17,1.048259759810125
2020-02-18,1.0511422655751135
2020-02-19,1.0569719466988543
2020-02-20,1.0571103044004522
2020-02-24,1.0594097604218837
2020-02-25,1.0654637792519888
2020-02-26,1.0554225447995405
2020-02-27,1.0434740849287931
2020-02-28,1.0010157305953107
2020-03-02,0.9825401169549508
2020-03-03,0.9834480083103012
2020-03-04,0.9757441077289685
2020-03-05,0.9712185254593924
2020-03-06,0.9525378974897801
2020-03-09,0.9129488430197025
2020-03-11,0.9047563100735799
2020-03-12,0.8492043583647744
2020-03-13,0.8430181044689075
2020-03-16,0.8137852934957114
2020-03-17,0.8032062593200626
2020-03-18,0.7741373334004971
2020-03-19,0.7554426820054781
2020-03-20,0.7637066183634571
2020-03-23,0.7237630942912208
2020-03-24,0.7236184441328091
2020-03-25,0.7314961674770926
2020-03-26,0.7447510016401507
2020-03-27,0.7338908525336013
2020-03-30,0.7325094780123518
2020-03-31,0.742491344889832
2020-04-01,0.7356346172980338
2020-04-03,0.750378935421514
2020-04-07,0.7694807424427047
2020-04-08,0.7818289454126885
2020-04-09,0.8059309238805231
2020-04-13,0.8284734309070702
2020-04-15,0.8269838993725139
2020-04-16,0.8315426590517174
2020-04-17,0.8400722156186475
2020-04-20,0.8490197255362947
2020-04-21,0.8349774521212624
2020-04-22,0.8512854192016147
2020-04-23,0.8641260495360951
2020-04-24,0.8581202855937446
2020-04-27,0.8624998742757952
2020-04-28,0.8646986944166453
2020-04-29,0.8780906438572957
2020-04-30,0.8820830890463923
2020-05-04,0.8737314753282713
2020-05-05,0.8731229830280679
2020-05-06,0.874495314668788
2020-05-07,0.8843700494028056
2020-05-08,0.8879275894750234
2020-05-11,0.8929289584208346
2020-05-12,0.8966511439420476
2020-05-13,0.9093232711951935
2020-05-14,0.9080239876607291
2020-05-15,0.9034105378390918
2020-05-18,0.8846284434582514
2020-05-19,0.8919751860294258
2020-05-20,0.8952077107080157
2020-05-21,0.8946274866058969
2020-05-22,0.8887980352399486
2020-05-26,0.8904990823079456
2020-05-27,0.8880240915732931
2020-05-28,0.895586974639217
2020-05-29,0.9051672182535614
2020-06-01,0.9206046380711445
2020-06-02,0.9312393321086826
2020-06-03,0.9354684201412727
2020-06-04,0.9396109420921489
2020-06-05,0.966634016390968
2020-06-08,0.988619125267815
2020-06-09,0.9921796624922644
2020-06-10,1.0000407544409726
2020-06-11,0.9900029638980231
2020-06-12,0.9878399257669048
2020-06-15,0.9839909432645619
2020-06-16,0.9752067701575763
2020-06-17,0.9824795034882629
2020-06-18,0.9950639071095634
2020-06-19,1.0035226889801492
2020-06-22,1.0087787847703922
2020-06-23,1.0280524121060992
2020-06-24,1.0264225709431107
2020-06-25,1.0360910379111272
2020-06-26,1.0504186540072507
2020-06-29,1.0504281708316188
2020-06-30,1.0376454741408212
2020-07-01,1.0392141831228943
2020-07-02,1.0504836183844253
2020-07-03,1.0527919435413535
2020-07-06,1.059250250348387
2020-07-07,1.0585646310699892
2020-07-08,1.061496098791908
2020-07-09,1.0728256202974553
2020-07-10,1.073325142329202
2020-07-13,1.0729129557899628
2020-07-14,1.067217764365888
2020-07-15,1.0707388183611068
2020-07-16,1.0702703860864362
2020-07-17,1.080946957795788
2020-07-20,1.089687737256834
2020-07-21,1.0842159655385808
2020-07-22,1.0763775220214655
2020-07-23,1.0781163990483547
2020-07-24,1.0718903598838294
2020-07-27,1.0644526178316778
2020-07-28,1.067865222191469
2020-07-29,1.0763556479621272
2020-07-30,1.0688948341616071
2020-07-31,1.0665142938034464
2020-08-03,1.0697452944171266
2020-08-04,1.0837499556233814
2020-08-05,1.0901176393018805
2020-08-06,1.101062049501589
2020-08-07,1.1136903564023872
2020-08-10,1.1523149490655387
2020-08-11,1.1519588048198328
2020-08-12,1.1485865476386612
2020-08-13,1.1604273253833788
2020-08-14,1.1443964803761917
2020-08-17,1.1712925017065594
2020-08-18,1.1792475362393409
2020-08-19,1.195420590190119
2020-08-20,1.2052658967682275
2020-08-21,1.2254945231356238
2020-08-24,1.2423569830731724
2020-08-25,1.2514737633066226
2020-08-26,1.2461383116223748
2020-08-27,1.242637826797029
2020-08-28,1.2297926174310505
2020-08-31,1.1845793840738597
2020-09-01,1.1849051471933507
2020-09-02,1.1942349396050473
2020-09-03,1.1991810284048596
2020-09-04,1.1888096402977335
2020-09-07,1.1941869620215906
2020-09-08,1.1911150246422058
2020-09-09,1.170006457037172
2020-09-10,1.1800553498441144
2020-09-11,1.1835306645369321
2020-09-14,1.2014696494496377
2020-09-15,1.2054201679044545
2020-09-16,1.2234812165061213
2020-09-17,1.2167218052415403
2020-09-18,1.2135338053187512
2020-09-21,1.2001211588859104
2020-09-22,1.1945076522164029
2020-09-23,1.1952666553835103
2020-09-24,1.1793895181192884
2020-09-25,1.1936402214386983
2020-09-28,1.2076271128149778
2020-09-29,1.2120763225099085
2020-09-30,1.209657642220604
2020-10-01,1.2195796130758143
2020-10-05,1.2380905410194576
2020-10-06,1.2496760539563943
2020-10-07,1.239752428658644
2020-10-08,1.237094673060001
2020-10-09,1.235342269191026
2020-10-12,1.2224362977490282
2020-10-13,1.229242825623103
2020-10-14,1.247220522697028
2020-10-15,1.240213807434282
2020-10-16,1.2567836001119865
2020-10-19,1.2729191199630576
2020-10-20,1.267234347514739
2020-10-21,1.2682554029363409
2020-10-22,1.2731506783962276
2020-10-23,1.2715336579052592
2020-10-26,1.2771701988551691
2020-10-27,1.2785564640815414
2020-10-28,1.2780197830173472
2020-10-29,1.2721417104412045
2020-10-30,1.271309852391851
2020-11-02,1.2663539579502854
2020-11-03,1.273665484965361
2020-11-04,1.2780860813761252
2020-11-05,1.2895775301563666
2020-11-06,1.30049448442114
2020-11-09,1.3043480302647275
2020-11-10,1.2924192549155722
2020-11-11,1.3004890890743492
2020-11-12,1.3060342598327677
2020-11-13,1.3033551649275137
2020-11-14,1.3215659059400167
2020-11-17,1.318743582994073
