Symbol,FINAL_WEIGHT
OFSS,0.0791094762360507
STLTECH,0.073388668497712
RUBICON,0.0625647434461234
VENUSREM,0.0622733404762823
GAYAPROJ,0.0612758521560692
DEEPINDS,0.0539159805871071
HFCL,0.053003721373204
NINSYS,0.0527599374900507
KERNEX,0.0511607569258962
SIGMAADV,0.0487748934748083
BBOX,0.0487510475351285
SASKEN,0.0486870968991819
IOLCP,0.044891963510781
ADANIPOWER,0.0428492772093711
BLISSGVS,0.0398346918606307
PREMIERENE,0.0395698465298353
SUVEN,0.0369476368405598
EMMVEE,0.0340080701498021
SOUTHWEST,0.0333163678618363
ANTELOPUS,0.0329166309395681
