Date,Portfolio_Value
2021-02-01,1.0128975274260745
2021-02-02,1.023782556725709
2021-02-03,1.038344609300622
2021-02-04,1.0645225587618299
2021-02-05,1.0697124643608205
2021-02-08,1.0696608820367064
2021-02-09,1.0742358769043927
2021-02-10,1.0689874930018326
2021-02-11,1.0726326047155095
2021-02-12,1.0748172548403772
2021-02-15,1.066130908256902
2021-02-16,1.0689820948102913
2021-02-17,1.0915536990966148
2021-02-18,1.1087622458154798
2021-02-19,1.1164566860546699
2021-02-22,1.1246376606145643
2021-02-23,1.138644061424478
2021-02-24,1.1413788331474564
2021-02-25,1.1528186847487394
2021-02-26,1.1524647500190361
2021-03-01,1.185551875655745
2021-03-02,1.2194873817701644
2021-03-03,1.2372367829184558
2021-03-04,1.2404704344627264
2021-03-05,1.2204558489402448
2021-03-08,1.2167366477092694
2021-03-09,1.2000785198018176
2021-03-10,1.1800623515501008
2021-03-12,1.1508916323333331
2021-03-15,1.1286210642521532
2021-03-16,1.1180135403528881
2021-03-17,1.0905048780044775
2021-03-18,1.058067575342521
2021-03-19,1.044132302413382
2021-03-22,1.0489223379203736
2021-03-23,1.0500579654914477
2021-03-24,1.0397290523869038
2021-03-25,1.0050079907388731
2021-03-26,0.9864278983908376
2021-03-30,0.9625539642310903
2021-03-31,0.9575284026561732
2021-03-31,0.9936233744682541
2021-04-01,1.0223040883860375
2021-04-05,1.0246153254778292
2021-04-06,1.0425347792762203
2021-04-07,1.0407273608538907
2021-04-08,1.0489161766866522
2021-04-09,1.0812665539884374
2021-04-12,1.0283429692790005
2021-04-13,1.0315567578114497
2021-04-15,1.0257598228094718
2021-04-16,1.0270669341430352
2021-04-19,1.0146001400317697
2021-04-20,1.0301094791540106
2021-04-22,1.038427017826271
2021-04-23,1.0405331791990484
2021-04-26,1.0591244422621215
2021-04-27,1.0754996118485036
2021-04-28,1.082786955933395
2021-04-29,1.0766618640361776
2021-04-30,1.0640814024511684
2021-04-30,1.062151362238057
2021-05-03,1.0782513306812302
2021-05-04,1.067033900111286
2021-05-05,1.0784306614533394
2021-05-06,1.0996579213594009
2021-05-07,1.1151121379159121
2021-05-10,1.1094266586527273
2021-05-11,1.1109964872723272
2021-05-12,1.104732327972304
2021-05-14,1.0879717194069265
2021-05-17,1.1040737960670566
2021-05-18,1.1090048119158127
2021-05-19,1.1218939650784645
2021-05-20,1.1173861562999754
2021-05-21,1.12168132325967
2021-05-24,1.1282069216237132
2021-05-25,1.146885172231974
2021-05-26,1.1661036649763823
2021-05-27,1.173735447491794
2021-05-28,1.1626755358253835
2021-05-31,1.1562635881307093
2021-05-31,1.1606730162503762
2021-06-01,1.1538584281073616
2021-06-02,1.1645391531560907
2021-06-03,1.1706175892885582
2021-06-04,1.1791366764433244
2021-06-07,1.1932978692307272
2021-06-08,1.198286974862685
2021-06-09,1.1782145524028909
2021-06-10,1.191143600044125
2021-06-11,1.1866001853700177
2021-06-14,1.1847862958677329
2021-06-15,1.194604435769583
2021-06-16,1.1908691061865835
2021-06-17,1.1769527615296818
2021-06-18,1.1713055153190304
2021-06-21,1.1958608239171895
2021-06-22,1.211781164020577
2021-06-23,1.2096072451873463
2021-06-24,1.2048017839713678
2021-06-25,1.2116733344907031
2021-06-28,1.2054326125776633
2021-06-29,1.2083600215108525
2021-06-30,1.2172388769469
2021-06-30,1.2246318703913106
2021-07-01,1.2355480133630126
2021-07-02,1.2445634705351418
2021-07-05,1.25138822989812
2021-07-06,1.2447016249963962
2021-07-07,1.2394910734147206
2021-07-08,1.2284981574671847
2021-07-09,1.2248943319465584
2021-07-12,1.2269148025829852
2021-07-13,1.2326316749409083
2021-07-14,1.2511486532260763
2021-07-15,1.2667439221773271
2021-07-16,1.264596203486519
2021-07-19,1.2649797623213273
2021-07-20,1.2663934594193555
2021-07-22,1.284222000767306
2021-07-23,1.3004355008742123
2021-07-26,1.300583842724593
2021-07-27,1.3174455447600866
2021-07-28,1.3136257194372511
2021-07-29,1.3139993200992734
2021-07-30,1.3261407648987735
2021-08-02,1.3397021257570723
2021-08-03,1.350893229237337
2021-08-04,1.3380793486220306
2021-08-05,1.3027450411563213
2021-08-06,1.29604789812394
2021-08-09,1.2771548990876702
2021-08-10,1.2342532498100296
2021-08-11,1.2215175200539476
2021-08-12,1.2480567438840975
2021-08-13,1.239449101272507
2021-08-16,1.211895457980462
2021-08-17,1.193649174744791
2021-08-18,1.1728854538843456
2021-08-20,1.1566820116997059
2021-08-23,1.1328524616690085
2021-08-24,1.154844211125513
2021-08-25,1.1683239812405508
2021-08-26,1.170403345932687
2021-08-27,1.1916040988193928
2021-08-30,1.2118438980626898
2021-08-31,1.2113950258025363
2021-08-31,1.2250944864730156
2021-09-01,1.227005259776188
2021-09-02,1.2463214192537508
2021-09-03,1.2412246699336094
2021-09-06,1.2415196613242319
2021-09-07,1.2343418334097755
2021-09-08,1.2464943132687218
