Capital,Max_ADV_Usage_%,Avg_Days_To_Exit,Pass_5pct_ADV_Rule,Capacity_Rating
1000000,inf,inf,False,LOW
5000000,inf,inf,False,LOW
10000000,inf,inf,False,LOW
50000000,inf,inf,False,LOW
100000000,inf,inf,False,LOW
