Date,Portfolio_Return,Cumulative_Return
2025-10-17,-0.005164030744368977,-0.005164030744368997
2025-10-20,0.0034889512266856335,-0.0016930965690836741
2025-10-21,0.007425766152604008,0.005720097044324524
2025-10-23,-0.004532009105331062,0.0011621644071051485
2025-10-24,0.004201022753395869,0.005368069439618539
2025-10-27,0.0070819021095925696,0.012487987691499836
2025-10-28,0.002997961273148901,0.015523387468127536
2025-10-29,0.013755415788392338,0.029492333905588364
2025-10-30,0.0006077774172140197,0.03011803609733099
2025-10-31,-0.0034810887444951923,0.026532103796371054
2025-11-03,0.03026392491705716,0.057598994310612994
2025-11-04,-0.005539320582928291,0.05174061443294398
2025-11-06,-0.023607837530682088,0.026911292882991322
2025-11-07,0.0005468306412203482,0.027472839443755115
2025-11-10,0.012143711724445365,0.03995017341065754
2025-11-11,0.011521353651755292,0.05193180713872603
2025-11-12,0.008170741903805878,0.06052687043526084
2025-11-13,0.008648094590904955,0.06969840712698128
2025-11-14,0.005274325094909384,0.07534034427967584
2025-11-17,0.005020112816777268,0.08073867412439184
2025-11-18,-0.008786422683438473,0.07124284732319608
2025-11-19,0.0043086358120783,0.07585844261860553
2025-11-20,0.0033246019560436205,0.07943524370136124
2025-11-21,-0.018566986689398105,0.05939338389949089
2025-11-24,-0.016217881275777907,0.04221226777506426
2025-11-25,-0.005622895855709191,0.03635201673382249
2025-11-26,0.01699467863159727,0.05396448620742156
2025-11-27,-0.00032466821138886015,0.0536222974428171
2025-11-28,-0.001531831013844878,0.0520083261307156
2025-12-01,0.006613448304832877,0.05896572881183482
2025-12-02,-0.006013079403916057,0.052598083798463424
2025-12-03,-0.010539435587411645,0.04150429409483647
2025-12-04,-0.005348016011165057,0.035934312454320105
2025-12-05,-0.003993866567598826,0.03179692903758036
2025-12-08,-0.024978001934440365,0.006024703348129989
2025-12-09,0.012530269949416572,0.018630464456863782
2025-12-10,-0.0086096528399278,0.009860409785715785
2025-12-11,0.016852614897336686,0.026879198371901003
2025-12-12,0.00608979971003813,0.03313268701639038
2025-12-15,-0.006326760992097131,0.026596303432514512
2025-12-16,-0.004772866164168438,0.021696496671601118
2025-12-17,-0.012829536799169395,0.00858860386997029
2025-12-18,-0.007924779901277088,0.0005957611733644619
2025-12-19,0.0156337936359986,0.01623886881660397
2025-12-22,0.024407980010566717,0.04104320681264051
2025-12-23,0.009053173053655952,0.05046795112024838
2025-12-24,-0.003233867980411637,0.04707087644867203
2025-12-26,-0.008038801993268297,0.03865368099998312
2025-12-29,-0.009681335348909522,0.028598126402842983
2025-12-30,-0.006593411575829861,0.021816155609341692
2025-12-31,0.01749842155203049,0.03969632544886914
2026-01-01,0.005208708065250381,0.04511180008464577
2026-01-02,0.005222558809393308,0.05056995792297858
2026-01-05,-0.009556759878638849,0.04052991309939702
2026-01-06,-0.00968169867489873,0.030455816018549964
2026-01-07,0.009034385906696056,0.03976535152026095
2026-01-08,-0.026861165240825165,0.011836042601390595
2026-01-09,-0.015286409423813508,-0.0036312974155855438
2026-01-12,-0.012312852643384947,-0.01589943842898811
2026-01-13,0.008404347486670951,-0.007628715347717363
2026-01-14,0.021577189613355825,0.013783868028074409
2026-01-19,-0.017987538976123974,-0.004451608811446239
2026-01-20,-0.023259523669766795,-0.027607590180694697
2026-01-21,-0.005492284115509872,-0.03294824556718756
2026-01-22,0.016076490661565766,-0.01740144706779767
2026-01-23,-0.01487708172082081,-0.03201964603853036
2026-01-27,0.013253252155963673,-0.019190758325460133
2026-01-28,0.04056619680602217,0.020596942401474694
2026-01-29,0.0035847190704169918,0.024255495724110565
2026-01-30,0.012249902127999888,0.03680252530079686
2026-02-02,-0.008008403995200836,0.028499391814943653
2026-02-03,0.0412738903025362,0.07094956288893894
2026-02-04,0.02930370337967352,0.10233235121442741
2026-02-05,0.005393144691931506,0.1082773890831239
2026-02-06,-0.013723828439252208,0.09306758033224471
2026-02-09,0.01871393528292848,0.11352317629044961
2026-02-10,0.015676557352344838,0.1309793862267319
2026-02-11,-0.02054861076902363,0.10773933103136968
2026-02-12,0.0041635508003050985,0.11235146000961471
2026-02-13,-0.02109216551556301,0.08888955890361383
2026-02-16,-0.0007445331499858443,0.08807884453033665
2026-02-17,0.01422989268070075,0.10356208971614422
2026-02-18,0.003480787353630049,0.1074033546819737
2026-02-19,-0.008417248846450695,0.09808206507222117
2026-02-20,-0.0009308921326467415,0.09705986911684494
2026-02-23,-0.0008639571110571273,0.09611205644166598
2026-02-24,-0.021459781007104196,0.07258973175118122
2026-02-25,-0.0004376062877965263,0.07212035974034081
2026-02-26,-0.003211622197600941,0.06867711419449885
2026-02-27,-0.008921826023653039,0.059142562906195906
2026-03-02,0.008663524823731655,0.06831847079180453
