Symbol,Close,AVG_20D_VOLUME,TRADED_VALUE,LIQUIDITY_SCORE,LIQUIDITY_RANK,LIQUIDITY_BUCKET
MADHAVIPL,8.59,129333,1110976.5,56.547619047619044,147.0,ILLIQUID
NEPHROCARE,72.45,15300,1108484.95,56.25,148.0,ILLIQUID
INM,171.0,6420,1097820.0,55.952380952380956,149.0,ILLIQUID
POLYSIL,138.55,7900,1094545.02,55.654761904761905,150.0,ILLIQUID
RRIL,20.11,52614,1058078.63,55.35714285714286,151.0,ILLIQUID
SPECTSTM,70.05,14680,1028334.04,55.05952380952381,152.0,ILLIQUID
PARAGON,50.75,20040,1017030.0,54.761904761904766,153.0,ILLIQUID
PRITIKA,63.95,15200,972040.01,54.46428571428571,154.0,ILLIQUID
DHANLAXMI,28.5,33800,963300.0,54.166666666666664,155.0,ILLIQUID
NIRMAN,48.65,19395,943566.78,53.86904761904761,156.0,ILLIQUID
ESG,40.26,23328,939221.47,53.57142857142857,157.0,ILLIQUID
DUCOL,108.0,8680,937440.0,53.273809523809526,158.0,ILLIQUID
BEEKAY,405.25,2278,923483.7,52.976190476190474,159.0,ILLIQUID
SHREEOSFM,54.8,16800,920639.99,52.67857142857143,160.0,ILLIQUID
PREMCO,370.4,2449,907276.27,52.38095238095239,161.0,ILLIQUID
ROCKINGDCE,205.0,4425,907125.0,52.083333333333336,162.0,ILLIQUID
GRAVISSHO,29.93,29716,889416.35,51.78571428571429,163.0,ILLIQUID
DELAPLEX,100.2,8790,880757.97,51.488095238095234,164.0,ILLIQUID
WINSOL,120.15,7300,877095.01,51.19047619047619,165.0,ILLIQUID
JAINAM,250.1,3375,844087.52,50.89285714285714,166.0,ILLIQUID
SHRITECH,66.15,12000,793800.02,50.595238095238095,167.0,ILLIQUID
TGL,21.25,37060,787525.0,50.297619047619044,168.0,ILLIQUID
AONETMMQ50,10.15,77201,783595.7,50.0,169.0,ILLIQUID
LAHOTIOV,42.31,18334,775717.91,49.702380952380956,170.0,ILLIQUID
RILINFRA,38.05,19885,756624.23,49.404761904761905,171.0,ILLIQUID
GREENCHEF,58.45,12640,738808.01,49.107142857142854,172.0,ILLIQUID
VILINBIO,46.8,15200,711359.99,48.80952380952381,173.0,ILLIQUID
KOTIC,158.03,4475,707286.96,48.51190476190476,174.0,ILLIQUID
ENFUSE,164.65,4290,706348.47,48.214285714285715,175.0,ILLIQUID
PRLIND,53.3,13050,695564.99,47.91666666666667,176.0,ILLIQUID
HBESD,72.38,9241,668914.22,47.61904761904761,177.0,ILLIQUID
AVAILFC,159.5,4042,644826.6,47.32142857142857,178.0,ILLIQUID
MERCANTILE,26.62,24150,642881.01,47.023809523809526,179.0,ILLIQUID
NAGAFERT,3.7,172434,638008.4,46.726190476190474,180.0,ILLIQUID
