Sector,AVG_RS_5D,AVG_RS_15D,AVG_RS_30D,AVG_RS_60D,AVG_RS_ACCELERATION,AVG_VOL_ADJ_RS,TOTAL_STOCKS,SECTOR_SCORE,SECTOR_RANK
Utilities,3.88,-0.03,11.14,22.96,-7.27,26.29,38,12.19,1
Healthcare,2.22,5.44,12.53,21.88,-10.31,30.4,156,11.7,2
Technology,2.93,2.46,10.63,22.46,-7.7,19.56,171,11.7,3
Energy,0.72,5.14,9.55,19.43,-8.84,19.7,36,9.82,4
Industrials,2.1,0.3,8.09,18.59,-5.99,16.67,449,9.47,5
Basic Materials,1.32,0.34,7.83,16.47,-6.52,16.64,356,8.42,6
Consumer Defensive,0.78,-1.3,4.89,14.34,-4.11,10.3,156,6.87,7
Consumer Cyclical,1.84,0.45,4.91,10.12,-3.07,10.44,420,5.4,8
Unknown,0.45,-0.4,3.83,11.08,-3.38,9.61,400,5.29,9
Real Estate,0.16,-3.15,3.26,10.36,-3.1,7.83,80,4.83,10
Financial Services,1.07,-0.63,4.69,8.34,-3.63,11.54,224,4.49,11
Communication Services,1.41,0.21,3.01,6.98,-1.6,6.56,71,3.68,12
