Symbol,RS_5D,RS_15D,RS_30D,RS_60D,RS_ACCELERATION,VOLATILITY,VOL_ADJ_RS,Momentum,Sharpe,Institutional Score
SPECTRUM.NS,7.83,6.16,26.78,8.66,-18.95,0.5387,49.71,15.908000000000001,16.08,72.57
GESHIP.NS,-7.38,-3.71,9.38,20.3,-16.76,0.3988,23.52,15.932,50.9,72.43
TMB.NS,10.39,9.85,11.95,18.29,-1.56,0.4382,27.27,15.753999999999998,41.74,72.38
ASPINWALL.NS,7.9,0.92,11.49,21.11,-3.59,0.5085,22.6,17.262,41.51,72.21
SRF.NS,2.52,-1.58,12.91,13.65,-10.39,0.3424,37.7,13.354,39.87,72.2
OLAELEC.NS,5.85,7.51,-0.43,66.61,6.28,0.6983,-0.62,39.794000000000004,95.39,72.16
ORBTEXP.NS,13.68,15.07,14.39,14.87,-0.71,0.4272,33.68,14.677999999999999,34.81,72.15
MOTOGENFIN.NS,-6.04,10.2,3.86,34.52,-9.9,0.4717,8.18,22.256,73.18,72.12
RATNAVEER.NS,-2.55,-4.03,11.94,20.73,-14.49,0.5246,22.76,17.214,39.52,72.12
GUJRAFFIA.NS,-5.14,9.85,10.37,19.42,-15.51,0.4243,24.44,15.8,45.77,72.06
MOSCHIP.NS,6.99,-3.24,13.02,19.02,-6.03,0.5266,24.72,16.619999999999997,36.12,71.91
VALIANTORG.NS,3.06,-4.09,5.66,35.24,-2.6,0.6394,8.85,23.408,55.11,71.91
DIGISPICE.NS,5.9,-3.03,13.98,12.94,-8.08,0.3596,38.88,13.356,35.98,71.9
RELIGARE.NS,2.54,5.24,10.06,19.98,-7.52,0.4362,23.06,16.012,45.8,71.9
SHRITECH.NS,-10.17,3.32,14.09,18.25,-24.26,0.5591,25.2,16.586,32.64,71.84
GANESHHOU.NS,2.81,4.21,14.9,13.25,-12.09,0.4034,36.94,13.91,32.85,71.83
BANSWRAS.NS,1.4,2.35,12.59,16.07,-11.19,0.4115,30.6,14.678,39.05,71.82
SHREEPUSHK.NS,7.57,-4.29,9.55,23.69,-1.98,0.5129,18.62,18.034,46.19,71.78
EMCURE.NS,0.05,2.71,5.4,25.19,-5.35,0.3603,14.99,17.274,69.91,71.78
DATAMATICS.NS,8.93,7.21,15.05,15.52,-6.12,0.4997,30.12,15.332,31.06,71.78
SYNCOMF.NS,-4.24,4.67,7.56,24.33,-11.8,0.4402,17.17,17.622,55.27,71.75
MARICO.NS,0.47,-2.71,10.69,9.89,-10.22,0.1937,55.19,10.21,51.06,71.74
DEEPAKNTR.NS,-2.1,-9.11,12.61,13.29,-14.71,0.335,37.64,13.018,39.67,71.71
UMA.NS,1.44,-1.59,11.99,17.04,-10.55,0.4258,28.16,15.02,40.02,71.68
SWELECTES.NS,8.74,0.47,3.34,34.63,5.4,0.4453,7.5,22.114,77.77,71.65
WEWIN.NS,9.98,-18.71,3.58,44.42,6.4,0.7475,4.79,28.084,59.42,71.64
SHALBY.NS,1.32,4.85,10.17,18.46,-8.85,0.4064,25.02,15.144000000000002,45.42,71.64
PARAGMILK.NS,12.72,10.53,8.39,23.25,4.33,0.4628,18.13,17.306,50.24,71.53
MEESHO.NS,-6.08,-5.88,14.16,20.75,-20.24,0.6679,21.2,18.114,31.07,71.48
BALAXI.NS,7.09,-5.62,2.84,42.11,4.25,0.6079,4.67,26.401999999999997,69.27,71.48
IRBINVIT.NS,1.42,4.74,5.18,9.64,-3.76,0.0845,61.3,7.856,114.08,71.34
MASTER.NS,1.43,0.45,7.32,21.1,-5.89,0.3657,20.02,15.588000000000001,57.7,71.29
BELRISE.NS,6.13,1.57,5.82,24.77,0.31,0.3902,14.92,17.189999999999998,63.48,71.25
SUNPHARMA.NS,-0.3,-2.89,10.99,10.69,-11.29,0.2323,47.31,10.809999999999999,46.02,71.13
GLFL.NS,-0.68,-12.54,14.67,16.21,-15.35,0.5503,26.66,15.594000000000001,29.46,71.03
SHIVAMILLS.NS,-5.44,-6.34,9.84,19.42,-15.28,0.4412,22.3,15.588000000000001,44.02,71.0
CAMS.NS,1.98,-4.64,6.04,21.37,-4.06,0.3299,18.31,15.238000000000001,64.78,70.96
YATHARTH.NS,-1.31,-6.29,8.58,19.57,-9.89,0.3959,21.67,15.174,49.43,70.84
MEDANTA.NS,-2.83,-2.92,12.93,11.69,-15.76,0.3215,40.22,12.186,36.36,70.77
JASH.NS,8.96,2.08,12.49,14.69,-3.53,0.4054,30.81,13.81,36.24,70.71
PIXTRANS.NS,6.51,4.95,7.64,16.86,-1.13,0.2959,25.82,13.172,56.98,70.69
TRANSWORLD.NS,5.57,1.37,8.67,28.29,-3.1,0.6803,12.74,20.442,41.58,70.64
EQUITASBNK.NS,4.73,1.35,10.28,16.19,-5.55,0.3717,27.66,13.826,43.56,70.62
PYRAMID.NS,-2.56,-5.02,7.76,20.28,-10.32,0.3937,19.71,15.272000000000002,51.51,70.53
ACCURACY.NS,0.68,12.44,8.31,26.67,-7.63,0.6129,13.56,19.326,43.51,70.46
AHCL.NS,3.71,0.31,2.06,37.98,1.65,0.498,4.14,23.612,76.27,70.46
SIGNPOST.NS,-8.71,-6.91,12.7,16.4,-21.41,0.4855,26.16,14.919999999999998,33.78,70.46
KPITTECH.NS,10.0,12.45,12.78,13.08,-2.78,0.3744,34.13,12.96,34.94,70.42
ENDURANCE.NS,-1.6,3.91,17.15,8.5,-18.75,0.3355,51.12,11.959999999999999,25.34,70.4
GKWLIMITED.NS,2.62,0.09,13.67,10.58,-11.05,0.3165,43.19,11.815999999999999,33.43,70.38
NATIONALUM.NS,10.41,12.19,3.29,32.13,7.12,0.448,7.34,20.594,71.72,70.36
JSWDULUX.NS,8.89,4.1,10.81,14.17,-1.92,0.3389,31.9,12.826,41.81,70.35
GOODLUCK.NS,-5.62,-4.63,10.28,19.08,-15.9,0.4737,21.7,15.559999999999999,40.28,70.33
SUPRAJIT.NS,5.84,7.68,12.23,13.02,-6.39,0.3558,34.37,12.704,36.59,70.33
BUILDPRO.NS,11.84,6.93,8.35,27.86,3.49,0.6653,12.55,20.055999999999997,41.88,70.32
MAHABANK.NS,-0.42,-1.62,12.62,13.28,-13.04,0.3778,33.4,13.015999999999998,35.15,70.29
SABAR.NS,-3.09,12.89,16.55,11.12,-19.64,0.4453,37.17,13.292000000000002,24.97,70.23
KPRMILL.NS,6.29,6.78,10.35,17.89,-4.06,0.4396,23.54,14.873999999999999,40.7,70.22
PACEDIGITK.NS,1.26,1.97,10.69,17.79,-9.43,0.4524,23.63,14.95,39.32,70.21
SANGANI.NS,-4.22,-7.53,9.98,17.15,-14.2,0.4021,24.82,14.282,42.65,70.21
MFML.NS,9.79,2.89,5.42,28.76,4.37,0.5193,10.44,19.424,55.38,70.2
KAKATCEM.NS,1.36,-3.85,11.54,17.44,-10.18,0.4802,24.03,15.08,36.32,70.19
KALYANI.NS,1.36,-3.85,11.54,17.44,-10.18,0.4802,24.03,15.08,36.32,70.19
RILINFRA.NS,19.68,15.71,13.64,15.41,6.04,0.5063,26.94,14.702000000000002,30.44,70.18
PANACHE.NS,5.38,4.52,16.27,13.0,-10.89,0.5171,31.46,14.308,25.14,70.15
TNPL.NS,-0.4,-4.56,8.62,15.15,-9.02,0.3011,28.63,12.538,50.32,70.07
SIYSIL.NS,-1.81,0.9,10.76,17.25,-12.57,0.4424,24.32,14.654,38.99,70.04
TIRUPATIFL.NS,13.56,10.0,3.2,33.94,10.36,0.518,6.18,21.644,65.52,70.02
AGI.NS,4.9,-1.48,8.36,22.51,-3.46,0.5055,16.54,16.85,44.53,69.99
AGIIL.NS,4.9,-1.48,8.36,22.51,-3.46,0.5055,16.54,16.85,44.53,69.99
ELGIEQUIP.NS,4.59,8.65,9.61,16.37,-5.02,0.3748,25.64,13.666,43.68,69.93
INSECTICID.NS,-0.59,2.43,4.04,25.24,-4.63,0.363,11.13,16.759999999999998,69.53,69.9
IRIS.NS,3.0,10.13,12.63,14.62,-9.63,0.4399,28.71,13.823999999999998,33.23,69.89
TTKPRESTIG.NS,6.66,6.68,14.21,11.85,-7.55,0.402,35.35,12.794,29.48,69.89
ATMASTCO.NS,-6.49,-10.29,13.74,19.97,-20.23,0.7368,18.65,17.478,27.1,69.85
JBMA.NS,3.31,-4.19,6.99,25.23,-3.68,0.5245,13.33,17.934,48.1,69.8
APOLLOHOSP.NS,-1.73,1.27,8.71,10.63,-10.44,0.2027,42.97,9.862,52.44,69.79
KHFM.NS,19.84,39.58,29.2,6.49,-9.36,0.742,39.35,15.574,8.75,69.71
MDL.NS,7.32,18.52,7.34,33.83,-0.02,0.9271,7.92,23.233999999999998,36.49,69.4
SONACOMS.NS,3.87,3.12,5.4,21.07,-1.53,0.3457,15.62,14.802,60.95,69.33
REMUS.NS,-5.35,-5.16,13.03,17.44,-18.38,0.6159,21.16,15.676,28.32,69.32
KANSAINER.NS,1.08,0.64,10.13,13.63,-9.05,0.327,30.98,12.23,41.68,69.3
VARROC.NS,1.35,5.13,10.83,14.21,-9.48,0.3737,28.98,12.858,38.03,69.29
PERSISTENT.NS,10.94,8.64,3.99,23.72,6.95,0.3481,11.46,15.828,68.14,69.21
CESC.NS,-3.36,-2.35,5.98,18.82,-9.34,0.319,18.75,13.684000000000001,59.0,69.21
DPWIRES.NS,9.63,3.59,4.1,31.37,5.53,0.5645,7.26,20.462,55.57,69.18
SREEL.NS,8.16,11.53,16.87,6.26,-8.71,0.2692,62.67,10.504000000000001,23.25,69.13
NH.NS,1.56,3.51,9.34,12.75,-7.78,0.2836,32.93,11.386,44.96,69.11
DHANUKA.NS,-6.15,1.38,10.44,13.54,-16.59,0.3429,30.45,12.299999999999999,39.49,69.01
VERA.NS,1.44,3.39,3.48,7.64,-2.04,0.0542,64.21,5.976,140.96,69.0
MANKIND.NS,-4.12,-5.41,12.37,9.84,-16.49,0.2932,42.19,10.852,33.56,68.99
ANURAS.NS,-0.71,-0.88,7.11,15.09,-7.82,0.2746,25.89,11.898,54.95,68.97
NDRAUTO.NS,0.51,-1.78,11.65,15.32,-11.14,0.4641,25.1,13.852,33.01,68.9
RNBDENIMS.NS,6.2,9.21,17.21,10.06,-11.01,0.4726,36.42,12.920000000000002,21.29,68.87
RKSWAMY.NS,6.2,9.21,17.21,10.06,-11.01,0.4726,36.42,12.920000000000002,21.29,68.87
MADHUCON.NS,-0.1,-9.26,9.15,19.06,-9.25,0.4827,18.96,15.095999999999998,39.49,68.87
SETL.NS,5.28,3.78,7.86,21.15,-2.58,0.4845,16.22,15.834,43.65,68.85
MANUGRAPH.NS,3.23,9.87,17.33,12.24,-14.1,0.5938,29.18,14.276,20.61,68.84
RAJSREESUG.NS,1.24,0.33,2.42,35.44,-1.18,0.5747,4.21,22.232,61.67,68.79
SRHHYPOLTD.NS,-1.99,-3.18,7.57,18.41,-9.56,0.3905,19.39,14.074,47.14,68.77
KRISHNADEF.NS,4.94,-8.19,15.26,14.68,-10.32,0.6301,24.22,14.911999999999999,23.3,68.75
INTELLECT.NS,6.73,-0.78,11.08,14.34,-4.35,0.4087,27.11,13.036,35.09,68.72
HAPPYFORGE.NS,5.85,-0.09,10.45,14.44,-4.6,0.3871,27.0,12.844,37.3,68.71
INDIANCARD.NS,1.32,10.27,9.1,15.13,-7.78,0.3554,25.6,12.718,42.57,68.71
GNFC.NS,-0.06,5.18,6.52,18.55,-6.58,0.3478,18.75,13.738000000000001,53.34,68.67
ALIVUS.NS,2.81,-5.02,2.24,24.01,0.57,0.2627,8.53,15.302000000000001,91.4,68.59
CHEMICAL.NS,0.05,-0.17,7.74,11.36,-7.69,0.2169,35.68,9.911999999999999,52.37,68.55
APTUS.NS,0.65,-7.9,9.72,14.53,-9.07,0.3652,26.62,12.606,39.79,68.5
WELENT.NS,5.52,2.29,10.66,14.15,-5.14,0.391,27.26,12.754000000000001,36.19,68.49
NPST.NS,33.75,12.92,9.68,23.67,24.07,0.7191,13.46,18.073999999999998,32.92,68.49
JSWSTEEL.NS,4.2,5.46,9.78,11.31,-5.58,0.2741,35.68,10.698,41.26,68.4
UNIMECH.NS,7.44,1.62,6.96,22.23,0.48,0.505,13.78,16.122,44.02,68.3
GAEL.NS,-3.4,-6.64,7.63,17.03,-11.03,0.3676,20.76,13.27,46.33,68.29
SMVD.NS,1.44,-1.1,1.63,29.67,-0.19,0.3599,4.53,18.454,82.44,68.28
DIAMONDYD.NS,13.68,10.33,15.92,8.57,-2.24,0.3799,41.91,11.510000000000002,22.56,68.25
RBLBANK.NS,-0.0,0.82,10.26,12.5,-10.26,0.3281,31.27,11.604,38.1,68.23
IGPL.NS,-2.07,-8.55,3.99,26.39,-6.06,0.462,8.64,17.43,57.12,68.21
SENCO.NS,0.07,4.97,9.96,16.93,-9.89,0.4679,21.29,14.142,36.18,68.21
INDGN.NS,2.47,-3.39,10.06,11.75,-7.59,0.3028,33.22,11.074,38.8,68.13
MODEFENCE.NS,-0.8,-2.38,5.26,17.83,-6.06,0.2941,17.89,12.802,60.63,68.04
RITEZONE.NS,-9.26,-26.15,14.98,11.91,-24.24,0.5174,28.95,13.138000000000002,23.02,68.04
SALONA.NS,8.1,4.69,7.64,18.26,0.46,0.4131,18.49,14.012,44.2,67.93
AMEYA.NS,-3.09,-7.71,4.4,24.42,-7.49,0.4437,9.92,16.412000000000003,55.04,67.93
IKIO.NS,2.01,-8.75,10.32,16.25,-8.31,0.4731,21.81,13.878,34.35,67.92
RTNINDIA.NS,1.32,-3.33,3.38,29.35,-2.06,0.5135,6.58,18.962,57.16,67.92
BANSALWIRE.NS,-2.41,-2.1,3.63,24.83,-6.04,0.411,8.83,16.349999999999998,60.41,67.9
GGBL.NS,0.5,-0.78,1.88,38.06,-1.38,0.6811,2.76,23.588,55.88,67.85
CTE.NS,2.77,0.97,7.52,22.5,-4.75,0.5702,13.19,16.508,39.46,67.84
GUJGASLTD.NS,10.62,8.63,16.64,7.39,-6.02,0.3657,45.5,11.09,20.21,67.76
MODTHREAD.NS,14.69,7.26,6.8,25.47,7.89,0.6302,10.79,18.002,40.42,67.71
VSSL.NS,1.44,0.37,9.63,13.37,-8.19,0.35,27.51,11.873999999999999,38.2,67.66
TRIGYN.NS,3.26,1.77,6.75,22.97,-3.49,0.5495,12.28,16.482,41.8,67.62
DBEIL.NS,8.96,1.27,11.66,15.06,-2.7,0.5225,22.32,13.7,28.82,67.55
SIL.NS,3.16,7.49,8.24,16.64,-5.08,0.4045,20.37,13.280000000000001,41.14,67.54
HINDZINC.NS,1.04,0.99,11.69,13.27,-10.65,0.4458,26.22,12.638,29.77,67.47
COSMOFIRST.NS,-1.83,-4.12,14.28,11.07,-16.11,0.4656,30.67,12.354,23.78,67.45
MANALIPETC.NS,-0.08,8.22,10.98,14.25,-11.06,0.4558,24.09,12.942,31.26,67.42
GOACARBON.NS,-0.22,-7.74,9.83,15.77,-10.05,0.4543,21.64,13.394,34.71,67.41
JPPOWER.NS,2.97,4.53,2.61,33.56,0.36,0.6178,4.22,21.18,54.32,67.37
HYBRIDFIN.NS,-0.01,-9.92,6.79,17.25,-6.8,0.3706,18.32,13.065999999999999,46.55,67.3
HUDCO.NS,-0.01,-9.92,6.79,17.25,-6.8,0.3706,18.32,13.065999999999999,46.55,67.3
SPECIALITY.NS,-1.48,4.8,9.94,15.27,-11.42,0.4454,22.32,13.137999999999998,34.28,67.3
BASML.NS,5.03,1.63,9.81,16.84,-4.78,0.4961,19.77,14.027999999999999,33.94,67.29
GREENPOWER.NS,4.74,-6.55,6.05,22.53,-1.31,0.5138,11.78,15.938,43.85,67.25
PAGEIND.NS,-1.54,3.77,1.28,23.84,-2.82,0.2459,5.21,14.816,96.95,67.22
MCX.NS,-12.05,-9.4,3.41,24.98,-15.46,0.4268,7.99,16.352,58.53,67.2
PRIVISCL.NS,1.34,-4.55,8.19,15.29,-6.85,0.3654,22.41,12.45,41.84,67.2
KPEL.NS,-2.76,-6.21,1.47,32.08,-4.23,0.4855,3.03,19.836,66.08,67.12
KPIGREEN.NS,-2.76,-6.21,1.47,32.08,-4.23,0.4855,3.03,19.836,66.08,67.12
SHREMINVIT.NS,2.56,5.41,3.43,16.33,-0.87,0.2046,16.76,11.169999999999998,79.81,67.09
NEPHROCARE.NS,6.45,0.19,5.91,20.62,0.54,0.4452,13.27,14.736,46.32,67.07
NELCO.NS,6.45,0.19,5.91,20.62,0.54,0.4452,13.27,14.736,46.32,67.07
TRENT.NS,0.77,2.7,6.9,16.42,-6.13,0.3545,19.46,12.612,46.32,67.05
INOXINDIA.NS,2.14,-0.04,-0.08,32.51,2.22,0.3465,-0.23,19.473999999999997,93.82,66.96
MADHUSUDAN.NS,-4.24,0.81,5.48,23.58,-9.72,0.5271,10.4,16.339999999999996,44.74,66.93
ARE&M.NS,-0.62,0.13,14.27,8.86,-14.89,0.3875,36.83,11.024000000000001,22.86,66.92
JKIPL.NS,9.65,5.15,-1.39,49.79,11.04,0.7718,-1.8,29.317999999999998,64.51,66.87
DRSDILIP.NS,1.44,3.39,3.48,24.1,-2.04,0.4227,8.23,15.852,57.01,66.85
NIPPOBATRY.NS,-0.31,-15.19,13.3,12.8,-13.61,0.5399,24.63,13.0,23.71,66.74
OAL.NS,-1.91,4.89,4.69,22.69,-6.6,0.4562,10.28,15.490000000000002,49.74,66.73
BLUEJET.NS,-5.3,-4.81,9.31,17.85,-14.61,0.5453,17.07,14.434000000000001,32.73,66.73
DIVGIITTS.NS,10.58,11.99,7.31,19.22,3.27,0.48,15.23,14.455999999999998,40.04,66.67
AARTIIND.NS,-0.05,-1.94,10.88,13.02,-10.93,0.4309,25.25,12.164,30.22,66.65
SOLEX.NS,-12.03,-7.72,-2.13,49.2,-9.9,0.6582,-3.24,28.668,74.75,66.64
HBLENGINE.NS,6.47,-3.52,4.08,23.6,2.39,0.4612,8.85,15.792,51.17,66.6
ENSER.NS,3.78,-0.15,3.15,33.61,0.63,0.7313,4.31,21.426000000000002,45.96,66.6
MICEL.NS,0.88,-16.21,4.81,25.26,-3.93,0.5682,8.47,17.080000000000002,44.46,66.49
NAGREEKEXP.NS,3.92,5.45,8.45,16.44,-4.53,0.4529,18.66,13.244,36.3,66.45
ANANDRATHI.NS,0.82,1.15,0.36,24.47,0.46,0.1956,1.84,14.825999999999999,125.1,66.45
UYFINCORP.NS,5.0,6.0,8.55,14.53,-3.55,0.3809,22.45,12.138,38.15,66.45
KEI.NS,1.14,3.4,11.86,10.17,-10.72,0.3651,32.48,10.846,27.86,66.43
ANTHEM.NS,-0.36,-3.63,7.17,13.93,-7.53,0.3103,23.11,11.225999999999999,44.89,66.37
BUTTERFLY.NS,-1.02,6.74,8.63,16.39,-9.65,0.4621,18.68,13.286,35.47,66.35
TEMBO.NS,-4.45,1.83,5.59,19.38,-10.04,0.4174,13.39,13.863999999999999,46.43,66.32
ARFIN.NS,-3.85,-4.27,-0.86,35.41,-2.99,0.3989,-2.16,20.901999999999997,88.77,66.32
IGARASHI.NS,-0.58,-11.05,12.09,12.67,-12.67,0.4877,24.79,12.437999999999999,25.98,66.26
SPMLINFRA.NS,0.9,-0.06,2.51,31.68,-1.61,0.6172,4.07,20.012,51.33,66.23
PRINCEPIPE.NS,1.28,6.82,9.28,14.15,-8.0,0.4094,22.67,12.202,34.56,66.23
PRUDENT.NS,3.7,0.45,2.37,23.95,1.33,0.3675,6.45,15.318,65.17,66.2
AVSL.NS,1.44,3.39,3.48,9.04,-2.04,0.1033,33.69,6.816,87.51,66.2
ADVAIT.NS,-4.74,-2.06,6.28,23.09,-11.02,0.6038,10.4,16.366,38.24,66.15
SRM.NS,-1.88,2.17,1.36,31.15,-3.24,0.5142,2.64,19.233999999999998,60.58,66.14
CASTROLIND.NS,3.16,2.24,4.82,8.73,-1.66,0.1312,36.74,7.166,66.54,66.14
SPAL.NS,4.59,-4.15,6.54,19.07,-1.95,0.4582,14.27,14.058,41.62,66.13
UGARSUGAR.NS,-1.24,-4.51,4.19,19.03,-5.43,0.3427,12.23,13.094000000000001,55.53,66.09
BAJAJHIND.NS,2.86,-0.33,2.9,23.64,-0.04,0.4035,7.19,15.344,58.59,66.05
CONSOFINVT.NS,6.85,10.31,12.12,11.8,-5.27,0.4574,26.5,11.928,25.8,66.05
OMFREIGHT.NS,-0.28,-1.21,9.79,14.23,-10.07,0.4491,21.8,12.454,31.69,66.02
PRAKASH.NS,6.47,0.68,5.88,20.17,0.59,0.4642,12.67,14.454,43.45,66.02
POLICYBZR.NS,-7.12,0.4,5.35,17.67,-12.47,0.3559,15.03,12.742,49.65,66.0
KREBSBIO.NS,6.56,8.79,7.45,20.99,-0.89,0.611,12.19,15.574,34.35,65.87
NELCAST.NS,3.88,-9.16,2.2,30.4,1.68,0.5777,3.81,19.119999999999997,52.62,65.79
JAYKAY.NS,-13.82,-1.75,5.42,25.22,-19.24,0.658,8.24,17.299999999999997,38.33,65.78
APOLSINHOT.NS,7.76,10.17,12.84,8.35,-5.08,0.3482,36.88,10.146,23.98,65.78
AFFLE.NS,4.37,-7.26,5.77,16.58,-1.4,0.3471,16.62,12.255999999999998,47.77,65.77
MARKOLINES.NS,1.56,0.82,12.72,8.69,-11.16,0.3629,35.05,10.302,23.95,65.72
LAMBODHARA.NS,14.58,8.04,9.26,16.72,5.32,0.555,16.68,13.735999999999999,30.13,65.71
NUVOCO.NS,5.9,3.82,11.72,9.61,-5.82,0.3632,32.27,10.454,26.46,65.68
SURYAROSNI.NS,16.39,-0.22,6.89,18.25,9.5,0.4676,14.73,13.706,39.03,65.68
PTC.NS,-1.0,-11.83,4.23,19.55,-5.23,0.3789,11.16,13.422,51.6,65.65
VASA.NS,1.44,3.39,3.48,6.75,-2.04,0.0757,45.97,5.442,89.17,65.65
ASIANHOTNR.NS,4.08,6.42,9.83,14.49,-5.75,0.4836,20.33,12.626,29.96,65.64
ROSSARI.NS,0.44,2.01,8.69,14.18,-8.25,0.4043,21.49,11.983999999999998,35.07,65.59
EPIGRAL.NS,-5.69,-10.82,-1.25,37.49,-4.44,0.482,-2.59,21.994,77.78,65.56
PTL.NS,6.3,-0.64,6.6,10.21,-0.3,0.2116,31.19,8.766,48.25,65.53
BEPL.NS,1.53,-0.7,1.06,24.67,0.47,0.3192,3.32,15.225999999999999,77.29,65.51
ATAM.NS,-1.88,-7.61,5.89,20.27,-7.77,0.4981,11.82,14.517999999999999,40.69,65.47
GABRIEL.NS,-3.15,-3.85,9.05,14.5,-12.2,0.4456,20.31,12.32,32.54,65.41
WORTHPERI.NS,3.97,8.36,6.66,12.12,-2.69,0.2679,24.86,9.936,45.24,65.31
WIPRO.NS,3.97,8.36,6.66,12.12,-2.69,0.2679,24.86,9.936,45.24,65.31
EMBASSY.NS,3.24,7.31,3.9,13.33,-0.66,0.2029,19.22,9.558,65.7,65.23
MBLINFRA.NS,11.19,8.62,10.33,16.37,0.86,0.6345,16.28,13.954,25.8,65.19
SPANDANA.NS,-1.03,-7.47,15.86,7.07,-16.89,0.4323,36.69,10.586,16.35,65.13
CAPITALSFB.NS,-0.23,-6.27,8.17,11.13,-8.4,0.2954,27.66,9.946,37.68,65.09
DIVISLAB.NS,-1.58,-1.84,8.19,8.72,-9.77,0.2224,36.83,8.508,39.21,65.05
MEDPLUS.NS,2.3,3.84,5.93,13.42,-3.63,0.2882,20.58,10.424,46.56,64.96
KPIL.NS,3.69,3.64,8.6,11.52,-4.91,0.33,26.06,10.352,34.91,64.93
ORIENTBELL.NS,-5.31,3.48,8.76,17.67,-14.07,0.6184,14.17,14.106,28.57,64.93
DENTALKART.NS,6.73,2.49,17.87,7.33,-11.14,0.5639,31.69,11.546,13.0,64.88
CROMPTON.NS,-5.38,-5.17,7.64,12.84,-13.02,0.3377,22.62,10.76,38.02,64.87
SGIL.NS,8.67,-7.98,9.99,12.21,-1.32,0.4292,23.28,11.322000000000001,28.45,64.81
FINCABLES.NS,-5.98,-12.06,8.28,15.24,-14.26,0.4593,18.03,12.456,33.18,64.78
STCINDIA.NS,10.14,10.1,12.93,8.29,-2.79,0.3875,33.37,10.146,21.39,64.67
STARTECK.NS,10.14,10.1,12.93,8.29,-2.79,0.3875,33.37,10.146,21.39,64.67
BALKRISHNA.NS,0.44,0.24,7.33,17.5,-6.89,0.5139,14.26,13.432,34.05,64.64
LPDC.NS,3.72,-4.21,4.19,22.43,-0.47,0.5174,8.1,15.134,43.35,64.62
VINEETLAB.NS,1.58,-8.27,2.74,26.04,-1.16,0.5499,4.98,16.72,47.35,64.52
SRGHFL.NS,3.11,-8.24,6.41,16.29,-3.3,0.4112,15.59,12.338,39.62,64.52
UWCSL.NS,1.65,9.67,8.76,8.65,-7.11,0.2479,35.34,8.694,34.89,64.51
TATACONSUM.NS,-0.65,-7.26,8.28,9.22,-8.93,0.2525,32.79,8.844,36.51,64.49
KIRLOSIND.NS,5.33,-3.31,4.08,20.73,1.25,0.4547,8.97,14.07,45.59,64.45
ANDHRSUGAR.NS,11.5,4.13,11.69,11.9,-0.19,0.5196,22.5,11.815999999999999,22.9,64.44
SUPREMEINF.NS,3.18,0.2,15.63,6.02,-12.45,0.3897,40.11,9.864,15.45,64.44
ANANTRAJ.NS,11.5,4.13,11.69,11.9,-0.19,0.5196,22.5,11.815999999999999,22.9,64.44
GULPOLY.NS,3.75,-4.24,4.16,21.36,-0.41,0.4816,8.64,14.479999999999999,44.35,64.42
SOUTHBANK.NS,5.08,6.68,12.14,9.69,-7.06,0.4298,28.25,10.67,22.55,64.4
NAHARCAP.NS,3.25,0.02,5.89,16.23,-2.64,0.3868,15.23,12.094,41.96,64.34
BAHETI.NS,1.67,2.43,10.73,9.07,-9.06,0.3432,31.26,9.734000000000002,26.43,64.32
KARNIKA.NS,1.44,8.17,6.54,19.3,-5.1,0.5577,11.73,14.196,34.61,64.3
AONETMMQ50.NS,0.38,0.64,4.97,11.08,-4.59,0.2059,24.14,8.636,53.81,64.22
MUNJALAU.NS,-5.23,-6.46,9.65,12.57,-14.88,0.4473,21.57,11.402000000000001,28.1,64.22
DYNPRO.NS,12.82,12.0,6.89,18.09,5.93,0.5418,12.72,13.61,33.39,64.16
VGL.NS,6.71,16.69,11.62,13.68,-4.91,0.634,18.33,12.856,21.58,64.15
MOREPENLAB.NS,5.93,0.24,12.02,11.12,-6.09,0.507,23.71,11.48,21.93,64.15
KRONOX.NS,0.08,-2.69,4.6,19.73,-4.52,0.4569,10.07,13.677999999999999,43.18,64.11
BANCOINDIA.NS,6.89,6.34,8.29,13.89,-1.4,0.4385,18.91,11.649999999999999,31.68,64.09
TORNTPHARM.NS,-2.42,-2.11,8.19,7.89,-10.61,0.2184,37.5,8.01,36.13,64.08
KIMS.NS,0.88,-2.73,13.42,7.37,-12.54,0.3793,35.38,9.79,19.43,64.05
BANARISUG.NS,2.81,0.34,3.97,7.73,-1.16,0.1193,33.28,6.226,64.79,64.04
QMSMEDI.NS,4.17,-0.09,12.65,9.42,-8.48,0.4606,27.46,10.712,20.45,64.03
TFCILTD.NS,7.3,-3.78,8.86,16.06,-1.56,0.6001,14.76,13.18,26.76,64.03
DONEAR.NS,6.77,4.53,5.86,16.34,0.91,0.4056,14.45,12.148,40.29,63.98
TEJASNET.NS,17.87,15.9,10.64,9.37,7.23,0.3661,29.06,9.878,25.59,63.94
TEGA.NS,17.87,15.9,10.64,9.37,7.23,0.3661,29.06,9.878,25.59,63.94
MODIS.NS,0.41,-6.86,8.32,11.85,-7.91,0.3644,22.83,10.437999999999999,32.52,63.92
MASKINVEST.NS,4.0,0.36,13.57,11.64,-9.57,0.6549,20.72,12.412,17.77,63.92
MMP.NS,-5.9,-4.96,7.97,14.46,-13.87,0.4487,17.76,11.864,32.23,63.91
GUJALKALI.NS,-3.0,-7.15,-4.73,48.92,1.73,0.5048,-9.37,27.46,96.91,63.86
