,MOMENTUM,LOW_VOL,QUALITY,RS,FACTOR
BULL_EXPANSION,0.0,0.0,0.0,0.0,0.0
SIDEWAYS_LOW_VOL,3002.725011432781,2617.685057217291,5493.612390448769,1421.4433564347453,2242.3676717725457
SIDEWAYS_HIGH_VOL,0.0,0.0,0.0,0.0,0.0
BEAR_DISTRIBUTION,0.0,0.0,0.0,0.0,0.0
PANIC,0.0,0.0,0.0,0.0,0.0
RECOVERY,0.0,0.0,0.0,0.0,0.0
