Date,Portfolio,Benchmark
2026-01-30,1.0042345406186426,0.9961347659225953
2026-02-02,0.9863519050053072,0.9869978639940737
2026-02-03,1.0425504367242404,1.0121425547872573
2026-02-04,1.0716208636278886,1.014048586047676
2026-02-05,1.0789130053120783,1.0088084215754503
2026-02-06,1.0685123221216246,1.01081080707277
2026-02-09,1.1143038163447974,1.017640432266314
2026-02-10,1.1437439411691024,1.0203096905085007
2026-02-11,1.1332182051166577,1.0210453328243618
2026-02-12,1.1237070403585108,1.0152759884242757
2026-02-13,1.1231221340100173,1.0020535592786404
2026-02-16,1.1202570853437759,1.0103800559945668
2026-02-17,1.155279588809553,1.0120579566893086
2026-02-18,1.1548031181760983,1.0157539945708156
2026-02-19,1.1347092937459764,1.001394600797251
2026-02-20,1.1391564634253981,1.0059935562527795
2026-02-23,1.1414364831027386,1.0115701153415542
2026-02-24,1.112177954477677,1.00022620962794
2026-02-25,1.1183346321470387,1.002502059821536
2026-02-26,1.1262746872237386,1.0030548288648098
2026-02-27,1.1131519679703687,0.990548371632606
2026-03-02,1.095118589566682,0.9782366206494508
2026-03-04,1.0723120588330564,0.9630825733527366
2026-03-05,1.0860613819276053,0.9743104544270204
2026-03-06,1.0837791411563822,0.9619003514317175
2026-03-09,1.0619874274633034,0.9452828569292492
2026-03-10,1.100212777889524,0.954470855801582
2026-03-11,1.1112924313987704,0.9389410730834596
2026-03-12,1.1190037750608306,0.9299832025520507
2026-03-13,1.0891635919230271,0.9107828920055723
2026-03-16,1.0903003050624722,0.9209210635202633
2026-03-17,1.111686836584423,0.9277014358702241
2026-03-18,1.1455050522275918,0.9354378205132643
2026-03-19,1.1235202692731143,0.9049231098568161
2026-03-20,1.143591597619617,0.909343033915232
2026-03-23,1.1044518842583153,0.8856657858782958
2026-03-24,1.147066415377061,0.9013922726207136
2026-03-25,1.165582294623617,0.9168944706729288
2026-03-27,1.1501149843857539,0.897741415194787
2026-03-30,1.1328432812913143,0.8785352649975874
2026-04-01,1.1880504990474854,0.8922258650885476
2026-04-02,1.2009895956192977,0.8935516194772949
2026-04-06,1.2227602190751707,0.9035894412045914
2026-04-07,1.23857462745786,0.9097030176471945
2026-04-08,1.2887105022108778,0.94407504811757
2026-04-09,1.3048639471260508,0.9353315542376393
2026-04-10,1.335474989099301,0.9461699459763162
2026-04-13,1.3470593424127228,0.937989056340874
2026-04-15,1.384789250455578,0.953278875516858
2026-04-16,1.4042453808140105,0.951919619973973
2026-04-17,1.4256752006633393,0.9580882889108807
2026-04-20,1.4150130751587233,0.9585327939032826
2026-04-21,1.4324391258985463,0.966863209332193
2026-04-22,1.4468087353274577,0.9590540595676654
2026-04-23,1.4588671110595648,0.9509872736338165
2026-04-24,1.4535433971183582,0.9401645567470757
2026-04-27,1.504902405569239,0.9478261784933817
2026-04-28,1.517835043226791,0.9440101204220508
2026-04-29,1.5205018388735418,0.9511682259686662
2026-04-30,1.5402269793502614,0.9440829623810476
2026-05-01,1.5402269793502614,0.9440829623810476
2026-05-04,1.6010257499646077,0.9488727053726408
2026-05-05,1.6487433734400698,0.9454697257523302
2026-05-06,1.6840892465947204,0.9571991252510577
2026-05-07,1.7426478469405626,0.9570300058926693
2026-05-08,1.789122099849558,0.9511092147613776
2026-05-11,1.854221454182453,0.9369346920356468
2026-05-12,1.816473295850693,0.9197703449781355
2026-05-13,1.8394825737732317,0.9210705124762223
2026-05-14,1.8615719210535853,0.9319679154221877
2026-05-15,1.8477980850819706,0.930154319685686
2026-05-18,1.867493735309399,0.9304080371420234
2026-05-19,1.8921793667636433,0.9291511291617794
2026-05-20,1.917820940572598,0.9307641021610018
2026-05-21,1.9682670092284975,0.930594905965104
2026-05-22,2.0119806976760355,0.9331363834290083
2026-05-25,2.1326467227051387,0.9454263893969777
2026-05-26,2.2482935703246465,0.9407841744236061
2026-05-27,2.3420961630075965,0.9405265382542848
