Symbol,MULTI_FACTOR_SCORE,ENTRY_SCORE,EXPECTED_RETURN_30D,CONVICTION,CONVICTION_SCORE,CONVICTION_RANK
SONACOMS,67.27,4.0,8.82,LOW,59.17,590
HNDFDS,66.96,4.0,8.84,LOW,59.08,591
AKUMS,67.82,4.0,8.63,LOW,59.07,592
MOTILALOFS,66.42,4.0,8.94,LOW,59.04,593
AGIIL,66.57,4.0,8.88,LOW,58.99,594
VIAZ,49.15,6.0,7.9,LOW,58.92,595
IKIO,66.54,4.0,8.82,LOW,58.88,596
HMVL,57.86,5.0,8.33,LOW,58.85,597
AMBICAAGAR,49.34,6.0,7.79,LOW,58.8,598
ASHIMASYN,65.7,4.0,8.96,LOW,58.78,599
SHAH,49.56,6.0,7.72,LOW,58.77,600
PONNIERODE,66.03,4.0,8.85,LOW,58.73,601
BIOFILCHEM,66.76,4.0,8.67,LOW,58.71,602
ABSLAMC,66.51,4.0,8.71,LOW,58.68,603
AARVI,58.23,5.0,8.14,LOW,58.67,604
NAM-INDIA,65.47,4.0,8.94,LOW,58.66,605
CELLECOR,79.87,2.0,10.56,LOW,58.62,606
PGIL,57.76,5.0,8.22,LOW,58.62,607
GATECH,64.88,4.0,9.05,LOW,58.61,608
IT,57.95,5.0,8.16,LOW,58.6,609
EVINDIA,48.71,6.0,7.81,LOW,58.59,610
SHANTIGOLD,64.93,4.0,9.02,LOW,58.58,611
IRIS,65.74,4.0,8.82,LOW,58.56,612
GKENERGY,66.14,4.0,8.68,LOW,58.48,613
JASH,65.59,4.0,8.8,LOW,58.46,614
RAMCOSYS,57.05,5.0,8.27,LOW,58.43,615
UNIHEALTH,65.98,4.0,8.68,LOW,58.41,616
SJLOGISTIC,57.16,5.0,8.21,LOW,58.37,617
SALONA,65.5,4.0,8.75,LOW,58.34,618
DBEIL,65.31,4.0,8.78,LOW,58.32,619
QUESS,65.27,4.0,8.78,LOW,58.3,620
VTL,64.77,4.0,8.82,LOW,58.17,621
GRCL,77.69,2.0,10.8,LOW,58.16,622
RELIABLE,56.93,5.0,8.14,LOW,58.15,623
VALIANTLAB,80.0,2.0,10.17,LOW,58.01,624
LENSKART,56.85,5.0,8.05,LOW,57.97,625
RUBFILA,72.48,3.0,9.4,LOW,57.96,626
URJA,64.98,4.0,8.65,LOW,57.96,627
SARTELE,78.73,2.0,10.43,LOW,57.94,628
COHANCE,80.29,2.0,10.04,LOW,57.9,629
SREEL,55.33,5.0,8.33,LOW,57.84,630
CHAMBLFERT,56.02,5.0,8.16,LOW,57.83,631
MEDPLUS,64.82,4.0,8.6,LOW,57.81,632
HAPPYFORGE,64.39,4.0,8.7,LOW,57.81,633
BCG,38.03,7.0,7.33,LOW,57.78,634
BLUECOAST,78.0,2.0,10.43,LOW,57.65,635
NOIDATOLL,76.36,2.0,10.81,LOW,57.65,636
RKSWAMY,54.57,5.0,8.37,LOW,57.61,637
KRISHNADEF,63.51,4.0,8.78,LOW,57.6,638
SHRIPISTON,55.81,5.0,8.08,LOW,57.6,639
PIRAMALFIN,62.88,4.0,8.92,LOW,57.59,640
WELENT,63.9,4.0,8.68,LOW,57.58,641
KARNIKA,63.91,4.0,8.67,LOW,57.57,642
GEOJITFSL,63.22,4.0,8.8,LOW,57.52,643
GARFIBRES,55.4,5.0,8.11,LOW,57.49,644
GSMFOILS,38.25,7.0,7.11,LOW,57.49,645
IRISDOREME,63.95,4.0,8.61,LOW,57.48,646
VIVO,63.37,4.0,8.74,LOW,57.47,647
SEJALLTD,78.81,2.0,10.11,LOW,57.43,648
KORE,64.0,4.0,8.57,LOW,57.43,649
SAKHTISUG,64.0,4.0,8.56,LOW,57.42,650
BALAXI,80.56,2.0,9.69,LOW,57.41,651
SENORES,78.64,2.0,10.13,LOW,57.39,652
SAGARDEEP,63.03,4.0,8.76,LOW,57.37,653
ZEEL,62.51,4.0,8.85,LOW,57.32,654
WALCHANNAG,77.91,2.0,10.25,LOW,57.31,655
SAKUMA,63.64,4.0,8.51,LOW,57.19,656
STARTECK,54.17,5.0,8.22,LOW,57.19,657
OMFURN,62.85,4.0,8.69,LOW,57.18,658
GREENCHEF,78.25,2.0,10.08,LOW,57.15,659
TVSSRICHAK,54.9,5.0,8.02,LOW,57.14,660
MINDTECK,63.55,4.0,8.5,LOW,57.13,661
SRF,62.75,4.0,8.68,LOW,57.12,662
RBA,62.71,4.0,8.69,LOW,57.12,663
BASML,62.81,4.0,8.66,LOW,57.11,664
RELIGARE,62.51,4.0,8.71,LOW,57.08,665
SGIL,63.0,4.0,8.59,LOW,57.07,666
TMPV,53.87,5.0,8.15,LOW,56.95,667
SIL,62.59,4.0,8.61,LOW,56.94,668
INDGN,62.65,4.0,8.58,LOW,56.91,669
SINDHUTRAD,53.51,5.0,8.19,LOW,56.87,670
RML,61.14,4.0,8.86,LOW,56.79,671
CLEAN,62.57,4.0,8.5,LOW,56.74,672
RAMCOIND,53.68,5.0,8.05,LOW,56.7,673
DBOL,62.54,4.0,8.47,LOW,56.68,674
3IINFOLTD,79.4,2.0,9.52,LOW,56.65,675
VINCOFE,53.45,5.0,8.04,LOW,56.59,676
BANSWRAS,61.34,4.0,8.65,LOW,56.51,677
SEL,61.55,4.0,8.59,LOW,56.49,678
SABAR,52.13,5.0,8.27,LOW,56.46,679
CASTROLIND,62.31,4.0,8.39,LOW,56.45,680
SHEMAROO,35.48,7.0,7.13,LOW,56.41,681
CYBERTECH,77.73,2.0,9.76,LOW,56.39,682
BSE,76.35,2.0,10.04,LOW,56.32,683
KESORAMIND,76.33,2.0,10.03,LOW,56.3,684
BALKRISHNA,61.2,4.0,8.55,LOW,56.28,685
SENCO,60.98,4.0,8.59,LOW,56.26,686
RTNPOWER,61.48,4.0,8.46,LOW,56.24,687
KANSAINER,61.05,4.0,8.54,LOW,56.2,688
SIYSIL,60.76,4.0,8.6,LOW,56.19,689
VAIBHAVGBL,52.44,5.0,8.04,LOW,56.19,690
DEEDEV,82.65,0.0,13.48,LOW,56.17,691
NORTHARC,59.91,4.0,8.77,LOW,56.14,692
PARIN,51.92,5.0,8.13,LOW,56.13,693
SMARTLINK,77.42,2.0,9.67,LOW,56.12,694
HARSHA,61.46,4.0,8.35,LOW,56.04,695
MUKANDLTD,61.03,4.0,8.45,LOW,56.04,696
PERSISTENT,69.59,3.0,8.93,LOW,56.0,697
EQUITASBNK,60.4,4.0,8.56,LOW,55.98,698
ROSSARI,60.61,4.0,8.5,LOW,55.96,699
LUMAXTECH,52.73,5.0,7.82,LOW,55.93,700
AFFLE,60.53,4.0,8.47,LOW,55.87,701
VGL,60.22,4.0,8.54,LOW,55.87,702
NAVKARURB,51.36,5.0,8.08,LOW,55.82,703
IDEAFORGE,83.4,0.0,13.09,LOW,55.8,704
JSWSTEEL,60.34,4.0,8.46,LOW,55.78,705
TASTYBITE,60.62,4.0,8.38,LOW,55.76,706
DHANBANK,60.3,4.0,8.43,LOW,55.71,707
APOLLOHOSP,60.29,4.0,8.43,LOW,55.71,708
SEYAIND,74.88,2.0,10.02,LOW,55.7,709
MEDANTA,59.83,4.0,8.53,LOW,55.7,710
MASTEK,69.39,3.0,8.78,LOW,55.66,711
NIPPOBATRY,59.55,4.0,8.54,LOW,55.6,712
TTKPRESTIG,59.5,4.0,8.54,LOW,55.58,713
TFCILTD,59.66,4.0,8.49,LOW,55.56,714
STCINDIA,59.76,4.0,8.46,LOW,55.55,715
APOLLOPIPE,76.4,2.0,9.53,LOW,55.47,716
PLAZACABLE,75.07,2.0,9.84,LOW,55.47,717
UYFINCORP,59.57,4.0,8.46,LOW,55.47,718
SCHNEIDER,75.04,2.0,9.81,LOW,55.4,719
SHREDIGCEM,60.11,4.0,8.28,LOW,55.38,720
LRRPL,75.86,2.0,9.6,LOW,55.37,721
SADHNANIQ,74.96,2.0,9.81,LOW,55.37,722
SANOFICONR,60.22,4.0,8.24,LOW,55.36,723
SRGHFL,59.39,4.0,8.43,LOW,55.35,724
ICICIAMC,59.45,4.0,8.39,LOW,55.31,725
PREMIERPOL,59.19,4.0,8.37,LOW,55.17,726
STAR,75.56,2.0,9.54,LOW,55.15,727
CARBORUNIV,75.42,2.0,9.57,LOW,55.15,728
GKSL,74.5,2.0,9.75,LOW,55.09,729
BAJAJHIND,67.69,3.0,8.82,LOW,55.05,730
AURUM,50.38,5.0,7.85,LOW,55.04,731
NUVOCO,58.63,4.0,8.41,LOW,55.01,732
JPPOWER,76.04,2.0,9.34,LOW,55.0,733
ONEPOINT,75.46,2.0,9.47,LOW,54.99,734
JMA,50.0,5.0,7.89,LOW,54.95,735
IBLFL,73.84,2.0,9.8,LOW,54.91,736
KPITTECH,67.2,3.0,8.85,LOW,54.91,737
AEQUS,74.55,2.0,9.63,LOW,54.9,738
DHANLAXMI,58.59,4.0,8.34,LOW,54.88,739
COMMITTED,74.57,2.0,9.61,LOW,54.87,740
DIGISPICE,57.94,4.0,8.49,LOW,54.87,741
CHEMICAL,58.56,4.0,8.34,LOW,54.86,742
INTELLECT,67.08,3.0,8.83,LOW,54.83,743
JAINAM,71.97,2.0,10.18,LOW,54.81,744
ASAHIINDIA,49.79,5.0,7.85,LOW,54.8,745
KEI,58.1,4.0,8.4,LOW,54.78,746
5PAISA,49.81,5.0,7.83,LOW,54.78,747
CAMPUS,50.01,5.0,7.78,LOW,54.77,748
PTL,58.43,4.0,8.29,LOW,54.73,749
PDSL,49.59,5.0,7.81,LOW,54.65,750
PITTIENG,58.34,4.0,8.25,LOW,54.62,751
SILKFLEX,72.85,2.0,9.85,LOW,54.6,752
ANUP,58.32,4.0,8.24,LOW,54.6,753
JAGSNPHARM,74.8,2.0,9.36,LOW,54.54,754
AGARWALEYE,66.29,3.0,8.84,LOW,54.53,755
KPIGREEN,75.24,2.0,9.25,LOW,54.52,756
VIKRAMSOLR,58.9,4.0,8.06,LOW,54.52,757
JAYNECOIND,74.49,2.0,9.39,LOW,54.46,758
EMAMIREAL,72.39,2.0,9.87,LOW,54.45,759
IMFA,57.68,4.0,8.26,LOW,54.37,760
RELAXO,48.89,5.0,7.81,LOW,54.37,761
APCL,48.7,5.0,7.83,LOW,54.33,762
DIVISLAB,57.46,4.0,8.27,LOW,54.3,763
PARTYCRUS,72.75,2.0,9.69,LOW,54.28,764
SMARTWORKS,57.36,4.0,8.28,LOW,54.28,765
NGIL,49.91,5.0,7.52,LOW,54.28,766
ONDOOR,39.91,6.0,7.33,LOW,54.24,767
SGMART,73.96,2.0,9.36,LOW,54.2,768
CPCAP,57.34,4.0,8.23,LOW,54.19,769
AXISCADES,57.23,4.0,8.25,LOW,54.18,770
TTKHLTCARE,57.42,4.0,8.17,LOW,54.12,771
OIL,57.28,4.0,8.2,LOW,54.11,772
POLICYBZR,56.77,4.0,8.32,LOW,54.11,773
ALIVUS,74.71,2.0,9.11,LOW,54.07,774
MANORG,72.89,2.0,9.51,LOW,54.03,775
KPEL,74.13,2.0,9.21,LOW,54.01,776
MPHASIS,66.46,3.0,8.5,LOW,54.01,777
EUROTEXIND,72.46,2.0,9.59,LOW,54.0,778
CMSINFO,57.44,4.0,8.08,LOW,53.97,779
MARKOLINES,56.39,4.0,8.32,LOW,53.96,780
AUROPHARMA,73.85,2.0,9.22,LOW,53.92,781
AERONEU,73.14,2.0,9.39,LOW,53.92,782
NELCAST,73.87,2.0,9.18,LOW,53.86,783
MADRASFERT,39.38,6.0,7.23,LOW,53.86,784
AMIABLE,49.2,5.0,7.43,LOW,53.85,785
RPGLIFE,73.11,2.0,9.35,LOW,53.84,786
SPMLINFRA,73.64,2.0,9.2,LOW,53.8,787
INDOSTAR,47.79,5.0,7.71,LOW,53.76,788
KIOCL,72.58,2.0,9.42,LOW,53.75,789
PNCINFRA,56.35,4.0,8.2,LOW,53.74,790
KRITINUT,72.69,2.0,9.38,LOW,53.73,791
SRM,73.58,2.0,9.16,LOW,53.71,792
CEMPRO,81.99,0.0,12.17,LOW,53.66,793
MODIS,55.9,4.0,8.25,LOW,53.65,794
SUVEN,82.94,0.0,11.9,LOW,53.58,795
MAHABANK,55.25,4.0,8.35,LOW,53.56,796
RAJSREESUG,72.78,2.0,9.23,LOW,53.51,797
ORTINGLOBE,38.77,6.0,7.15,LOW,53.48,798
RVTH,71.16,2.0,9.56,LOW,53.42,799
ELECON,70.91,2.0,9.61,LOW,53.41,800
20MICRONS,55.72,4.0,8.15,LOW,53.4,801
HLEGLAS,29.97,7.0,6.65,LOW,53.39,802
BOSCHLTD,55.92,4.0,8.08,LOW,53.36,803
KRN,56.34,4.0,7.91,LOW,53.24,804
STYRENIX,72.44,2.0,9.14,LOW,53.22,805
TRANSWORLD,72.11,2.0,9.22,LOW,53.22,806
RBLBANK,54.8,4.0,8.26,LOW,53.22,807
AUSOMENT,71.08,2.0,9.43,LOW,53.17,808
MICEL,72.46,2.0,9.1,LOW,53.16,809
KANDARP,54.72,4.0,8.22,LOW,53.12,810
SOLEX,71.26,2.0,9.32,LOW,53.05,811
MFML,71.95,2.0,9.15,LOW,53.04,812
GUJALKALI,71.47,2.0,9.26,LOW,53.03,813
SHIGAN,68.96,2.0,9.82,LOW,52.99,814
TEGA,63.55,3.0,8.58,LOW,52.99,815
CHEMBONDCH,70.41,2.0,9.47,LOW,52.97,816
QUICKHEAL,71.15,2.0,9.28,LOW,52.94,817
ARISTO,69.57,2.0,9.64,LOW,52.93,818
CAMS,72.07,2.0,9.04,LOW,52.9,819
KSL,54.77,4.0,8.07,LOW,52.89,820
SECMARK,54.87,4.0,8.04,LOW,52.87,821
BHARATWIRE,71.8,2.0,9.05,LOW,52.81,822
TRIGYN,71.72,2.0,9.07,LOW,52.81,823
RAMRAT,71.13,2.0,9.2,LOW,52.79,824
LOKESHMACH,71.11,2.0,9.18,LOW,52.75,825
ALLDIGI,54.83,4.0,7.95,LOW,52.7,826
CLSEL,54.15,4.0,8.08,LOW,52.65,827
BEPL,71.74,2.0,8.97,LOW,52.64,828
VAISHALI,46.02,5.0,7.47,LOW,52.64,829
SIGNPOST,53.02,4.0,8.31,LOW,52.6,830
BHAGCHEM,70.42,2.0,9.23,LOW,52.56,831
HBLENGINE,71.32,2.0,9.0,LOW,52.53,832
MDL,70.25,2.0,9.21,LOW,52.46,833
SPECTSTM,62.51,3.0,8.46,LOW,52.36,834
ARIHANTSUP,53.71,4.0,8.01,LOW,52.36,835
GLOBAL,53.43,4.0,8.04,LOW,52.3,836
GREENPOWER,70.69,2.0,9.0,LOW,52.28,837
ARKADE,68.2,2.0,9.58,LOW,52.27,838
TATASTEEL,53.64,4.0,7.96,LOW,52.24,839
ROSSELLIND,70.33,2.0,9.06,LOW,52.23,840
ENDURANCE,52.37,4.0,8.25,LOW,52.23,841
BOSCH-HCIL,53.15,4.0,8.06,LOW,52.22,842
PRECWIRE,81.56,0.0,11.42,LOW,52.2,843
MODTHREAD,70.29,2.0,9.05,LOW,52.2,844
MANINFRA,68.92,2.0,9.37,LOW,52.2,845
WEIZMANIND,82.28,0.0,11.24,LOW,52.18,846
JUBLPHARMA,70.09,2.0,9.08,LOW,52.17,847
INSECTICID,70.43,2.0,8.99,LOW,52.15,848
TECH,44.87,5.0,7.42,LOW,52.1,849
LALPATHLAB,69.36,2.0,9.16,LOW,52.02,850
LAXMIINDIA,67.91,2.0,9.5,LOW,52.02,851
UTKARSHBNK,69.24,2.0,9.18,LOW,52.0,852
BAHETI,52.38,4.0,8.11,LOW,52.0,853
ZTECH,68.97,2.0,9.22,LOW,51.97,854
CERA,69.71,2.0,9.03,LOW,51.94,855
VISHWARAJ,44.35,5.0,7.45,LOW,51.94,856
MAKEINDIA,52.82,4.0,7.96,LOW,51.92,857
PLADAINFO,52.96,4.0,7.92,LOW,51.9,858
IDFCFIRSTB,43.68,5.0,7.56,LOW,51.86,859
MINDSPACE,52.87,4.0,7.91,LOW,51.85,860
NYKAA,52.68,4.0,7.92,LOW,51.79,861
INTLCONV,52.79,4.0,7.89,LOW,51.78,862
SELECTIPO,52.58,4.0,7.93,LOW,51.77,863
ASTERDM,69.37,2.0,9.0,LOW,51.75,864
CYBERMEDIA,68.13,2.0,9.29,LOW,51.75,865
MSTCLTD,43.96,5.0,7.42,LOW,51.73,866
BANSALWIRE,69.21,2.0,8.92,LOW,51.55,867
FEDERALBNK,43.37,5.0,7.45,LOW,51.55,868
VEEKAYEM,34.51,6.0,7.01,LOW,51.54,869
HALEOSLABS,67.86,2.0,9.19,LOW,51.47,870
SHADOWFAX,80.85,0.0,11.15,LOW,51.45,871
SETCO,80.5,0.0,11.2,LOW,51.4,872
OILCOUNTUB,69.14,2.0,8.85,LOW,51.4,873
TATAPOWER,69.63,2.0,8.73,LOW,51.39,874
JSWCEMENT,51.56,4.0,7.92,LOW,51.34,875
AARTIDRUGS,60.27,3.0,8.37,LOW,51.31,876
KAMDHENU,51.34,4.0,7.95,LOW,51.31,877
KIRLOSIND,68.87,2.0,8.85,LOW,51.29,878
PNBHOUSING,67.52,2.0,9.16,LOW,51.28,879
CAPTRUST,50.9,4.0,8.01,LOW,51.23,880
BERGEPAINT,67.99,2.0,9.01,LOW,51.21,881
BROOKS,60.71,3.0,8.19,LOW,51.18,882
INFY,60.71,3.0,8.17,LOW,51.15,883
PODDARMENT,51.18,4.0,7.89,LOW,51.14,884
ASCOM,68.09,2.0,8.93,LOW,51.12,885
DELTACORP,50.16,4.0,8.07,LOW,51.04,886
NAVINFLUOR,67.07,2.0,9.1,LOW,51.0,887
ARTNIRMAN,42.39,5.0,7.35,LOW,50.98,888
HPIL,50.88,4.0,7.86,LOW,50.97,889
FALCONTECH,50.03,4.0,8.06,LOW,50.97,890
YATHARTH,67.81,2.0,8.89,LOW,50.94,891
GMRAIRPORT,50.83,4.0,7.83,LOW,50.9,892
SOUTHWEST,83.38,0.0,10.18,LOW,50.8,893
PTC,67.86,2.0,8.79,LOW,50.78,894
AIMTRON,81.08,0.0,10.7,LOW,50.77,895
GULPOLY,67.64,2.0,8.81,LOW,50.73,896
WINSOME,79.48,0.0,11.04,LOW,50.72,897
AKSHARCHEM,24.4,7.0,6.38,LOW,50.7,898
PROTEAN,58.46,3.0,8.43,LOW,50.69,899
SAHYADRI,66.19,2.0,9.12,LOW,50.68,900
MINDPOOL,50.21,4.0,7.85,LOW,50.68,901
RADIOCITY,50.42,4.0,7.79,LOW,50.67,902
DYCL,50.22,4.0,7.83,LOW,50.65,903
MASTER,67.14,2.0,8.86,LOW,50.62,904
SUTLEJTEX,67.42,2.0,8.79,LOW,50.61,905
UTLSOLAR,79.29,0.0,11.01,LOW,50.59,906
OAL,67.2,2.0,8.83,LOW,50.59,907
HARDWYN,81.07,0.0,10.55,LOW,50.51,908
PRUDENT,67.05,2.0,8.79,LOW,50.46,909
SHREEKARNI,49.89,4.0,7.78,LOW,50.44,910
FELIX,49.39,4.0,7.86,LOW,50.37,911
DIXON,66.97,2.0,8.75,LOW,50.36,912
NCLIND,58.35,3.0,8.26,LOW,50.36,913
KNRCON,49.36,4.0,7.86,LOW,50.36,914
CESC,66.78,2.0,8.78,LOW,50.33,915
INFINIUM,49.62,4.0,7.78,LOW,50.33,916
ORIENTHOT,49.48,4.0,7.81,LOW,50.32,917
SSWL,32.21,6.0,6.83,LOW,50.31,918
EMIL,65.89,2.0,8.96,LOW,50.29,919
RBS,49.69,4.0,7.72,LOW,50.25,920
MARKSANS,80.09,0.0,10.61,LOW,50.22,921
EPIGRAL,65.93,2.0,8.91,LOW,50.22,922
BIOCON,65.42,2.0,8.99,LOW,50.15,923
CHEMBOND,65.56,2.0,8.95,LOW,50.14,924
NAGREEKCAP,48.78,4.0,7.86,LOW,50.13,925
CLEDUCATE,58.01,3.0,8.18,LOW,50.08,926
BHARATFORG,48.95,4.0,7.79,LOW,50.08,927
WEALTH,49.03,4.0,7.76,LOW,50.06,928
IRMENERGY,64.79,2.0,9.07,LOW,50.04,929
PROPEQUITY,64.9,2.0,9.03,LOW,50.01,930
TARSONS,66.46,2.0,8.62,LOW,49.93,931
LPDC,65.9,2.0,8.75,LOW,49.93,932
ASHIANA,65.08,2.0,8.93,LOW,49.91,933
BLUESTONE,57.19,3.0,8.26,LOW,49.89,934
MADHAV,48.88,4.0,7.7,LOW,49.89,935
MADHUCON,65.55,2.0,8.8,LOW,49.88,936
MADHUSUDAN,65.56,2.0,8.79,LOW,49.86,937
GOKEX,48.28,4.0,7.81,LOW,49.84,938
ATAM,65.62,2.0,8.75,LOW,49.82,939
MAXIND,65.73,2.0,8.72,LOW,49.81,940
PANACHE,65.14,2.0,8.85,LOW,49.8,941
LAL,57.26,3.0,8.19,LOW,49.8,942
GANDHAR,39.98,5.0,7.19,LOW,49.75,943
CYIENT,57.54,3.0,8.08,LOW,49.72,944
KICL,47.83,4.0,7.83,LOW,49.7,945
SPANDANA,47.19,4.0,7.98,LOW,49.7,946
PARADEEP,48.17,4.0,7.74,LOW,49.68,947
RATNAVEER,64.72,2.0,8.86,LOW,49.65,948
GNFC,65.29,2.0,8.72,LOW,49.64,949
KRONOX,65.35,2.0,8.7,LOW,49.63,950
KECL,65.85,2.0,8.56,LOW,49.59,951
AMEYA,65.01,2.0,8.76,LOW,49.59,952
GANESHCP,39.26,5.0,7.25,LOW,49.56,953
CONCORDBIO,47.84,4.0,7.74,LOW,49.55,954
DENTALKART,55.72,3.0,8.38,LOW,49.51,955
KOTHARIPRO,65.37,2.0,8.62,LOW,49.5,956
POCL,64.29,2.0,8.87,LOW,49.49,957
ARTEMISMED,63.8,2.0,8.95,LOW,49.43,958
INDHOTEL,47.81,4.0,7.68,LOW,49.43,959
PIDILITIND,47.43,4.0,7.75,LOW,49.4,960
GVKPIL,64.71,2.0,8.7,LOW,49.37,961
GAIL,47.52,4.0,7.71,LOW,49.37,962
SIEMENS,65.09,2.0,8.59,LOW,49.33,963
GESHIP,64.28,2.0,8.78,LOW,49.33,964
WINDLAS,56.69,3.0,8.05,LOW,49.33,965
TEMBO,64.6,2.0,8.68,LOW,49.29,966
DEFENCE,79.08,0.0,10.26,LOW,49.22,967
KELLTONTEC,47.23,4.0,7.68,LOW,49.2,968
ROUTE,55.6,3.0,8.22,LOW,49.19,969
MAHKTECH,47.12,4.0,7.7,LOW,49.19,970
MARC,78.3,0.0,10.41,LOW,49.17,971
VINYLINDIA,64.22,2.0,8.7,LOW,49.17,972
TVSSCS,47.41,4.0,7.62,LOW,49.17,973
MMTC,47.29,4.0,7.64,LOW,49.16,974
ESABINDIA,63.64,2.0,8.82,LOW,49.15,975
UNITEDTEA,47.25,4.0,7.63,LOW,49.12,976
PVP,56.34,3.0,8.0,LOW,49.11,977
IMPAL,47.53,4.0,7.55,LOW,49.1,978
ADSL,64.44,2.0,8.59,LOW,49.07,979
SRHHYPOLTD,63.99,2.0,8.69,LOW,49.06,980
PYRAMID,63.82,2.0,8.72,LOW,49.05,981
BLUEJET,63.79,2.0,8.71,LOW,49.02,982
S&SPOWER,78.98,0.0,10.14,LOW,48.97,983
CELLPOINT,64.17,2.0,8.59,LOW,48.97,984
CLSL,46.79,4.0,7.65,LOW,48.97,985
KHAITANLTD,78.59,0.0,10.19,LOW,48.9,986
JSWINFRA,64.06,2.0,8.54,LOW,48.84,987
JUBLINGREA,46.21,4.0,7.71,LOW,48.84,988
RUCHINFRA,63.95,2.0,8.56,LOW,48.83,989
ANTHEM,63.77,2.0,8.59,LOW,48.81,990
JAIPURKURT,45.79,4.0,7.78,LOW,48.8,991
ALPA,63.91,2.0,8.54,LOW,48.78,992
PAISALO,77.13,0.0,10.44,LOW,48.75,993
HAL,64.05,2.0,8.48,LOW,48.73,994
KIRLOSENG,78.81,0.0,10.01,LOW,48.68,995
DONEAR,63.43,2.0,8.58,LOW,48.65,996
UWCSL,54.53,3.0,8.15,LOW,48.64,997
AONETOTAL,46.24,4.0,7.58,LOW,48.63,998
ARIHANTACA,37.5,5.0,7.12,LOW,48.63,999
SPLIL,63.2,2.0,8.57,LOW,48.54,1000
UMIYA-MRO,46.04,4.0,7.53,LOW,48.47,1001
MITTAL,45.21,4.0,7.72,LOW,48.46,1002
TDPOWERSYS,77.48,0.0,10.18,LOW,48.44,1003
SONATSOFTW,63.45,2.0,8.45,LOW,48.44,1004
IIFL,36.98,5.0,7.13,LOW,48.44,1005
RESPONIND,37.04,5.0,7.09,LOW,48.4,1006
SUPERHOUSE,45.53,4.0,7.6,LOW,48.38,1007
EXCELSOFT,63.41,2.0,8.42,LOW,48.37,1008
VSTIND,63.24,2.0,8.45,LOW,48.35,1009
BOMDYEING,61.93,2.0,8.73,LOW,48.31,1010
DBREALTY,62.91,2.0,8.49,LOW,48.29,1011
ANDHRSUGAR,62.43,2.0,8.6,LOW,48.29,1012
KMEW,62.32,2.0,8.63,LOW,48.29,1013
IL&FSENGG,62.66,2.0,8.51,LOW,48.22,1014
TNPL,62.31,2.0,8.59,LOW,48.22,1015
SICALLOG,45.35,4.0,7.52,LOW,48.17,1016
INDRAMEDCO,37.38,5.0,6.88,LOW,48.17,1017
PPAP,45.25,4.0,7.53,LOW,48.15,1018
DUCON,45.08,4.0,7.57,LOW,48.15,1019
TIPSFILMS,44.59,4.0,7.62,LOW,48.04,1020
GOACARBON,61.77,2.0,8.6,LOW,48.02,1021
MEESHO,61.06,2.0,8.76,LOW,48.01,1022
OBEROIRLTY,62.44,2.0,8.43,LOW,48.0,1023
DHAMPURSUG,62.1,2.0,8.5,LOW,47.98,1024
SHIVAMILLS,61.37,2.0,8.65,LOW,47.95,1025
ATMASTCO,61.03,2.0,8.73,LOW,47.95,1026
ALPEXSOLAR,78.01,0.0,9.76,LOW,47.94,1027
BCLIND,62.08,2.0,8.48,LOW,47.94,1028
GMDCLTD,62.47,2.0,8.38,LOW,47.93,1029
MODEFENCE,61.77,2.0,8.53,LOW,47.9,1030
JBCHEPHARM,61.64,2.0,8.56,LOW,47.9,1031
NESTLEIND,61.3,2.0,8.61,LOW,47.85,1032
ORIENTBELL,61.34,2.0,8.59,LOW,47.83,1033
AFIL,77.46,0.0,9.82,LOW,47.82,1034
MAGSON,61.79,2.0,8.48,LOW,47.82,1035
ADFFOODS,76.07,0.0,10.12,LOW,47.78,1036
DCXINDIA,61.57,2.0,8.49,LOW,47.75,1037
OMFREIGHT,61.25,2.0,8.55,LOW,47.73,1038
PRIMO,61.79,2.0,8.42,LOW,47.72,1039
PPLPHARMA,60.7,2.0,8.66,LOW,47.7,1040
MCX,60.97,2.0,8.58,LOW,47.67,1041
RAJMET,44.13,4.0,7.47,LOW,47.6,1042
GODREJIND,60.01,2.0,8.75,LOW,47.58,1043
BAWEJA,52.8,3.0,7.91,LOW,47.54,1044
SUNPHARMA,60.93,2.0,8.51,LOW,47.53,1045
MANAPPURAM,59.73,2.0,8.78,LOW,47.51,1046
INDIANCARD,60.68,2.0,8.53,LOW,47.47,1047
LLOYDSENGG,43.94,4.0,7.43,LOW,47.46,1048
CARTRADE,35.0,5.0,7.02,LOW,47.46,1049
VSSL,60.73,2.0,8.51,LOW,47.45,1050
LATENTVIEW,52.15,3.0,8.0,LOW,47.43,1051
RAYMONDREL,74.89,0.0,10.18,LOW,47.41,1052
BAJAJ-AUTO,60.43,2.0,8.54,LOW,47.38,1053
ASIANHOTNR,60.3,2.0,8.51,LOW,47.28,1054
MEDIORG,59.41,2.0,8.7,LOW,47.25,1055
NITTAGELA,76.57,0.0,9.68,LOW,47.22,1056
AUTOIND,58.82,2.0,8.81,LOW,47.2,1057
LLOYDSENT,76.41,0.0,9.7,LOW,47.19,1058
BUTTERFLY,60.07,2.0,8.51,LOW,47.19,1059
NDRAUTO,59.87,2.0,8.55,LOW,47.18,1060
HINDZINC,59.93,2.0,8.52,LOW,47.15,1061
KAMATHOTEL,51.63,3.0,7.95,LOW,47.14,1062
