Symbol,RS_5D,RS_15D,RS_30D,RS_60D,RS_ACCELERATION,VOL_ADJ_RS
WEBELSOLAR.NS,6.55,-4.5,40.88,95.76,-34.330000000000005,55.71
SHADOWFAX.NS,-1.24,18.59,40.52,78.23,-41.760000000000005,79.18
AEROFLEX.NS,3.1,20.28,40.42,98.18,-37.32,60.52
PRIZOR.NS,-7.26,-10.16,40.15,122.7,-47.41,58.35
ZIMLAB.NS,1.97,10.66,40.04,59.56,-38.07,78.6
ABSMARINE.NS,14.71,17.6,39.97,78.78,-25.259999999999998,67.15
SOFTTECH.NS,6.93,9.68,39.96,63.38,-33.03,77.93
MUKTAARTS.NS,28.57,17.27,39.93,31.76,-11.36,62.75
SUVEN.NS,-1.71,27.33,39.93,90.73,-41.64,65.42
DELTACORP.NS,12.76,4.52,39.82,39.07,-27.060000000000002,68.23
ADANIENT.NS,8.78,19.11,39.27,44.84,-30.490000000000002,94.69
OLIL.NS,-4.15,-2.97,39.24,63.18,-43.39,73.36
RPEL.NS,4.99,32.1,39.15,43.51,-34.16,78.29
CUPID.NS,6.8,3.71,39.05,64.41,-32.25,59.58
KANORICHEM.NS,9.62,2.18,38.91,49.74,-29.29,79.03
ORCHPHARMA.NS,5.33,17.13,38.91,24.97,-33.58,95.25
HARIOMPIPE.NS,25.37,25.86,38.68,13.98,-13.309999999999999,64.63
FINCABLES.NS,12.05,14.6,38.66,54.12,-26.609999999999996,93.27
JAYKAY.NS,33.58,24.06,38.62,50.81,-5.039999999999999,64.2
THEMISMED.NS,15.66,17.15,38.34,41.49,-22.680000000000003,71.14
PALREDTEC.NS,13.26,24.97,38.34,35.4,-25.080000000000005,69.69
UTLSOLAR.NS,16.29,11.25,38.11,68.08,-21.82,84.84
RAMRAT.NS,5.06,5.53,37.91,54.58,-32.849999999999994,84.54
GOCLCORP.NS,26.62,16.77,37.74,61.36,-11.120000000000001,71.89
STEELXIND.NS,16.84,13.33,37.42,65.4,-20.580000000000002,75.99
WINSOME.NS,7.59,22.44,37.42,46.54,-29.830000000000002,154.57
BHARATWIRE.NS,4.7,0.59,37.3,39.77,-32.599999999999994,67.03
RITEZONE.NS,-0.57,-13.29,37.05,18.6,-37.62,72.67
RANEHOLDIN.NS,-4.61,22.65,36.96,23.75,-41.57,75.15
SATIN.NS,-1.34,16.51,36.95,52.44,-38.290000000000006,108.36
PARKHOSPS.NS,10.65,18.65,36.91,57.88,-26.259999999999998,83.27
ADANIGREEN.NS,8.16,12.07,36.89,61.46,-28.73,77.29
ADANIPOWER.NS,11.84,10.56,36.88,83.43,-25.040000000000003,95.79
HESTERBIO.NS,7.08,22.14,36.8,36.7,-29.72,87.72
SANSTAR.NS,1.87,27.34,36.77,41.52,-34.900000000000006,93.49
ASTRAMICRO.NS,19.82,30.69,36.73,61.03,-16.909999999999997,90.43
VALIANTLAB.NS,3.46,3.81,36.67,43.41,-33.21,62.27
SHAILY.NS,-3.67,2.93,36.64,45.47,-40.31,62.84
NGIL.NS,6.69,16.87,36.62,79.63,-29.929999999999996,65.25
MAYURUNIQ.NS,11.21,37.81,36.58,55.71,-25.369999999999997,86.16
HOACFOODS.NS,11.36,27.79,36.43,59.62,-25.07,81.46
MANAKALUCO.NS,11.88,5.97,36.17,37.42,-24.29,42.31
