Symbol,RS_5D,RS_15D,RS_30D,RS_60D,RS_ACCELERATION,VOL_ADJ_RS
SOMANYCERA.NS,-2.86,10.37,21.31,39.35,-24.169999999999998,48.69
SOTL.NS,-0.45,1.53,21.28,20.6,-21.73,55.2
TITAGARH.NS,12.24,1.87,21.26,22.77,-9.020000000000001,49.35
V2RETAIL.NS,2.78,15.35,21.24,25.87,-18.459999999999997,53.42
FDC.NS,16.91,17.69,21.17,23.85,-4.260000000000002,67.87
ARTEMISMED.NS,-1.87,8.57,21.13,27.28,-23.0,54.13
EXIDEIND.NS,14.88,14.06,21.02,24.77,-6.139999999999999,63.91
OAL.NS,7.51,9.83,20.99,29.42,-13.479999999999999,46.23
DCXINDIA.NS,8.35,4.29,20.95,31.7,-12.6,36.4
CROMPTON.NS,-1.84,3.28,20.95,16.81,-22.79,62.63
JINDALSAW.NS,11.94,4.33,20.83,50.32,-8.889999999999999,37.18
DHTL.NS,-5.99,11.81,20.8,21.81,-26.79,41.62
HIKAL.NS,7.0,6.58,20.79,17.36,-13.79,42.11
SPANDANA.NS,1.02,-1.59,20.63,10.43,-19.61,47.82
RISHABH.NS,5.15,12.97,20.62,39.97,-15.47,37.58
MAXESTATES.NS,10.52,11.53,20.61,20.5,-10.09,48.86
BASML.NS,12.85,7.34,20.59,23.69,-7.74,41.71
ROSSARI.NS,4.77,11.49,20.54,14.41,-15.77,50.98
ANSALAPI.NS,-10.16,0.5,20.53,10.56,-30.69,77.9
IIFLCAPS.NS,-1.24,4.41,20.48,20.9,-21.72,43.77
APARINDS.NS,4.82,10.34,20.47,31.9,-15.649999999999999,40.77
CUMMINSIND.NS,10.47,15.21,20.43,30.54,-9.959999999999999,60.73
FMNL.NS,-14.84,6.34,20.43,28.12,-35.269999999999996,36.34
SPECTRUM.NS,0.52,27.72,20.39,10.58,-19.87,36.82
RHETAN.NS,7.85,18.72,20.35,21.68,-12.500000000000002,52.3
RSWM.NS,12.46,5.3,20.33,29.3,-7.869999999999997,49.01
SANGHVIMOV.NS,15.15,16.22,20.32,52.48,-5.17,37.33
IFCI.NS,10.19,13.92,20.32,23.84,-10.13,38.95
YESBANK.NS,2.38,4.67,20.23,16.26,-17.85,67.34
SBC.NS,11.33,20.65,20.22,32.2,-8.889999999999999,89.99
TRUALT.NS,2.14,4.73,20.17,27.65,-18.03,44.91
RAJSREESUG.NS,4.47,-3.02,20.11,46.15,-15.64,34.91
MAHESHWARI.NS,-1.73,7.31,20.08,40.28,-21.81,41.71
SFL.NS,5.77,17.07,20.01,19.78,-14.240000000000002,44.58
MOTOGENFIN.NS,9.76,14.74,20.0,39.23,-10.24,41.29
NGLFINE.NS,10.77,3.96,19.94,27.24,-9.170000000000002,32.15
VETO.NS,8.82,10.66,19.89,21.8,-11.07,54.83
SHANTIGOLD.NS,-1.29,1.43,19.83,8.93,-21.119999999999997,38.12
ANGELONE.NS,2.6,8.23,19.82,46.72,-17.22,40.44
DIAMONDYD.NS,15.86,14.79,19.8,13.36,-3.9400000000000013,52.44
LAGNAM.NS,-1.19,-3.29,19.71,14.01,-20.900000000000002,38.97
SRHHYPOLTD.NS,7.06,8.5,19.7,24.93,-12.64,52.3
LRRPL.NS,-2.66,19.73,19.68,46.13,-22.34,45.47
JAYNECOIND.NS,0.39,-5.71,19.65,43.3,-19.259999999999998,36.85
MAFANG.NS,-0.68,7.32,19.64,34.66,-20.32,88.06
AVANTEL.NS,15.64,17.39,19.62,33.04,-3.9800000000000004,40.24
PARAS.NS,9.98,7.03,19.62,42.32,-9.64,41.76
BFUTILITIE.NS,9.18,-4.33,19.61,22.12,-10.43,43.67
ATALREAL.NS,4.19,7.26,19.6,29.08,-15.41,56.62
CAPLIPOINT.NS,-0.71,11.83,19.6,25.64,-20.310000000000002,60.77
BANKA.NS,3.12,5.42,19.59,55.47,-16.47,39.44
MOSCHIP.NS,-2.08,1.12,19.59,11.12,-21.67,37.54
GANDHAR.NS,1.45,5.8,19.56,22.99,-18.11,38.82
HCG.NS,0.16,8.23,19.53,20.78,-19.37,62.49
ASTEC.NS,0.24,8.79,19.44,30.92,-19.200000000000003,29.28
NUVAMA.NS,3.05,11.73,19.41,29.36,-16.36,48.89
MINDTECK.NS,4.14,3.68,19.4,10.31,-15.259999999999998,34.73
AMBIKCO.NS,8.13,2.34,19.36,29.15,-11.229999999999999,49.88
GANESHHOU.NS,-1.24,5.28,19.36,8.57,-20.599999999999998,47.8
PROTEAN.NS,15.8,14.49,19.32,14.22,-3.5199999999999996,37.61
NORTHARC.NS,1.2,0.14,19.3,18.16,-18.1,45.46
DIFFNKG.NS,0.86,11.29,19.3,32.82,-18.44,43.52
STANLEY.NS,2.31,-8.61,19.26,2.33,-16.950000000000003,35.2
MOTHERSON.NS,6.63,13.75,19.24,15.48,-12.61,48.19
COHANCE.NS,0.99,-9.33,19.24,47.3,-18.25,31.21
GOCOLORS.NS,32.47,23.32,19.19,12.23,13.279999999999998,33.42
OILCOUNTUB.NS,-4.57,-4.61,19.11,24.91,-23.68,24.95
SHOPERSTOP.NS,4.49,6.08,19.08,19.01,-14.589999999999998,42.42
UDS.NS,2.33,14.95,19.06,23.3,-16.729999999999997,39.22
PANACHE.NS,-3.1,2.45,19.06,7.78,-22.16,36.91
KIMS.NS,2.71,14.0,18.99,13.37,-16.279999999999998,50.32
WANBURY.NS,9.67,20.83,18.88,21.26,-9.209999999999999,32.42
GREENPLY.NS,-0.57,-1.89,18.86,20.89,-19.43,39.93
SPMLINFRA.NS,9.8,0.76,18.83,35.33,-9.029999999999998,30.73
SEMAC.NS,-7.76,13.62,18.83,34.39,-26.589999999999996,29.05
FAZE3Q.NS,8.24,17.09,18.79,13.84,-10.549999999999999,26.25
EMBDL.NS,-10.82,4.37,18.76,8.23,-29.580000000000002,28.09
GHCLTEXTIL.NS,8.65,10.14,18.7,36.8,-10.049999999999999,43.87
MANUGRAPH.NS,2.37,12.08,18.7,14.41,-16.33,31.35
VEEKAYEM.NS,9.48,-1.36,18.69,-5.3,-9.21,25.05
BHARATCOAL.NS,6.2,17.86,18.69,25.26,-12.490000000000002,41.92
BOMDYEING.NS,5.04,1.94,18.67,18.88,-13.630000000000003,38.79
PPLPHARMA.NS,-2.22,7.35,18.64,16.19,-20.86,50.0
NAM-INDIA.NS,-2.3,1.28,18.63,18.51,-20.93,40.74
GEOJITFSL.NS,-1.5,11.61,18.59,20.83,-20.09,45.8
KPEL.NS,2.7,-7.81,18.56,35.95,-15.86,38.23
RPGLIFE.NS,-3.94,-4.45,18.53,26.14,-22.470000000000002,46.34
DBREALTY.NS,5.59,-11.3,18.44,13.34,-12.850000000000001,28.69
DPEL.NS,0.18,1.38,18.44,85.28,-18.26,42.81
SANDUMA.NS,5.97,14.45,18.43,31.17,-12.46,34.48
AXISCADES.NS,-6.01,-7.41,18.4,41.48,-24.409999999999997,35.4
RUBFILA.NS,3.57,8.74,18.29,29.16,-14.719999999999999,54.85
THERMAX.NS,2.9,14.6,18.28,55.07,-15.38,49.11
MMP.NS,-3.96,1.01,18.27,24.08,-22.23,40.75
INSPIRE.NS,-4.56,-5.22,18.26,-3.84,-22.82,24.77
EXPLEOSOL.NS,-5.96,9.23,18.17,20.41,-24.130000000000003,49.25
LMW.NS,9.98,9.41,18.13,9.64,-8.149999999999999,50.07
ATMASTCO.NS,-4.95,11.24,17.95,23.63,-22.9,24.41
SHILPAMED.NS,2.18,13.27,17.93,63.16,-15.75,45.51
TIINDIA.NS,6.94,12.01,17.91,33.23,-10.969999999999999,45.72
VARDHACRLC.NS,-2.35,2.46,17.86,27.5,-20.21,38.42
DHANLAXMI.NS,3.93,3.31,17.85,27.24,-13.920000000000002,23.67
IGARASHI.NS,-5.42,-0.98,17.85,13.65,-23.270000000000003,36.28
FOCUS.NS,-8.07,-3.07,17.85,29.91,-25.92,32.31
PRITIKA.NS,-11.14,-7.31,17.85,15.2,-28.990000000000002,27.55
GOKULAGRO.NS,0.17,1.45,17.84,44.54,-17.669999999999998,36.09
JSWENERGY.NS,10.93,7.89,17.82,30.6,-6.890000000000001,50.66
DAMODARIND.NS,4.58,0.44,17.82,35.71,-13.24,34.62
AZAD.NS,1.4,-4.59,17.82,25.58,-16.42,40.21
MEDICAMEQ.NS,2.62,-0.31,17.81,1.02,-15.189999999999998,39.42
SEJALLTD.NS,-1.61,-0.87,17.77,33.31,-19.38,30.13
MASTERTR.NS,-7.91,6.39,17.77,8.41,-25.68,28.0
MOTILALOFS.NS,4.53,3.2,17.76,27.94,-13.23,41.32
RUBICON.NS,-2.86,-1.68,17.75,32.99,-20.61,51.41
WELENT.NS,4.76,-0.59,17.74,9.51,-12.979999999999999,45.03
AARTIIND.NS,6.95,2.37,17.7,18.39,-10.75,41.6
MEESHO.NS,-4.08,-2.53,17.68,29.01,-21.759999999999998,26.19
CENTENKA.NS,8.38,9.15,17.65,21.18,-9.269999999999998,40.42
KMEW.NS,-2.03,-4.37,17.65,39.09,-19.68,27.5
ASIANENE.NS,-0.45,21.83,17.63,22.48,-18.08,33.91
ASHIANA.NS,-1.25,11.79,17.63,23.73,-18.88,46.91
TEAMLEASE.NS,-2.73,6.41,17.55,17.23,-20.28,54.59
ECOSMOBLTY.NS,18.96,16.93,17.54,8.21,1.4200000000000017,29.96
CMNL.NS,2.17,-3.47,17.51,24.78,-15.340000000000002,31.53
MUNJALSHOW.NS,4.97,7.54,17.47,18.63,-12.5,59.43
ZYDUSLIFE.NS,3.24,17.71,17.4,27.76,-14.159999999999998,71.24
VENUSPIPES.NS,7.43,5.46,17.35,46.83,-9.920000000000002,35.59
HOLMARC.NS,-2.23,3.56,17.35,2.85,-19.580000000000002,29.6
GUJGASLTD.NS,-1.78,-5.33,17.34,-2.99,-19.12,50.3
FAIRCHEMOR.NS,1.7,-1.02,17.32,13.74,-15.620000000000001,42.48
TOKYOPLAST.NS,0.61,-1.59,17.31,3.35,-16.7,28.77
MTEDUCARE.NS,-2.21,8.26,17.29,27.77,-19.5,35.4
UNIDT.NS,-0.08,17.12,17.25,44.65,-17.33,37.29
HINDALCO.NS,4.81,11.88,17.21,32.49,-12.400000000000002,53.71
SHYAMMETL.NS,4.7,11.24,17.21,24.93,-12.510000000000002,55.1
SAHYADRI.NS,-11.43,-2.78,17.16,17.35,-28.59,40.9
HINDZINC.NS,1.85,4.06,17.13,17.63,-15.28,38.28
CRAFTSMAN.NS,0.27,13.74,17.12,17.31,-16.85,41.47
GNFC.NS,-1.86,5.41,17.07,19.97,-18.93,49.12
KRISHANA.NS,-1.51,4.39,17.06,45.2,-18.57,40.04
MONARCH.NS,9.92,13.55,17.05,33.09,-7.130000000000001,45.03
SUMICHEM.NS,6.43,1.8,17.04,30.16,-10.61,48.89
REDTAPE.NS,9.03,13.26,17.03,20.37,-8.000000000000002,37.48
NRL.NS,19.35,19.12,17.02,29.72,2.330000000000002,51.03
SARLAPOLY.NS,2.28,6.89,16.99,24.05,-14.709999999999999,36.06
USHAMART.NS,8.52,10.71,16.97,33.69,-8.45,49.1
APTUS.NS,-3.39,0.92,16.97,19.23,-20.36,46.21
20MICRONS.NS,3.75,4.96,16.92,13.81,-13.170000000000002,34.68
VENUSREM.NS,15.73,33.43,16.89,82.62,-1.1600000000000001,31.22
LALPATHLAB.NS,-4.09,3.76,16.89,22.05,-20.98,49.66
AMBEY.NS,5.39,-15.19,16.87,2.44,-11.48,22.66
VIPCLOTHNG.NS,0.66,23.59,16.85,32.41,-16.19,25.74
NAGREEKEXP.NS,2.98,3.47,16.84,14.48,-13.86,37.57
DHANUKA.NS,1.5,10.23,16.84,14.93,-15.34,50.53
JALAN.NS,12.71,19.22,16.83,-30.79,-4.119999999999997,34.85
RAMCOIND.NS,12.47,12.27,16.81,10.15,-4.339999999999998,44.04
JAIPURKURT.NS,12.18,3.54,16.81,2.25,-4.629999999999999,26.34
GRAPHITE.NS,-0.2,5.97,16.81,16.17,-17.009999999999998,38.09
CARBORUNIV.NS,-3.29,6.64,16.81,30.71,-20.099999999999998,49.28
GENUSPOWER.NS,1.71,-3.24,16.8,31.28,-15.09,37.02
SHRIRAMPPS.NS,10.09,0.39,16.79,21.27,-6.699999999999999,37.84
CIPLA.NS,0.28,5.79,16.78,13.68,-16.5,70.77
DBSTOCKBRO.NS,3.6,13.6,16.73,29.61,-13.13,61.62
KAKATCEM.NS,-0.23,-5.33,16.73,16.62,-16.96,34.8
QUICKHEAL.NS,-10.79,15.97,16.73,16.74,-27.52,28.68
LFIC.NS,8.95,1.81,16.64,25.19,-7.690000000000001,27.59
PITTIENG.NS,4.83,-1.32,16.64,14.8,-11.81,34.88
KONSTELEC.NS,26.14,2.45,16.61,20.61,9.530000000000001,27.1
GLOSTERLTD.NS,3.62,2.82,16.61,25.4,-12.989999999999998,53.6
MITCON.NS,0.48,-7.68,16.58,47.73,-16.099999999999998,37.73
GRASIM.NS,5.59,10.68,16.53,17.08,-10.940000000000001,66.45
BLUEJET.NS,6.36,-2.22,16.49,22.15,-10.129999999999999,30.27
EUROTEXIND.NS,-3.35,-6.44,16.49,34.02,-19.84,28.31
CONFIPET.NS,-0.71,18.99,16.48,115.06,-17.19,21.86
KAMDHENU.NS,4.53,6.75,16.47,25.99,-11.939999999999998,34.13
LXCHEM.NS,-5.46,-0.3,16.41,21.67,-21.87,35.15
SJS.NS,2.61,6.44,16.39,17.46,-13.780000000000001,39.15
CEIGALL.NS,7.78,2.54,16.37,29.1,-8.59,51.93
SYNCOMF.NS,9.41,10.41,16.36,29.41,-6.949999999999999,37.34
FALCONTECH.NS,-4.87,-2.51,16.35,-5.43,-21.220000000000002,22.39
KIOCL.NS,9.34,3.51,16.22,32.45,-6.879999999999999,31.3
MANKIND.NS,-7.3,4.33,16.2,25.28,-23.5,55.71
SURANASOL.NS,3.0,-0.26,16.14,24.44,-13.14,30.92
NESTLEIND.NS,-0.52,-2.24,16.11,15.01,-16.63,77.53
DEEPAKNTR.NS,-6.96,-4.19,16.07,14.81,-23.03,47.87
ASPIRE.NS,-4.55,-12.31,16.03,12.76,-20.580000000000002,29.68
SYLVANPLY.NS,-3.97,-8.29,16.0,16.34,-19.97,25.02
AMANTA.NS,3.23,-0.07,15.98,38.22,-12.75,39.29
FUSION.NS,-3.4,-18.1,15.96,0.28,-19.36,31.72
FIDEL.NS,1.38,-10.69,15.95,35.35,-14.57,23.38
FINPIPE.NS,13.4,10.51,15.93,11.75,-2.5299999999999994,51.69
FEDFINA.NS,6.36,8.06,15.92,26.12,-9.559999999999999,32.92
CHEMBOND.NS,-2.59,-9.44,15.92,27.88,-18.509999999999998,25.87
QUADPRO.NS,-5.44,12.21,15.9,-0.59,-21.34,45.86
KHANDSE.NS,5.75,2.74,15.89,10.95,-10.14,31.89
METROPOLIS.NS,2.37,7.96,15.88,20.62,-13.510000000000002,50.22
THOMASCOTT.NS,14.97,15.33,15.86,1.6,-0.8899999999999988,25.23
STYL.NS,3.74,11.4,15.86,18.37,-12.12,35.57
NAZARA.NS,-1.56,8.4,15.85,14.24,-17.41,34.71
J&KBANK.NS,6.0,6.97,15.83,39.04,-9.83,38.09
NAVINFLUOR.NS,1.74,4.68,15.82,21.75,-14.08,44.55
JAIBALAJI.NS,-4.03,-11.81,15.81,27.16,-19.84,25.02
KOTYARK.NS,-8.39,6.12,15.76,86.62,-24.15,27.57
TMPV.NS,9.84,13.93,15.74,12.94,-5.9,46.39
PARTYCRUS.NS,1.17,11.91,15.7,31.34,-14.53,31.24
SIEMENS.NS,3.84,2.75,15.69,22.56,-11.85,43.35
DIGISPICE.NS,3.24,-2.93,15.68,6.61,-12.44,42.58
REGAAL.NS,13.25,8.25,15.65,45.26,-2.4000000000000004,23.86
AIIL.NS,-3.15,6.63,15.61,6.42,-18.759999999999998,26.62
ONESOURCE.NS,-5.08,4.55,15.61,43.99,-20.689999999999998,28.98
SANGANI.NS,-2.94,-5.63,15.6,17.91,-18.54,39.24
CENTUM.NS,6.99,17.38,15.58,23.99,-8.59,29.89
ASHIMASYN.NS,-0.43,3.02,15.57,16.91,-16.0,24.87
HEMIPROP.NS,-2.49,3.48,15.55,7.39,-18.04,37.14
MOHITIND.NS,13.71,10.99,15.54,15.98,-1.8299999999999983,30.97
KALAMANDIR.NS,6.01,-4.12,15.49,3.99,-9.48,31.01
KODYTECH.NS,0.88,21.21,15.47,7.9,-14.59,31.91
KANSAINER.NS,0.68,10.32,15.43,17.47,-14.75,46.91
AIAENG.NS,10.6,15.2,15.39,22.01,-4.790000000000001,45.92
ORIENTELEC.NS,2.49,7.01,15.39,18.02,-12.9,38.52
SAGARDEEP.NS,13.6,11.67,15.28,16.31,-1.6799999999999997,40.03
MODIS.NS,-3.59,-5.23,15.27,10.8,-18.86,41.27
CESC.NS,1.82,2.25,15.26,26.94,-13.44,48.32
NEULANDLAB.NS,-0.16,0.22,15.26,33.45,-15.42,36.05
AEGISLOG.NS,-0.47,-1.15,15.23,8.55,-15.700000000000001,40.86
EMIL.NS,-0.76,-2.32,15.17,23.23,-15.93,31.62
MUFIN.NS,3.44,11.24,15.09,15.72,-11.65,43.57
SANGAMIND.NS,5.6,-0.66,15.03,17.27,-9.43,40.99
HINDPETRO.NS,4.17,2.72,15.0,-4.16,-10.83,35.82
STAR.NS,0.06,7.0,15.0,42.59,-14.94,40.47
MODINATUR.NS,7.66,23.53,14.97,54.3,-7.3100000000000005,24.43
PILITA.NS,0.33,-0.81,14.97,0.26,-14.64,26.24
SUPRAJIT.NS,12.09,15.21,14.96,19.2,-2.870000000000001,41.83
IL&FSENGG.NS,21.3,21.16,14.95,41.22,6.350000000000001,31.21
IBLFL.NS,2.34,-14.83,14.92,33.36,-12.58,32.32
GTLINFRA.NS,3.49,14.29,14.82,26.69,-11.33,24.3
MANAKSIA.NS,6.43,6.09,14.8,13.12,-8.370000000000001,30.62
AYMSYNTEX.NS,-0.6,-5.11,14.79,16.45,-15.389999999999999,28.32
STYLEBAAZA.NS,-5.85,-16.91,14.79,9.83,-20.64,22.14
SKP.NS,-4.19,9.92,14.74,9.53,-18.93,27.49
COMMITTED.NS,-2.76,0.8,14.68,43.11,-17.439999999999998,30.02
EQUITASBNK.NS,4.98,-0.04,14.66,17.57,-9.68,39.52
ENDURANCE.NS,6.61,18.86,14.65,8.9,-8.04,43.53
SALSTEEL.NS,-6.79,1.45,14.64,29.97,-21.43,30.32
HPL.NS,2.9,1.38,14.63,14.43,-11.73,27.38
AMAGI.NS,-3.05,-7.23,14.62,11.51,-17.669999999999998,36.33
JGCHEM.NS,1.37,-2.52,14.57,17.61,-13.2,30.57
MUFTI.NS,15.01,11.36,14.55,12.65,0.4599999999999991,33.87
DIVGIITTS.NS,18.01,12.76,14.54,11.93,3.4700000000000024,30.21
NAVKARURB.NS,15.04,18.31,14.51,-30.35,0.5299999999999994,25.75
KELLTONTEC.NS,8.98,6.34,14.48,-10.57,-5.5,26.97
SINDHUTRAD.NS,-0.93,17.63,14.48,11.84,-15.41,26.1
HGM.NS,0.52,4.44,14.41,15.93,-13.89,24.49
SHRINGARMS.NS,0.37,3.1,14.41,-7.72,-14.040000000000001,27.96
SOLARWORLD.NS,3.75,0.58,14.37,11.25,-10.62,26.88
GUJRAFFIA.NS,21.13,13.21,14.34,19.08,6.789999999999999,33.51
VIKRAN.NS,13.51,3.12,14.32,16.18,-0.8100000000000005,24.81
KEL.NS,1.67,17.09,14.32,16.92,-12.65,23.83
MICEL.NS,0.17,-6.18,14.3,16.63,-14.13,24.63
SUDARCOLOR.NS,9.44,6.73,14.26,16.91,-4.82,30.35
SERVOTECH.NS,-0.6,-0.43,14.23,33.04,-14.83,20.88
SKMEGGPROD.NS,-0.38,19.75,14.22,23.83,-14.600000000000001,25.62
DCG.NS,8.67,-3.58,14.21,23.01,-5.540000000000001,27.31
TANLA.NS,0.11,-5.33,14.2,25.92,-14.09,26.31
VALIANTORG.NS,2.93,1.24,14.19,34.31,-11.26,22.07
ZEEL.NS,9.11,-1.53,14.17,10.48,-5.0600000000000005,31.16
SHRITECH.NS,-9.42,7.49,14.11,19.68,-23.53,25.16
UNIVPHOTO.NS,0.25,-10.88,14.1,20.93,-13.85,23.3
BANSALWIRE.NS,2.39,7.09,14.08,29.71,-11.69,34.53
BERGEPAINT.NS,2.56,12.09,14.07,21.11,-11.51,49.57
RELIABLE.NS,4.06,6.54,14.02,4.08,-9.96,27.43
SANWARIA.NS,-1.04,6.2,13.98,2.09,-15.02,32.45
SYNGENE.NS,-2.24,4.1,13.98,12.02,-16.22,36.36
IPL.NS,-0.83,8.14,13.92,16.67,-14.75,34.76
MCX.NS,-9.18,8.12,13.9,40.2,-23.08,33.58
KDDL.NS,2.43,15.72,13.88,22.5,-11.450000000000001,25.99
SAILIFE.NS,-1.91,6.68,13.87,27.59,-15.78,36.34
GVKPIL.NS,-3.25,-11.28,13.87,11.45,-17.119999999999997,54.67
MAHABANK.NS,0.63,-2.55,13.86,18.51,-13.229999999999999,36.64
SATIPOLY.NS,-3.92,-7.83,13.86,-29.8,-17.78,23.05
WABAG.NS,9.85,5.0,13.84,28.96,-3.99,34.51
CYBERMEDIA.NS,0.28,11.01,13.8,25.85,-13.520000000000001,21.62
BHARATGEAR.NS,4.4,8.88,13.78,18.12,-9.379999999999999,31.35
RUPA.NS,4.45,5.03,13.76,17.33,-9.309999999999999,32.2
GREENPOWER.NS,2.82,-5.95,13.74,22.13,-10.92,26.67
RAILTEL.NS,0.2,-3.82,13.73,7.0,-13.530000000000001,27.96
VSTIND.NS,-0.32,2.35,13.71,15.92,-14.030000000000001,46.08
JWL.NS,8.19,1.86,13.68,11.76,-5.49,23.13
YASHOPTICS.NS,0.38,6.36,13.68,31.66,-13.299999999999999,30.84
BHAGCHEM.NS,-3.04,-5.69,13.67,29.72,-16.71,26.8
SEPC.NS,9.24,0.65,13.66,8.22,-4.42,18.78
GESHIP.NS,-10.19,-1.68,13.65,22.3,-23.84,35.08
TOLINS.NS,18.06,12.5,13.64,9.41,4.419999999999998,30.26
SETCO.NS,9.07,2.03,13.61,99.84,-4.539999999999999,27.9
MAXIND.NS,9.94,8.15,13.57,17.95,-3.630000000000001,27.45
GOPAL.NS,1.76,-4.81,13.55,10.56,-11.790000000000001,35.26
INDUSINDBK.NS,2.84,0.22,13.54,6.45,-10.7,42.27
ROSSELLIND.NS,2.38,8.59,13.52,40.18,-11.14,32.26
TRANSWORLD.NS,3.82,-0.34,13.48,21.73,-9.66,19.42
MEDANTA.NS,-3.62,4.03,13.48,11.7,-17.1,41.88
GMDCLTD.NS,7.63,1.67,13.44,32.56,-5.81,24.43
NDRAUTO.NS,1.0,6.55,13.43,16.17,-12.43,28.99
VISAKAIND.NS,-2.23,1.97,13.37,22.24,-15.6,36.79
CARRARO.NS,-2.61,-2.43,13.36,14.09,-15.969999999999999,26.22
BSL.NS,10.58,10.63,13.31,11.12,-2.7300000000000004,30.47
ASIANPAINT.NS,1.75,7.95,13.28,17.75,-11.53,47.97
WELSPUNLIV.NS,-2.57,6.78,13.24,10.5,-15.81,26.67
PNCINFRA.NS,0.21,-1.72,13.2,5.74,-12.989999999999998,35.02
PEARLPOLY.NS,-2.81,-7.61,13.03,3.13,-15.84,24.2
ARMANFIN.NS,4.17,2.65,13.02,18.53,-8.85,28.95
QUESS.NS,4.5,-1.33,13.01,14.91,-8.51,38.42
VARROC.NS,4.18,9.92,13.0,14.39,-8.82,35.01
BABAFP.NS,4.4,1.4,12.96,6.35,-8.56,18.43
TEXRAIL.NS,-0.54,-2.8,12.95,8.57,-13.489999999999998,23.73
RCDL.NS,19.11,22.77,12.89,9.43,6.219999999999999,15.47
SJLOGISTIC.NS,13.41,8.76,12.86,14.79,0.5500000000000007,20.76
GULFPETRO.NS,9.95,9.91,12.86,20.5,-2.91,29.94
INSECTICID.NS,1.48,9.26,12.86,29.79,-11.379999999999999,35.75
INDORAMA.NS,17.16,9.35,12.85,23.6,4.3100000000000005,24.66
VGL.NS,8.57,19.43,12.85,11.17,-4.279999999999999,19.81
SABAR.NS,8.66,16.31,12.83,13.44,-4.17,29.11
ORTINGLOBE.NS,7.6,17.14,12.8,-3.48,-5.200000000000001,22.99
RKSWAMY.NS,-1.31,6.85,12.8,4.06,-14.110000000000001,26.85
GODFRYPHLP.NS,-0.8,1.9,12.79,14.41,-13.59,21.24
MOCAPITAL.NS,-1.23,4.51,12.79,27.44,-14.02,45.33
BPL.NS,1.9,1.16,12.76,11.67,-10.86,21.16
S&SPOWER.NS,6.82,-2.48,12.75,25.6,-5.93,22.59
ROSSTECH.NS,15.93,12.21,12.73,65.81,3.1999999999999993,18.74
KANDARP.NS,9.57,2.53,12.71,3.19,-3.1400000000000006,25.65
SPENCERS.NS,-0.01,5.82,12.71,18.45,-12.72,19.62
FORTIS.NS,-2.43,2.2,12.71,11.13,-15.14,46.6
PIRAMALFIN.NS,2.07,4.48,12.67,20.3,-10.6,39.42
MURUDCERA.NS,2.7,4.56,12.6,15.33,-9.899999999999999,37.14
BEML.NS,-0.83,-1.73,12.6,14.78,-13.43,28.73
NDTV.NS,12.13,10.07,12.57,14.26,-0.4399999999999995,22.91
GOKUL.NS,5.53,11.04,12.57,15.43,-7.04,24.39
UNIVASTU.NS,6.67,2.14,12.56,27.93,-5.890000000000001,30.32
MARKOLINES.NS,3.79,12.59,12.55,15.47,-8.760000000000002,34.68
KTKBANK.NS,1.98,3.85,12.52,42.47,-10.54,33.17
COSMOFIRST.NS,-7.16,5.04,12.51,21.82,-19.67,26.89
MANINDS.NS,-11.72,0.34,12.5,31.53,-24.22,20.35
RUCHIRA.NS,1.2,4.14,12.47,28.41,-11.270000000000001,38.15
GATECH.NS,0.87,12.37,12.46,8.39,-11.590000000000002,23.11
COFORGE.NS,-2.02,10.36,12.45,21.81,-14.469999999999999,29.8
IFBIND.NS,12.9,-0.84,12.35,13.08,0.5500000000000007,24.06
VISHNU.NS,-1.11,1.59,12.33,24.01,-13.44,39.76
AEROENTER.NS,-2.85,0.67,12.31,32.86,-15.16,21.61
TTKPRESTIG.NS,-3.13,1.6,12.26,4.48,-15.39,30.42
LODHA.NS,3.87,-0.96,12.24,-5.62,-8.370000000000001,30.27
SOLARA.NS,-5.84,8.32,12.24,22.68,-18.08,27.46
SAMMAANCAP.NS,20.96,17.77,12.23,20.14,8.73,33.47
KOLTEPATIL.NS,-3.83,-0.72,12.23,10.78,-16.060000000000002,38.28
NIVABUPA.NS,1.51,8.04,12.21,16.23,-10.700000000000001,49.69
INGERRAND.NS,-0.84,2.81,12.21,19.38,-13.05,43.83
APOLSINHOT.NS,1.17,1.38,12.12,-0.43,-10.95,35.93
HITECH.NS,10.04,5.54,12.09,17.21,-2.0500000000000007,26.25
SUKHJITS.NS,1.81,10.28,12.05,16.77,-10.24,21.48
DELAPLEX.NS,-4.43,-8.42,12.05,14.01,-16.48,20.99
KHFM.NS,5.76,22.35,12.01,-4.37,-6.25,16.39
APOLLOPIPE.NS,0.39,16.41,12.01,67.43,-11.62,20.61
MANORAMA.NS,3.73,-7.73,11.97,9.2,-8.24,24.11
WSTCSTPAPR.NS,7.32,-0.48,11.96,32.73,-4.640000000000001,30.11
ASAHISONG.NS,5.33,3.25,11.96,25.2,-6.630000000000001,21.25
EQUIPPP.NS,12.51,0.4,11.95,1.91,0.5600000000000005,27.41
ONMOBILE.NS,1.74,-11.33,11.93,6.29,-10.19,23.85
JINDRILL.NS,-7.66,18.89,11.83,40.41,-19.490000000000002,18.22
PRIVISCL.NS,2.63,-1.16,11.81,17.05,-9.18,32.35
ISFT.NS,3.65,15.92,11.8,25.25,-8.15,25.09
POWERMECH.NS,-0.13,-1.52,11.8,24.27,-11.930000000000001,26.31
SHALBY.NS,2.27,5.5,11.78,20.65,-9.51,28.92
