Ticker,BBOX.NS,BLISSGVS.NS,CALSOFT.NS,CONFIPET.NS,DEEPINDS.NS,E2E.NS,EMMVEE.NS,GAYAPROJ.NS,HFCL.NS,IDEAFORGE.NS,KERNEX.NS,NINSYS.NS,PREMIERENE.NS,SASKEN.NS,SHYAMTEL.NS,SOFTTECH.NS,STLTECH.NS,SUVEN.NS,VENUSREM.NS,WEBELSOLAR.NS
BBOX.NS,1.0,0.22468459869380328,0.17404342534669595,0.17003548153084216,0.0817018782477952,0.2723418287740807,0.14853665415589487,-0.0648108381568925,0.3790351493054892,0.27018030357099077,0.27199792742303985,0.07886388740701669,0.2827636362746298,0.42241455643596365,0.05929503838964575,0.2913819650168882,0.3169644535929166,0.3288381048575572,0.13586445593058208,0.37255802343413924
BLISSGVS.NS,0.22468459869380328,1.0,0.08507529397817178,0.16921427106022688,0.08695620177960756,0.23604222739075947,0.18976532398221788,0.12091039608634506,0.3430074413837847,0.22702010421286029,0.2619329671809617,0.02720732558577914,0.09724192184740377,0.20779560479464873,0.0281685201367023,0.15922981967031988,0.26644460332818304,0.2649795406502476,0.08354618625339495,0.23378286472608584
CALSOFT.NS,0.17404342534669595,0.08507529397817178,1.0,0.10534922819592475,0.11709804914740089,0.06797922969193769,0.13825524596786973,0.17130835456885515,0.43985654995769174,0.14816985782976397,0.1343400968444984,0.18117457191278463,0.017381496825894165,0.25963679171970494,0.10251307847029088,0.1734519562732931,0.18321166257252222,0.0744331675014448,0.13174700394106806,0.01959260083258191
CONFIPET.NS,0.17003548153084216,0.16921427106022688,0.10534922819592475,1.0,0.18118490032797485,0.06610471137161304,0.2495927556364193,-0.03461778264292705,0.25909130617725096,0.1385575129030768,0.22681175171384035,0.07635425822785771,0.19457942135530526,0.25920275892668043,0.18517805646188257,0.24110383877950323,0.2530186742845923,0.30494847312476747,0.15112964254602132,0.17815073785898333
DEEPINDS.NS,0.0817018782477952,0.08695620177960756,0.11709804914740089,0.18118490032797485,1.0,0.09443386536773585,0.1802844836137722,0.12759280579697596,0.2409454816819122,0.10104926852080279,0.17971525289098392,0.22160802023741275,0.2573415977929574,0.24706409668479726,0.06315436786660275,0.1863636075574009,0.3134148499761734,0.2571501990607445,0.13576222264983132,0.3145399433310482
E2E.NS,0.2723418287740807,0.23604222739075947,0.06797922969193769,0.06610471137161304,0.09443386536773585,1.0,0.16095647358122003,0.16818430115709193,0.289183484266432,0.19352333796485716,0.30716725332487727,0.02647358492162567,0.21689945103790648,0.25939780002087426,0.1547538996423462,0.32914128144864496,0.2197858758695078,0.15592003850377376,0.13813433748929724,0.19702878782184988
EMMVEE.NS,0.14853665415589487,0.18976532398221788,0.13825524596786973,0.2495927556364193,0.1802844836137722,0.16095647358122003,1.0,0.0493191315517026,0.2511255544538168,0.17680526912005246,0.23808813162520873,0.13808590659664244,0.36346643949103874,0.2963947433591797,0.04840588698705671,0.2278502641123977,0.26124893210754496,0.2876628301141217,0.31442376928949267,0.26208280989355615
GAYAPROJ.NS,-0.0648108381568925,0.12091039608634506,0.17130835456885515,-0.03461778264292705,0.12759280579697596,0.16818430115709193,0.0493191315517026,1.0,0.20619650687199176,0.17278165637393994,0.09233544285640616,0.07494887248631683,0.04309822463016119,0.009867462512801545,-0.07334321633624956,0.04209291358987376,0.13792611434491509,-0.0996274247514292,0.07752451622117,0.09405631338862043
HFCL.NS,0.3790351493054892,0.3430074413837847,0.43985654995769174,0.25909130617725096,0.2409454816819122,0.289183484266432,0.2511255544538168,0.20619650687199176,1.0,0.3301306775198005,0.39632399068843055,0.1756771631744016,0.227041577003605,0.2527335235504475,0.17367712046691347,0.28139214835418636,0.49752124152753474,0.20966908427525793,0.24338157550349512,0.19561077232185353
IDEAFORGE.NS,0.27018030357099077,0.22702010421286029,0.14816985782976397,0.1385575129030768,0.10104926852080279,0.19352333796485716,0.17680526912005246,0.17278165637393994,0.3301306775198005,1.0,0.2539222375234477,-0.003116592628775224,0.18605822207765052,0.17952706790153147,0.18859237966656975,0.17742836136618953,0.3852233061254085,0.061024984064941355,0.21129101880525777,0.39287485821457824
