Symbol,MULTI_FACTOR_SCORE,LIQUIDITY_SCORE,FACTOR_MOMENTUM,FACTOR_SHARPE,FACTOR_ALPHA,RS_COMPOSITE,NEWS_ALPHA,NEWS_SCORE,NEWS_BIAS,NEWS_IMPACT,NEWS_FLAG,ENTRY_SCORE,CONVICTION,CONVICTION_SCORE,CONVICTION_RANK
ASIANPAINT,66.08,95.06666666666666,71.83,85.53,77.92,8.603333333333332,97.81105990783408,6.63,POSITIVE,HIGH,NEWS CATALYST,5,MEDIUM,76.45,37
BHEL,75.57,96.93333333333334,94.42,96.7,93.91,17.663333333333334,99.88479262672811,12.3,POSITIVE,HIGH,NEWS CATALYST,2,MEDIUM,75.74,38
FACT,62.45,68.26666666666667,75.38,77.92,73.6,11.753333333333332,91.01382488479264,0.0,NEUTRAL,LOW,NORMAL,6,MEDIUM,75.16,39
ABSLAMC,56.39,71.86666666666667,71.07,69.54,62.18,7.96,85.71428571428571,2.1,POSITIVE,MEDIUM,POSITIVE NEWS,8,MEDIUM,75.03,40
EXIDEIND,66.52,88.93333333333334,81.73,87.82,83.25,12.22,86.9815668202765,4.08,POSITIVE,HIGH,NEWS CATALYST,5,MEDIUM,74.58,41
GVT&D,71.11,97.33333333333334,89.59,85.28,86.8,13.199999999999998,83.98617511520737,3.36,POSITIVE,HIGH,NEWS CATALYST,4,MEDIUM,74.57,42
ATALREAL,67.09,64.0,88.32,90.86,90.1,14.693333333333332,34.7926267281106,0.0,NEUTRAL,LOW,NORMAL,9,MEDIUM,74.53,43
APOLLOHOSP,58.95,96.66666666666669,60.91,73.35,71.83,5.1866666666666665,73.38709677419355,1.2,NEUTRAL,LOW,NORMAL,8,MEDIUM,74.28,44
GRINDWELL,67.58,60.2,83.25,89.34,88.32,13.116666666666664,56.79723502304147,0.6,NEUTRAL,LOW,NORMAL,7,MEDIUM,74.26,45
COFORGE,69.63,97.4,82.49,78.93,84.01,11.246666666666664,86.8663594470046,1.95,NEUTRAL,LOW,NORMAL,4,MEDIUM,74.15,46
