Symbol,MULTI_FACTOR_SCORE,LIQUIDITY_SCORE,FACTOR_MOMENTUM,FACTOR_SHARPE,FACTOR_ALPHA,RS_COMPOSITE,NEWS_ALPHA,NEWS_SCORE,NEWS_BIAS,NEWS_IMPACT,NEWS_FLAG,ENTRY_SCORE,CONVICTION,CONVICTION_SCORE,CONVICTION_RANK
BSE,70.65,99.66666666666669,89.85,92.89,87.06,14.409999999999997,3.3410138248847927,-6.24,NEGATIVE,HIGH,NEWS RISK,2,LOW,53.13,160
INDIACEM,71.94,43.333333333333336,92.77,92.51,92.26,20.3,23.04147465437788,-0.48,NEUTRAL,LOW,NORMAL,0,LOW,52.94,161
EBGNG,57.25,57.99999999999999,77.16,57.36,73.86,6.533333333333332,44.5852534562212,0.0,NEUTRAL,LOW,NORMAL,2,LOW,52.38,162
ENDURANCE,37.99,72.13333333333334,50.51,40.61,42.39,0.8399999999999999,82.83410138248848,2.16,POSITIVE,MEDIUM,POSITIVE NEWS,4,LOW,52.09,163
IFBIND,54.59,73.2,76.4,57.87,67.01,7.886666666666668,14.516129032258066,-1.2,NEUTRAL,LOW,NORMAL,5,LOW,52.08,164
DIVGIITTS,45.81,42.4,64.97,52.03,56.09,4.923333333333333,6.451612903225806,-3.36,NEGATIVE,HIGH,NEWS RISK,8,LOW,52.07,165
INDIGO,41.1,96.8,34.52,32.23,38.07,2.5900000000000003,96.19815668202764,5.22,POSITIVE,HIGH,NEWS CATALYST,2,LOW,51.85,166
ASTRAZEN,41.08,50.93333333333333,41.12,43.15,48.73,2.1299999999999994,94.00921658986177,3.06,POSITIVE,HIGH,NEWS CATALYST,2,LOW,51.4,167
BAJAJ-AUTO,52.23,95.13333333333334,61.93,64.97,61.42,4.336666666666667,17.857142857142858,-1.56,NEUTRAL,LOW,NORMAL,5,LOW,51.16,168
IRMENERGY,60.45,52.53333333333333,75.13,63.96,80.46,9.206666666666669,26.382488479262676,0.0,NEUTRAL,LOW,NORMAL,2,LOW,50.89,169
INDIAGLYCO,56.28,47.4,66.75,68.02,68.02,8.069999999999999,40.2073732718894,0.0,NEUTRAL,LOW,NORMAL,2,LOW,50.85,170
GPIL,49.75,87.53333333333333,55.58,63.45,57.36,5.823333333333334,61.29032258064516,1.2,NEUTRAL,LOW,NORMAL,2,LOW,50.68,171
HAL,46.8,98.0,49.75,60.53,51.52,4.526666666666666,70.96774193548387,0.96,NEUTRAL,LOW,NORMAL,2,LOW,50.63,172
JGCHEM,52.25,42.86666666666667,67.39,58.88,64.47,6.120000000000001,13.24884792626728,-1.89,NEUTRAL,LOW,NORMAL,5,LOW,50.25,173
ENGINERSIN,56.71,85.0,64.34,59.77,60.79,9.116666666666667,35.36866359447004,0.0,NEUTRAL,LOW,NORMAL,2,LOW,50.17,174
CARERATING,30.65,56.2,35.03,31.47,33.25,1.4733333333333334,94.5852534562212,4.32,POSITIVE,HIGH,NEWS CATALYST,4,LOW,49.51,175
GNFC,38.58,74.6,37.69,42.51,41.88,1.4366666666666663,92.16589861751152,0.0,NEUTRAL,LOW,NORMAL,2,LOW,49.35,176
FEDFINA,57.97,57.06666666666666,79.44,74.87,70.56,10.576666666666666,1.95852534562212,-10.44,NEGATIVE,HIGH,NEWS RISK,4,LOW,49.34,177
GREENLAM,36.79,60.06666666666667,43.15,33.5,40.36,3.18,71.42857142857143,2.4,POSITIVE,MEDIUM,POSITIVE NEWS,4,LOW,49.0,178
ANURAS,51.68,72.73333333333333,50.25,62.69,59.64,5.526666666666666,46.31336405529954,0.0,NEUTRAL,LOW,NORMAL,2,LOW,48.98,179
BATAINDIA,49.12,49.53333333333333,60.03,70.94,58.25,5.463333333333334,79.83870967741935,1.68,NEUTRAL,LOW,NORMAL,0,LOW,48.97,180
EQUITASBNK,42.62,69.93333333333334,70.81,34.26,54.57,2.6566666666666663,1.152073732718894,-12.48,NEGATIVE,HIGH,NEWS RISK,8,LOW,48.86,181
BIKAJI,37.96,54.0,40.36,55.58,44.92,3.883333333333333,65.89861751152074,0.0,NEUTRAL,LOW,NORMAL,4,LOW,48.68,182
FDC,43.07,66.2,54.31,45.43,55.33,1.5000000000000009,47.58064516129033,0.0,NEUTRAL,LOW,NORMAL,4,LOW,48.45,183
IIFL,50.04,87.86666666666667,60.41,43.65,56.6,7.686666666666667,9.67741935483871,-2.25,NEGATIVE,MEDIUM,NEGATIVE NEWS,5,LOW,48.05,184
HEXT,48.51,69.6,51.78,47.72,56.35,5.963333333333332,27.07373271889401,0.0,NEUTRAL,LOW,NORMAL,4,LOW,48.0,185
CESC,62.09,74.86666666666667,62.44,76.4,78.17,6.853333333333334,5.875576036866359,-4.2,NEGATIVE,HIGH,NEWS RISK,2,LOW,47.89,186
HIMATSEIDE,53.91,46.0,67.89,69.92,62.94,10.193333333333332,57.6036866359447,0.0,NEUTRAL,LOW,NORMAL,0,LOW,47.74,187
CASTROLIND,45.02,57.66666666666666,41.5,67.64,57.87,2.75,62.21198156682027,1.2,NEUTRAL,LOW,NORMAL,2,LOW,47.69,188
DEEPAKNTR,52.74,66.26666666666667,52.54,61.93,57.61,5.533333333333332,35.714285714285715,0.0,NEUTRAL,LOW,NORMAL,2,LOW,47.57,189
GRAVITA,45.87,67.06666666666666,51.02,48.48,51.27,4.783333333333334,58.75576036866359,0.0,NEUTRAL,LOW,NORMAL,2,LOW,47.57,190
BOMDYEING,47.2,55.266666666666666,65.61,54.19,56.85,5.433333333333334,15.552995391705068,-1.2,NEUTRAL,LOW,NORMAL,5,LOW,47.32,191
HAPPSTMNDS,47.1,69.86666666666666,49.24,45.94,54.31,4.17,78.2258064516129,2.88,POSITIVE,MEDIUM,POSITIVE NEWS,0,LOW,47.29,192
EPL,41.78,55.8,51.27,59.14,48.48,6.25,92.5115207373272,3.24,POSITIVE,HIGH,NEWS CATALYST,0,LOW,46.57,193
ERIS,40.03,67.13333333333334,40.61,34.77,44.16,1.5033333333333332,48.38709677419355,0.0,NEUTRAL,LOW,NORMAL,4,LOW,46.57,194
HEMIPROP,37.5,50.4,54.06,36.55,43.65,3.306666666666666,80.87557603686636,1.56,NEUTRAL,LOW,NORMAL,2,LOW,46.37,195
GLOBUSSPR,46.84,43.86666666666667,65.61,54.19,59.14,5.433333333333334,74.19354838709677,1.2,NEUTRAL,LOW,NORMAL,0,LOW,46.31,196
APLLTD,45.47,57.53333333333334,44.16,50.51,49.75,3.903333333333333,78.57142857142857,0.96,NEUTRAL,LOW,NORMAL,0,LOW,46.26,197
HUDCO,56.76,78.46666666666667,69.67,72.97,63.96,8.423333333333334,14.285714285714285,-1.2,NEUTRAL,LOW,NORMAL,2,LOW,45.99,198
DATAMATICS,55.78,54.66666666666666,70.3,51.27,71.07,7.913333333333334,17.28110599078341,-1.2,NEUTRAL,LOW,NORMAL,2,LOW,45.93,199
BALRAMCHIN,50.0,73.26666666666667,52.79,56.85,54.06,6.326666666666667,11.405529953917052,-2.16,NEGATIVE,MEDIUM,NEGATIVE NEWS,4,LOW,45.87,200
ANANDRATHI,54.39,88.73333333333333,55.08,83.25,60.15,6.286666666666666,21.54377880184332,0.0,NONE,LOW,NORMAL,2,LOW,45.85,201
AWFIS,45.2,59.86666666666667,57.11,58.12,50.89,7.283333333333334,76.95852534562212,1.2,NEUTRAL,LOW,NORMAL,0,LOW,45.76,202
GANECOS,47.15,64.73333333333333,60.66,61.42,52.54,9.76,69.5852534562212,0.96,NEUTRAL,LOW,NORMAL,0,LOW,45.59,203
CMSINFO,38.25,54.13333333333333,36.8,45.18,41.37,2.97,99.30875576036864,12.96,POSITIVE,HIGH,NEWS CATALYST,0,LOW,45.56,204
FIEMIND,46.38,55.333333333333336,55.84,51.52,52.03,6.07,21.54377880184332,0.0,NONE,LOW,NORMAL,4,LOW,45.47,205
ARE&M,37.92,84.86666666666667,43.65,47.21,41.62,2.8799999999999994,74.76958525345621,1.2,NEUTRAL,LOW,NORMAL,2,LOW,45.43,206
ASAHIINDIA,45.71,54.6,56.85,50.76,53.05,4.673333333333333,48.50230414746544,0.0,NEUTRAL,LOW,NORMAL,2,LOW,45.41,207
APTUS,55.77,62.73333333333333,70.56,75.63,66.75,8.973333333333333,14.400921658986174,-1.2,NEUTRAL,LOW,NORMAL,2,LOW,45.35,208
ASKAUTOLTD,48.7,41.66666666666667,60.03,70.94,58.25,5.463333333333334,62.55760368663594,-0.24,NEUTRAL,LOW,NORMAL,0,LOW,45.23,209
GODREJIND,52.0,77.46666666666667,70.05,53.55,61.93,4.46,23.387096774193548,0.0,NONE,LOW,NORMAL,2,LOW,44.61,210
GICRE,48.23,54.400000000000006,50.76,67.26,52.28,5.836666666666667,61.05990783410138,1.2,NEUTRAL,LOW,NORMAL,0,LOW,44.61,211
JAGRAN,44.41,46.6,63.07,72.21,54.82,7.423333333333333,47.465437788018434,0.0,NEUTRAL,LOW,NORMAL,2,LOW,44.33,212
GLENMARK,43.78,89.93333333333334,39.09,44.92,44.54,1.61,48.15668202764977,0.0,NEUTRAL,LOW,NORMAL,2,LOW,44.04,213
HGINFRA,36.89,64.66666666666666,44.42,48.98,40.86,3.65,95.96774193548389,2.76,POSITIVE,MEDIUM,POSITIVE NEWS,0,LOW,43.98,214
360ONE,35.77,83.06666666666666,42.13,36.8,37.56,1.2933333333333337,74.65437788018433,1.2,NEUTRAL,LOW,NORMAL,2,LOW,43.96,215
ARFIN,50.9,61.4,63.07,72.21,64.97,7.423333333333333,23.50230414746544,0.0,NONE,LOW,NORMAL,2,LOW,43.89,216
IRB,41.01,81.93333333333334,45.18,51.02,46.45,4.09,80.99078341013825,1.56,NEUTRAL,LOW,NORMAL,0,LOW,43.75,217
AMBER,39.35,96.26666666666668,38.32,30.46,37.06,3.15,36.405529953917046,0.0,NEUTRAL,LOW,NORMAL,4,LOW,43.72,218
DRREDDY,39.7,92.73333333333332,39.34,29.44,45.18,0.6533333333333337,59.90783410138248,0.0,NEUTRAL,LOW,NORMAL,2,LOW,43.65,219
ANUP,58.41,43.53333333333333,78.17,79.44,76.14,14.606666666666667,21.54377880184332,0.0,NONE,LOW,NORMAL,0,LOW,43.55,220
GOCOLORS,26.56,85.66666666666667,29.57,30.08,27.66,1.3633333333333333,65.66820276497695,0.0,NEUTRAL,LOW,NORMAL,5,LOW,43.48,221
BBTC,27.91,43.73333333333333,26.9,19.04,28.93,0.7366666666666665,98.61751152073732,10.56,POSITIVE,HIGH,NEWS CATALYST,2,LOW,43.47,222
AARTIIND,47.95,68.2,52.28,50.25,53.3,4.086666666666667,30.29953917050691,0.0,NEUTRAL,LOW,NORMAL,2,LOW,43.27,223
CREDITACC,39.31,66.93333333333334,48.22,41.88,39.85,2.986666666666667,58.87096774193549,0.0,NEUTRAL,LOW,NORMAL,2,LOW,43.18,224
DELTACORP,45.05,78.53333333333333,58.88,47.46,46.95,5.330000000000001,39.285714285714285,0.0,NONE,LOW,NORMAL,2,LOW,43.12,225
CLEAN,42.42,64.13333333333333,48.48,40.86,50.51,2.8833333333333333,47.92626728110599,0.0,NEUTRAL,LOW,NORMAL,2,LOW,43.08,226
INDUSTOWER,29.78,94.26666666666668,35.79,22.59,29.7,-0.3899999999999994,89.97695852534562,0.84,NEUTRAL,LOW,NORMAL,2,LOW,43.0,227
GESHIP,49.62,95.46666666666668,53.05,46.95,53.81,5.476666666666667,21.54377880184332,0.0,NONE,LOW,NORMAL,2,LOW,42.64,228
ETERNAL,48.58,98.53333333333332,49.49,49.24,45.69,5.456666666666667,48.27188940092166,0.0,NEUTRAL,LOW,NORMAL,0,LOW,42.29,229
ACE,41.22,66.13333333333333,39.59,43.4,42.13,3.95,47.8110599078341,0.0,NEUTRAL,LOW,NORMAL,2,LOW,42.25,230
IGIL,53.66,70.39999999999999,61.17,58.63,61.68,5.98,5.64516129032258,-4.2,NEGATIVE,HIGH,NEWS RISK,2,LOW,42.18,231
FIVESTAR,34.3,69.39999999999999,35.53,47.97,34.01,4.096666666666667,95.6221198156682,4.32,POSITIVE,HIGH,NEWS CATALYST,0,LOW,42.17,232
GIPCL,24.73,49.46666666666666,11.17,5.58,34.77,-2.6966666666666668,64.97695852534562,0.96,NEUTRAL,LOW,NORMAL,5,LOW,42.11,233
ELECTCAST,44.37,65.4,58.12,51.78,50.89,6.286666666666668,58.986175115207374,0.0,NEUTRAL,LOW,NORMAL,0,LOW,41.6,234
IDFCFIRSTB,43.08,91.13333333333333,51.52,41.12,43.91,3.7166666666666672,0.1152073732718894,-32.64,NEGATIVE,HIGH,NEWS RISK,5,LOW,41.46,235
BASF,41.73,51.0,46.83,53.17,50.13,1.7799999999999994,66.82027649769586,0.75,NEUTRAL,LOW,NORMAL,0,LOW,41.4,236
DMART,47.03,90.26666666666668,42.89,65.23,47.21,5.84,48.8479262672811,0.0,NEUTRAL,LOW,NORMAL,0,LOW,41.36,237
ARVINDFASN,47.24,49.13333333333333,56.35,56.09,52.79,6.3133333333333335,21.54377880184332,0.0,NONE,LOW,NORMAL,2,LOW,41.04,238
HINDZINC,28.83,93.2,29.95,24.62,29.95,-2.353333333333333,56.451612903225815,0.0,NEUTRAL,LOW,NORMAL,4,LOW,40.66,239
COLPAL,22.04,83.86666666666667,19.04,14.47,19.29,-1.1966666666666663,79.03225806451613,0.78,NEUTRAL,LOW,NORMAL,4,LOW,40.61,240
ATULAUTO,35.45,52.400000000000006,46.07,37.94,39.34,2.6533333333333333,58.17972350230415,0.96,NEUTRAL,LOW,NORMAL,2,LOW,40.45,241
DELHIVERY,44.26,85.39999999999999,42.64,49.75,44.54,3.140000000000001,48.73271889400922,0.0,NEUTRAL,LOW,NORMAL,0,LOW,39.48,242
HOMEFIRST,32.73,62.866666666666674,36.04,42.13,35.03,4.076666666666667,87.44239631336406,2.16,POSITIVE,MEDIUM,POSITIVE NEWS,0,LOW,39.48,243
IREDA,34.8,84.13333333333334,37.31,52.79,33.5,2.356666666666667,80.06912442396313,1.95,NEUTRAL,LOW,NORMAL,0,LOW,39.39,244
INDRAMEDCO,39.17,59.8,36.29,31.98,42.64,3.543333333333333,50.80645161290322,0.0,NEUTRAL,LOW,NORMAL,1,LOW,38.98,245
GILLETTE,28.64,66.66666666666666,28.68,22.08,27.92,-0.6233333333333332,97.926267281106,6.84,POSITIVE,HIGH,NEWS CATALYST,0,LOW,38.83,246
ARIHANTSUP,37.67,56.86666666666667,48.98,40.36,40.61,4.056666666666668,67.2811059907834,1.2,NEUTRAL,LOW,NORMAL,0,LOW,38.76,247
HIKAL,38.9,42.6,46.45,35.53,45.94,2.3433333333333333,36.75115207373272,0.0,NEUTRAL,LOW,NORMAL,2,LOW,38.48,248
CYIENT,27.94,67.66666666666666,27.92,32.99,30.71,0.7633333333333335,95.50691244239631,5.04,POSITIVE,HIGH,NEWS CATALYST,0,LOW,37.87,249
IPL,35.92,44.13333333333333,44.67,36.29,43.4,1.2466666666666668,18.548387096774192,-0.72,NEUTRAL,LOW,NORMAL,4,LOW,37.84,250
APOLLOPIPE,27.39,63.33333333333333,29.57,30.08,32.99,1.3633333333333333,71.7741935483871,0.3,NEUTRAL,LOW,NORMAL,2,LOW,37.76,251
ELLEN,26.1,52.66666666666666,24.11,23.35,32.23,0.6366666666666667,51.1520737327189,0.0,NEUTRAL,LOW,NORMAL,4,LOW,37.76,252
HDFCAMC,28.26,91.66666666666666,31.47,34.52,24.37,0.5833333333333331,92.85714285714286,3.3,POSITIVE,HIGH,NEWS CATALYST,0,LOW,37.56,253
ARMANFIN,44.0,48.4,66.24,55.33,55.08,4.65,14.170506912442397,-1.2,NEUTRAL,LOW,NORMAL,2,LOW,37.39,254
DOMS,24.29,58.93333333333334,18.02,31.22,22.08,0.0099999999999997,78.3410138248848,2.88,POSITIVE,MEDIUM,POSITIVE NEWS,2,LOW,36.99,255
BLS,31.71,81.0,30.2,32.49,32.74,2.606666666666667,77.3041474654378,-1.92,NEUTRAL,LOW,NORMAL,0,LOW,36.76,256
DCMSHRIRAM,34.57,43.0,30.96,48.22,35.28,3.31,67.3963133640553,2.1,POSITIVE,MEDIUM,POSITIVE NEWS,0,LOW,36.7,257
EDELWEISS,34.89,71.46666666666667,40.86,43.91,38.58,4.6066666666666665,65.55299539170507,0.0,NEUTRAL,LOW,NORMAL,0,LOW,36.55,258
ABLBL,25.86,53.8,27.28,27.54,25.63,1.87,95.73732718894009,5.16,POSITIVE,HIGH,NEWS CATALYST,0,LOW,36.52,259
FINPIPE,24.45,72.39999999999999,22.21,16.88,22.34,-2.66,75.0,1.2,NEUTRAL,LOW,NORMAL,2,LOW,36.43,260
HARSHA,24.0,51.8,24.11,23.35,27.41,0.6366666666666667,51.38248847926268,0.0,NEUTRAL,LOW,NORMAL,4,LOW,36.4,261
IIFLCAPS,20.72,65.73333333333333,22.21,16.88,14.47,-2.66,61.405529953917046,1.2,NEUTRAL,LOW,NORMAL,4,LOW,36.2,262
COROMANDEL,19.66,81.53333333333333,6.35,5.84,9.9,-1.4833333333333336,89.28571428571429,1.2,NEUTRAL,LOW,NORMAL,2,LOW,36.06,263
CANFINHOME,21.54,58.46666666666667,20.3,30.96,16.75,0.5666666666666664,82.37327188940093,1.68,NEUTRAL,LOW,NORMAL,2,LOW,35.95,264
IRCON,32.73,67.0,30.71,35.28,33.76,2.936666666666667,69.70046082949308,0.96,NEUTRAL,LOW,NORMAL,0,LOW,35.93,265
AAVAS,34.43,56.266666666666666,42.39,55.08,38.83,3.2266666666666666,63.36405529953917,0.36,NEUTRAL,LOW,NORMAL,0,LOW,35.8,266
DLINKINDIA,14.68,48.6,2.92,11.42,7.61,-3.26,41.935483870967744,0.0,NEUTRAL,LOW,NORMAL,7,LOW,35.75,267
AJMERA,30.62,60.8,33.5,26.14,29.44,2.4066666666666667,74.88479262672811,1.2,NEUTRAL,LOW,NORMAL,0,LOW,35.55,268
ALKEM,27.1,84.46666666666667,20.56,21.32,26.9,-1.15,86.40552995391705,0.0,NEUTRAL,LOW,NORMAL,0,LOW,35.49,269
ACI,26.26,56.13333333333333,18.78,25.89,27.16,0.8233333333333336,51.03686635944701,0.0,NEUTRAL,LOW,NORMAL,3,LOW,35.35,270
CAMPUS,33.88,55.400000000000006,37.69,42.51,36.55,1.4366666666666663,61.75115207373272,0.0,NEUTRAL,LOW,NORMAL,0,LOW,35.11,271
CROMPTON,29.27,83.66666666666667,32.11,28.81,30.33,1.7966666666666669,51.26728110599078,0.0,NEUTRAL,LOW,NORMAL,2,LOW,34.92,272
GPPL,28.75,69.06666666666666,28.17,21.07,30.96,-0.09,77.18894009216591,1.2,NEUTRAL,LOW,NORMAL,0,LOW,34.75,273
INTERARCH,24.84,67.4,17.51,25.38,24.11,1.6466666666666665,87.90322580645162,0.0,NEUTRAL,LOW,NORMAL,0,LOW,34.27,274
AWL,38.7,69.33333333333334,43.91,53.81,42.89,3.64,41.01382488479263,0.0,NEUTRAL,LOW,NORMAL,0,LOW,34.2,275
AADHARHFC,33.11,59.06666666666667,38.58,48.73,38.32,2.79,59.56221198156682,-1.41,NEUTRAL,LOW,NORMAL,0,LOW,34.16,276
ENTERO,35.33,64.93333333333334,35.28,46.19,40.1,2.203333333333333,50.23041474654379,0.0,NEUTRAL,LOW,NORMAL,0,LOW,33.78,277
ATUL,41.38,58.333333333333336,43.4,44.16,47.46,2.02,4.032258064516129,-7.2,NEGATIVE,HIGH,NEWS RISK,2,LOW,33.61,278
HITECH,39.14,46.93333333333333,47.72,44.42,48.22,5.0,10.368663594470046,-1.92,NEUTRAL,LOW,NORMAL,2,LOW,33.37,279
IRCTC,25.23,75.53333333333333,21.07,19.8,23.35,1.393333333333333,81.45161290322581,1.2,NEUTRAL,LOW,NORMAL,0,LOW,33.24,280
HYUNDAI,26.2,96.73333333333332,25.13,9.64,21.57,-1.5833333333333333,51.49769585253456,0.0,NEUTRAL,LOW,NORMAL,2,LOW,32.9,281
EICHERMOT,26.46,95.66666666666669,20.05,13.71,17.01,-1.3666666666666665,37.32718894009216,0.0,NEUTRAL,LOW,NORMAL,3,LOW,32.74,282
ISGEC,33.57,43.66666666666666,33.76,40.1,36.8,4.04,50.576036866359445,0.0,NEUTRAL,LOW,NORMAL,0,LOW,32.67,283
CAPACITE,23.16,44.06666666666666,23.1,26.65,25.38,1.0599999999999998,85.02304147465438,0.96,NEUTRAL,LOW,NORMAL,0,LOW,32.56,284
CRISIL,15.55,61.06666666666667,10.91,10.91,7.11,-1.7166666666666666,60.25345622119816,0.0,NEUTRAL,LOW,NORMAL,4,LOW,32.5,285
ASTRAL,21.01,85.93333333333332,17.77,14.21,19.54,-2.0766666666666667,91.70506912442396,3.15,POSITIVE,HIGH,NEWS CATALYST,0,LOW,32.46,286
GRAPHITE,34.26,83.8,38.07,37.56,39.09,2.286666666666666,17.050691244239633,-0.96,NEUTRAL,LOW,NORMAL,2,LOW,31.43,287
BRIGADE,21.09,59.46666666666667,13.45,26.9,11.17,1.176666666666667,84.7926267281106,1.95,NEUTRAL,LOW,NORMAL,0,LOW,31.13,288
JAMNAAUTO,17.61,70.73333333333333,14.21,11.93,10.41,-3.523333333333333,83.75576036866359,2.4,POSITIVE,MEDIUM,POSITIVE NEWS,1,LOW,31.08,289
IRFC,28.25,82.86666666666666,26.4,31.73,23.86,1.41,60.023041474654384,0.0,NEUTRAL,LOW,NORMAL,0,LOW,30.98,290
CHOICEIN,22.74,71.73333333333333,25.76,25.0,21.83,0.6133333333333333,77.99539170506912,1.56,NEUTRAL,LOW,NORMAL,0,LOW,30.88,291
INFY,30.09,99.8,17.26,15.48,31.47,0.3833333333333331,53.11059907834101,0.0,NEUTRAL,LOW,NORMAL,0,LOW,30.84,292
BAYERCROP,26.41,56.46666666666667,20.81,27.92,28.17,-0.2166666666666666,65.43778801843318,0.72,NEUTRAL,LOW,NORMAL,0,LOW,30.83,293
BHARTIARTL,28.47,99.73333333333332,27.66,20.3,20.81,-0.3266666666666668,58.41013824884793,0.96,NEUTRAL,LOW,NORMAL,0,LOW,30.81,294
DLF,29.89,91.6,32.99,34.01,26.4,1.07,52.64976958525346,0.0,NEUTRAL,LOW,NORMAL,0,LOW,30.61,295
ITCHOTELS,20.17,74.8,18.53,16.5,15.99,-0.6933333333333334,85.25345622119815,2.52,POSITIVE,MEDIUM,POSITIVE NEWS,0,LOW,30.6,296
BLUEDART,12.35,44.53333333333334,4.57,3.55,3.81,-2.92,86.05990783410138,2.16,POSITIVE,MEDIUM,POSITIVE NEWS,2,LOW,30.51,297
BAJAJHFL,29.87,70.6,30.46,39.09,26.65,1.75,52.07373271889401,0.0,NEUTRAL,LOW,NORMAL,0,LOW,30.48,298
BAJAJHLDNG,29.36,75.06666666666668,31.22,24.37,24.62,0.1933333333333332,51.61290322580645,0.0,NEUTRAL,LOW,NORMAL,0,LOW,30.05,299
GMMPFAUDLR,15.31,59.53333333333334,6.6,8.63,8.12,-0.6466666666666665,96.08294930875576,6.0,POSITIVE,HIGH,NEWS CATALYST,0,LOW,29.5,300
BAJFINANCE,21.24,99.0,19.8,16.24,13.96,-1.1233333333333333,75.23041474654379,1.2,NEUTRAL,LOW,NORMAL,0,LOW,29.32,301
CIEINDIA,27.6,56.53333333333334,32.11,28.81,30.33,1.7966666666666669,52.995391705069125,0.0,NEUTRAL,LOW,NORMAL,0,LOW,29.14,302
INGERRAND,28.86,54.46666666666666,27.28,27.54,32.49,1.87,23.617511520737327,-0.24,NEUTRAL,LOW,NORMAL,2,LOW,29.11,303
APOLLOTYRE,16.94,80.33333333333333,11.42,8.88,8.88,-1.3300000000000003,88.59447004608295,2.16,POSITIVE,MEDIUM,POSITIVE NEWS,0,LOW,29.1,304
GMRP&UI,34.86,69.8,34.01,28.43,37.82,1.3500000000000003,2.995391705069124,-9.84,NEGATIVE,HIGH,NEWS RISK,2,LOW,29.02,305
CELLO,17.21,55.53333333333333,12.69,13.2,11.68,0.316666666666667,86.75115207373271,1.56,NEUTRAL,LOW,NORMAL,0,LOW,28.91,306
BAJAJFINSV,15.64,88.06666666666668,12.44,6.09,4.82,-3.1166666666666667,90.09216589861752,1.8,NEUTRAL,LOW,NORMAL,0,LOW,28.53,307
GODIGIT,22.44,71.2,24.62,21.57,21.07,0.5133333333333333,66.93548387096774,0.0,NEUTRAL,LOW,NORMAL,0,LOW,28.46,308
HERITGFOOD,31.26,44.93333333333333,32.74,41.62,34.26,3.35,37.21198156682028,0.0,NEUTRAL,LOW,NORMAL,0,LOW,28.44,309
CUB,40.81,73.73333333333333,41.5,67.64,47.97,2.75,4.723502304147465,-5.88,NEGATIVE,HIGH,NEWS RISK,0,LOW,28.36,310
POONAWALLA,17.33,75.4,12.94,12.69,9.64,-0.6966666666666663,83.52534562211981,1.8,NEUTRAL,LOW,NORMAL,0,LOW,28.35,311
GODREJCP,17.1,90.13333333333333,7.11,6.35,5.58,-2.806666666666666,59.331797235023046,0.0,NEUTRAL,LOW,NORMAL,2,LOW,28.35,312
GODREJPROP,26.24,84.39999999999999,28.93,28.17,23.6,0.4966666666666667,53.2258064516129,0.0,NEUTRAL,LOW,NORMAL,0,LOW,28.27,313
AMBUJACEM,17.27,87.6,7.61,5.33,8.38,-4.613333333333334,83.06451612903226,1.68,NEUTRAL,LOW,NORMAL,0,LOW,28.21,314
ICICIBANK,23.28,99.93333333333332,16.75,15.99,12.69,-0.08,0.2304147465437788,-14.4,NEGATIVE,HIGH,NEWS RISK,5,LOW,28.19,315
AWHCL,15.77,44.6,12.18,18.02,14.72,-1.3033333333333337,87.78801843317973,1.74,NEUTRAL,LOW,NORMAL,0,LOW,28.15,316
DHANBANK,33.88,46.33333333333333,46.07,37.94,37.31,2.6533333333333333,0.9216589861751152,-12.84,NEGATIVE,HIGH,NEWS RISK,2,LOW,27.94,317
INDUSINDBK,33.07,89.13333333333333,37.06,25.63,34.52,0.6800000000000003,3.225806451612903,-8.64,NEGATIVE,HIGH,NEWS RISK,2,LOW,27.86,318
CHOLAFIN,22.65,90.53333333333332,16.24,12.44,10.91,-2.01,60.13824884792627,0.0,NEUTRAL,LOW,NORMAL,0,LOW,27.24,319
BPCL,15.95,93.13333333333334,5.58,3.05,6.6,-4.5,82.48847926267281,1.68,NEUTRAL,LOW,NORMAL,0,LOW,27.21,320
EUREKAFORB,28.95,52.2,29.19,38.32,28.43,2.7133333333333334,37.78801843317972,0.0,NEUTRAL,LOW,NORMAL,0,LOW,27.01,321
IEX,34.44,76.8,41.88,39.34,35.79,1.4833333333333332,18.66359447004608,-0.96,NEUTRAL,LOW,NORMAL,0,LOW,26.87,322
ACC,15.76,65.86666666666666,8.88,4.57,9.14,-3.9066666666666663,80.4147465437788,0.75,NEUTRAL,LOW,NORMAL,0,LOW,26.67,323
AIIL,33.72,62.53333333333333,45.69,37.31,35.53,3.126666666666667,19.70046082949309,-1.95,NEUTRAL,LOW,NORMAL,0,LOW,26.59,324
BRITANNIA,15.57,90.8,6.09,2.03,3.05,-3.28,79.3778801843318,1.32,NEUTRAL,LOW,NORMAL,0,LOW,26.34,325
CHALET,35.22,51.06666666666667,34.77,39.59,36.04,2.2133333333333334,12.788018433179724,-2.1,NEGATIVE,MEDIUM,NEGATIVE NEWS,0,LOW,26.22,326
DYNAMATECH,22.84,65.33333333333333,26.65,27.16,23.1,0.0266666666666667,27.53456221198157,0.0,NEUTRAL,LOW,NORMAL,2,LOW,25.85,327
CSBBANK,23.08,56.333333333333336,21.83,23.86,21.32,1.92,1.3824884792626728,-14.28,NEGATIVE,HIGH,NEWS RISK,4,LOW,25.78,328
CRIZAC,22.02,49.73333333333333,24.11,23.35,24.87,0.6366666666666667,53.91705069124424,0.0,NEUTRAL,LOW,NORMAL,0,LOW,25.58,329
BLUESTARCO,13.28,80.60000000000001,1.78,2.79,2.03,-4.5200000000000005,83.17972350230414,1.68,NEUTRAL,LOW,NORMAL,0,LOW,25.56,330
