Symbol,Close,AVG_20D_VOLUME,ADV_RUPEES,LIQUIDITY_SCORE,LIQUIDITY_RANK,LIQUIDITY_BUCKET
GRINFRA,859.55,40380,34708370.64,36.666666666666664,951.0,ILLIQUID
MOL,46.64,738389,34438443.85,36.6,952.0,ILLIQUID
SWARAJENG,3777.9,9057,34216250.52,36.53333333333333,953.0,ILLIQUID
SILGO,74.43,457083,34020665.5,36.46666666666666,954.0,ILLIQUID
GNA,357.25,95067,33962775.06,36.4,955.0,ILLIQUID
JTEKTINDIA,123.87,273890,33926699.31,36.333333333333336,956.0,ILLIQUID
GALAPREC,894.6,37897,33902744.73,36.266666666666666,957.0,ILLIQUID
BALMLAWRIE,172.33,195950,33768081.09,36.199999999999996,958.0,ILLIQUID
CLSEL,267.9,126040,33766101.84,36.13333333333333,959.0,ILLIQUID
KSL,784.4,42486,33326333.2,36.06666666666667,960.0,ILLIQUID
RITCO,249.0,129263,32186387.4,36.0,961.0,ILLIQUID
JKIL,468.95,68578,32159841.52,35.93333333333334,962.0,ILLIQUID
WESTLIFE,429.4,74198,31860448.99,35.86666666666667,963.0,ILLIQUID
VETO,144.57,220043,31811639.81,35.8,964.0,ILLIQUID
AHLUCONT,788.25,40072,31587148.12,35.733333333333334,965.0,ILLIQUID
SULA,154.09,204530,31515973.02,35.66666666666667,966.0,ILLIQUID
EPIGRAL,1113.8,27984,31168413.5,35.6,967.0,ILLIQUID
GEOJITFSL,72.24,429981,31061851.81,35.53333333333333,968.0,ILLIQUID
MWL,375.05,82816,31060233.55,35.46666666666667,969.0,ILLIQUID
GPTINFRA,112.35,272650,30632199.0,35.4,970.0,ILLIQUID
ESABINDIA,5620.5,5444,30596315.85,35.333333333333336,971.0,ILLIQUID
ADOR,1116.9,27335,30530182.94,35.266666666666666,972.0,ILLIQUID
MUFTI,85.99,348987,30009378.49,35.199999999999996,973.0,ILLIQUID
ORIENTELEC,173.4,172774,29959036.56,35.13333333333333,974.0,ILLIQUID
ETHOSLTD,2384.8,12413,29603476.93,35.06666666666667,975.0,ILLIQUID
MAXESTATES,442.35,66426,29383453.04,35.0,976.0,ILLIQUID
ARKADE,111.73,262384,29316126.1,34.93333333333333,977.0,ILLIQUID
RPSGVENT,868.5,33754,29315696.4,34.86666666666667,978.0,ILLIQUID
SPLPETRO,675.9,43000,29064039.0,34.8,979.0,ILLIQUID
GATEWAY,57.7,502897,29017157.28,34.733333333333334,980.0,ILLIQUID
MONTECARLO,535.6,54113,28982707.24,34.66666666666667,981.0,ILLIQUID
SANOFICONR,4675.0,6149,28744471.25,34.599999999999994,982.0,ILLIQUID
JUNIPER,198.38,144603,28686254.58,34.53333333333333,983.0,ILLIQUID
SMCGLOBAL,68.01,420926,28627164.56,34.46666666666667,984.0,ILLIQUID
ASALCBR,814.2,34836,28363553.05,34.4,985.0,ILLIQUID
ASHIANA,355.7,79688,28345093.71,34.333333333333336,986.0,ILLIQUID
HNDFDS,523.85,53940,28256677.22,34.266666666666666,987.0,ILLIQUID
BUTTERFLY,630.85,44271,27928138.47,34.2,988.0,ILLIQUID
RAMKY,430.65,64572,27807780.68,34.13333333333333,989.0,ILLIQUID
KALPATARU,311.6,88665,27628154.76,34.06666666666667,990.0,ILLIQUID
BOROLTD,219.83,124106,27282211.22,34.0,991.0,ILLIQUID
BFINVEST,424.65,63135,26810107.5,33.93333333333333,992.0,ILLIQUID
ROTO,60.32,442161,26671175.51,33.86666666666667,993.0,ILLIQUID
SUBROS,709.85,37233,26429702.17,33.800000000000004,994.0,ILLIQUID
AMBIKCO,1571.4,16649,26162003.3,33.733333333333334,995.0,ILLIQUID
PSB,23.74,1100101,26116405.8,33.666666666666664,996.0,ILLIQUID
ORISSAMINE,3948.5,6577,25967705.1,33.6,997.0,ILLIQUID
MARATHON,395.45,65268,25810191.85,33.53333333333333,998.0,ILLIQUID
MASFIN,297.0,86888,25805587.5,33.46666666666667,999.0,ILLIQUID
RAJRATAN,441.45,57965,25588672.03,33.4,1000.0,ILLIQUID
CNL,693.95,36633,25421540.19,33.33333333333333,1001.0,ILLIQUID
ORIENTCEM,130.84,189772,24829735.08,33.266666666666666,1002.0,ILLIQUID
SMARTWORKS,448.7,55158,24749619.62,33.2,1003.0,ILLIQUID
GOPAL,278.35,88791,24714877.97,33.13333333333333,1004.0,ILLIQUID
IGARASHI,370.25,66618,24665407.06,33.06666666666666,1005.0,ILLIQUID
AMANTA,140.92,173622,24466868.29,33.0,1006.0,ILLIQUID
ICRA,5147.5,4713,24257851.12,32.93333333333333,1007.0,ILLIQUID
KCP,161.49,150010,24225148.02,32.86666666666667,1008.0,ILLIQUID
EMUDHRA,469.4,51428,24140490.65,32.800000000000004,1009.0,ILLIQUID
WENDT,6767.5,3538,23941384.75,32.733333333333334,1010.0,ILLIQUID
DODLA,1071.7,22219,23812101.22,32.666666666666664,1011.0,ILLIQUID
UNIECOM,84.67,279751,23686495.49,32.6,1012.0,ILLIQUID
SWELECTES,627.65,37429,23492375.53,32.53333333333333,1013.0,ILLIQUID
