Symbol,ENTRY_SCORE,RSI,VOLUME_RATIO,EMA20,EMA50,DISTANCE_TO_HIGH,LAST_UPDATED,ENTRY_RANK
AEROFLEX.NS,7,59.5,0.56,398.36,350.51,-227.58,2026-06-09 06:48:50.841178,4.0
GOKULAGRO.NS,7,51.22,0.3,231.02,220.52,-367.75,2026-06-09 11:41:21.683881,4.0
ADANIPORTS.NS,7,57.42,0.31,1781.07,1691.37,-110.71,2026-06-09 06:48:50.841178,4.0
COALINDIA.NS,7,56.7,0.33,465.78,458.6,-309.35,2026-06-09 06:48:50.841178,4.0
BAJAJ-AUTO.NS,7,49.16,0.39,10284.21,10003.55,-341.98,2026-06-09 06:48:50.841178,4.0
GVT&D.NS,7,56.72,0.77,4801.51,4482.73,-422.64,2026-06-09 11:41:21.683881,4.0
BAHETI.NS,7,53.36,0.56,603.87,591.46,-289.59,2026-06-09 06:48:50.841178,4.0
GRINDWELL.NS,7,50.73,0.26,1868.28,1756.15,-149.3,2026-06-09 11:41:21.683881,4.0
CARBORUNIV.NS,7,46.1,0.18,1031.44,980.59,-466.26,2026-06-09 06:48:50.841178,4.0
ANGELONE.NS,7,53.45,0.2,328.92,309.46,-484.92,2026-06-09 06:48:50.841178,4.0
CARTRADE.NS,7,73.23,1.97,1874.2,1854.01,-3346.08,2026-06-09 06:49:12.228709,4.0
ASAHISONG.NS,7,65.24,1.96,250.07,241.4,-4072.1,2026-06-09 06:48:50.841178,4.0
GRANULES.NS,7,52.84,0.49,762.37,718.14,-362.18,2026-06-09 11:41:21.683881,4.0
CARYSIL.NS,7,58.57,0.21,1047.78,976.71,-474.52,2026-06-09 06:48:50.841178,4.0
IDEA.NS,7,60.61,1.62,13.69,12.29,-541.81,2026-06-09 11:41:21.683881,4.0
INDORAMA.NS,7,75.67,1.52,41.63,39.51,-3643.75,2026-06-09 11:41:21.683881,4.0
DIACABS.NS,7,54.57,0.35,191.03,174.41,-202.27,2026-06-09 11:41:21.683881,4.0
GHCLTEXTIL.NS,7,59.29,0.33,94.64,89.5,-328.44,2026-06-09 11:41:21.683881,4.0
ARROWGREEN.NS,7,76.64,9.45,529.92,512.6,-2343.3,2026-06-09 06:48:50.841178,4.0
DHANBANK.NS,7,51.66,0.4,32.71,30.47,-389.31,2026-06-09 11:41:21.683881,4.0
ARVIND.NS,7,55.37,0.13,476.2,438.04,-20.96,2026-06-09 06:48:50.841178,4.0
BANSWRAS.NS,6,54.18,2.57,122.31,119.3,-2138.48,2026-06-09 06:48:50.841178,5.0
FROG.NS,6,43.78,1.82,167.56,164.55,-3698.27,2026-06-09 11:41:21.683881,5.0
ENERGYDEV.NS,6,49.54,2.02,16.69,16.65,-4030.76,2026-06-09 11:41:21.683881,5.0
CERA.NS,6,53.28,6.7,5616.01,5461.69,-1760.37,2026-06-09 06:49:19.278935,5.0
AEGISLOG.NS,5,68.52,0.32,736.52,709.5,-1226.81,2026-06-09 06:48:50.841178,6.0
IFBIND.NS,5,78.99,0.2,1203.67,1165.25,-3425.36,2026-06-09 11:41:21.683881,6.0
DLINKINDIA.NS,5,77.1,0.7,471.98,455.23,-1193.22,2026-06-09 06:48:50.841178,6.0
ITI.NS,5,68.93,0.42,296.3,291.62,-1582.78,2026-06-09 11:41:21.683881,6.0
IFGLEXPOR.NS,5,77.74,0.45,183.82,177.99,-3458.75,2026-06-09 11:41:21.683881,6.0
BLUSPRING.NS,5,68.85,0.31,77.79,70.25,-536.07,2026-06-09 06:48:50.841178,6.0
DIXON.NS,5,62.54,0.49,11386.3,11202.15,-3665.92,2026-06-09 11:41:21.683881,6.0
CNL.NS,5,70.39,1.24,648.01,637.16,-894.76,2026-06-09 06:48:50.841178,6.0
BFINVEST.NS,5,70.08,0.14,421.76,411.84,-1423.62,2026-06-09 06:48:50.841178,6.0
BOROSCI.NS,5,69.26,0.07,142.1,129.81,-1689.15,2026-06-09 06:48:50.841178,6.0
HCL-INSYS.NS,5,64.38,0.49,12.48,12.33,-2921.97,2026-06-09 11:41:21.683881,6.0
DIGISPICE.NS,5,78.6,0.8,19.98,19.69,-3705.86,2026-06-09 06:48:50.841178,6.0
JAGRAN.NS,5,67.48,0.24,62.96,60.32,-592.37,2026-06-09 06:48:50.841178,6.0
GPECO.NS,5,72.77,0.79,428.83,397.84,-2474.45,2026-06-09 11:41:21.683881,6.0
HMVL.NS,5,91.94,0.9,72.12,68.69,-661.38,2026-06-09 12:42:30.892384,6.0
ASIANPAINT.NS,5,67.97,0.33,2630.8,2549.38,-948.96,2026-06-09 06:49:24.988908,6.0
GANESHHOU.NS,5,69.17,0.78,718.24,689.98,-2512.55,2026-06-09 11:41:21.683881,6.0
BANKA.NS,5,67.36,0.03,86.98,79.02,-788.66,2026-06-09 06:48:50.841178,6.0
BEARDSELL.NS,5,78.23,0.32,27.37,26.49,-1956.23,2026-06-09 06:48:50.841178,6.0
HFCL.NS,5,73.06,1.15,167.51,137.66,-1073.17,2026-06-09 11:41:21.683881,6.0
AMBER.NS,5,67.92,0.21,7673.47,7606.23,-1302.23,2026-06-09 06:48:50.841178,6.0
ALKALI.NS,5,73.25,0.09,82.6,74.39,-1245.4,2026-06-09 06:48:50.841178,6.0
BHAGERIA.NS,5,91.99,0.72,173.1,165.15,-844.28,2026-06-09 06:48:50.841178,6.0
WELENT.NS,5,78.09,0.86,518.35,504.14,-520.78,2026-06-09 11:41:21.683881,6.0
HCC.NS,5,64.93,0.57,22.61,21.22,-3564.17,2026-06-09 11:41:21.683881,6.0
CENTUM.NS,5,65.36,0.42,3272.8,3060.96,-785.83,2026-06-09 06:48:50.841178,6.0
GUJGASLTD.NS,5,64.6,0.62,386.9,379.77,-2042.89,2026-06-09 11:41:21.683881,6.0
EXIDEIND.NS,5,72.18,0.32,377.77,358.51,-804.96,2026-06-09 11:41:21.683881,6.0
FIEMIND.NS,5,64.8,0.34,2263.66,2224.4,-984.01,2026-06-09 06:48:50.841178,6.0
FAZE3Q.NS,5,75.86,0.08,515.25,486.62,-2610.23,2026-06-09 06:48:50.841178,6.0
GALAPREC.NS,5,61.95,0.36,879.43,834.5,-667.63,2026-06-09 11:41:21.683881,6.0
CENTENKA.NS,5,61.43,0.11,485.21,461.04,-714.35,2026-06-09 06:48:50.841178,6.0
AIMTRON.NS,5,66.95,1.18,1175.44,1071.56,-768.61,2026-06-09 06:48:50.841178,6.0
AVTNPL.NS,5,61.02,0.3,69.14,67.26,-774.62,2026-06-09 06:48:50.841178,6.0
ATGL.NS,5,68.14,0.35,708.67,654.03,-710.53,2026-06-09 06:48:50.841178,6.0
AURUM.NS,5,64.04,0.38,181.18,178.72,-1503.48,2026-06-09 06:48:50.841178,6.0
DJML.NS,5,71.84,0.46,102.38,96.22,-1332.86,2026-06-09 06:48:50.841178,6.0
DWARKESH.NS,5,63.66,0.4,44.55,43.9,-1127.24,2026-06-09 06:48:50.841178,6.0
IIFL.NS,5,63.63,0.41,483.26,475.93,-2305.36,2026-06-09 11:41:21.683881,6.0
ASAHIINDIA.NS,5,65.55,0.16,876.64,867.47,-1724.03,2026-06-09 06:49:12.228709,6.0
INDOSTAR.NS,5,83.44,1.4,225.04,217.35,-3010.2,2026-06-09 11:41:21.683881,6.0
EXICOM.NS,5,64.31,1.3,140.64,126.16,-2986.39,2026-06-09 11:41:21.683881,6.0
INDNIPPON.NS,5,73.64,0.21,852.74,816.9,-1561.08,2026-06-09 11:41:21.683881,6.0
ADOR.NS,5,61.4,0.31,1105.53,1064.91,-575.81,2026-06-09 06:48:50.841178,6.0
GOCLCORP.NS,5,78.4,0.47,369.92,334.63,-513.74,2026-06-09 11:41:21.683881,6.0
EMKAY.NS,5,74.02,0.1,248.65,236.33,-2595.18,2026-06-09 06:48:50.841178,6.0
CHEMCON.NS,5,65.43,0.25,183.69,172.0,-2741.48,2026-06-09 06:48:50.841178,6.0
COFFEEDAY.NS,5,71.52,0.39,32.45,29.55,-3064.16,2026-06-09 06:48:50.841178,6.0
CAPLIPOINT.NS,5,74.68,1.22,2005.9,1896.0,-508.34,2026-06-09 06:48:50.841178,6.0
ABDL.NS,5,71.84,0.61,556.02,536.57,-1510.68,2026-06-09 06:48:50.841178,6.0
FILATEX.NS,5,85.08,1.09,46.87,45.18,-1925.39,2026-06-09 11:41:21.683881,6.0
