DATE,VERSION,TOTAL_RETURN,CAGR,SHARPE,VOLATILITY,MAX_DRAWDOWN,WIN_RATE,PORTFOLIO_SIZE,REGIME,NOTES
2026-06-06 07:32:46,1,,,,,,,0,UNKNOWN,
2026-06-06 07:36:57,2,,,,,,,0,UNKNOWN,
2026-06-06 07:50:26,3,,,,,,,0,LOW_VOL,
2026-06-10 09:29:30,4,585.91,34.89,1.79,19.5,-28.4,59.6,0,LOW_VOL,
2026-06-10 09:30:16,5,585.91,34.89,1.79,19.5,-28.4,59.6,36,LOW_VOL,
