Ticker,ABSLAMC.NS,ACMESOLAR.NS,ADANIENT.NS,ADANIPORTS.NS,ADFFOODS.NS,AEROENTER.NS,AKUMS.NS,APCOTEXIND.NS,APOLLOHOSP.NS,ARVIND.NS,ATGL.NS,AZAD.NS,CEIGALL.NS,CEMPRO.NS,CGPOWER.NS,CPPLUS.NS,DIFFNKG.NS,EMCURE.NS,GAYAPROJ.NS,GLAND.NS,GRANULES.NS,GUFICBIO.NS,GULPOLY.NS,GVT&D.NS,HONASA.NS,HSCL.NS,INDOBORAX.NS,INOXINDIA.NS,IOLCP.NS,IRBINVIT.NS,WELENT.NS
ABSLAMC.NS,1.0,0.16958914058601177,,0.3439016622329446,0.25377516240652737,0.21518183123143927,0.3528747329001503,0.19596012950513048,0.21876844303983006,0.1786539238190288,0.20797487352091396,0.32927503967071287,0.2274665845277415,0.25092115528121717,0.38123473609868647,0.15612890457650108,0.2894781567724271,0.17819830810361026,0.07813095563037843,0.02750628691028271,0.36961931645286633,0.3292128689163586,0.2328226602988946,0.23743361378833694,0.24206826438085954,0.2878945301117637,-0.0244947594463778,0.28231941145009953,0.19001373473265035,0.042487754346905986,0.2418057897313309
ACMESOLAR.NS,0.16958914058601177,1.0,,0.17494871647535482,0.1719422532654722,0.11565518043219225,0.09432444077430122,0.10066460221389059,-0.03501613112314749,0.1467454057114202,0.29435195066845404,0.19428069864711484,0.0593636463520858,0.11898009321191946,0.17444379917204794,0.2950249857053337,0.13989339064213402,0.04927760553104718,0.09853499543395769,0.08847779533345736,0.1752521742860957,0.1297959734845314,0.12067798842422829,0.1773067428771038,0.13798715471729125,0.14817278932847766,0.06699163065076938,0.08766561440137918,0.3305239890538539,0.15482579632244384,0.16539070496667146
ADANIENT.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANIPORTS.NS,0.3439016622329446,0.17494871647535482,,1.0,0.4436709913671473,0.3215917338669285,0.4301802754942677,0.25856585512969454,0.24936022587683415,0.32695298364763986,0.36549525513346637,0.3718885838530818,0.27334893555055256,0.41489791138647336,0.4503379122247673,0.1633147800610779,0.3858990256770546,0.12792597959249521,0.07298602191872927,0.24761615296558487,0.41191804738758786,0.3083968211694237,0.31268857389811394,0.2761385821680562,0.29243110338557926,0.35499445123441725,0.11188257324183294,0.33566091540862364,0.42474505818663444,0.050722709182658504,0.39282176079198583
ADFFOODS.NS,0.25377516240652737,0.1719422532654722,,0.4436709913671473,1.0,0.32542345816401536,0.27316363939504573,0.204407259804822,0.25512453433443183,0.27142798890473574,0.23333721164341942,0.32508526753264133,0.2989538924143805,0.2320765190416486,0.397230551551265,0.24503087490356215,0.2877953175519925,0.07109677796704887,-0.01613448643240883,0.08257092287932737,0.261381964954841,0.2586807246497649,0.23483649188610292,0.226124171458269,0.18210940026703448,0.22190071180823165,0.026287818949401787,0.16555279219987307,0.22733205808295362,0.02527021861439399,0.30061381437758955
AEROENTER.NS,0.21518183123143927,0.11565518043219225,,0.3215917338669285,0.32542345816401536,1.0,0.28583875600533587,0.3421771847438481,0.11507183852903284,0.36232244150235676,0.13759635021492989,0.3207024918906444,0.233070641923104,0.33541796846166694,0.3117975932785229,0.20349253600420403,0.21258160516297508,0.10135873603240185,0.0013613222645394354,0.16653227047813443,0.2676442460403016,0.3473768042640283,0.24835970767103202,0.34616534012814226,0.35478218300532144,0.2713722768573801,0.06417882581923882,0.31652375995305965,0.2657706771589517,0.03153895658375541,0.2604340995159253
AKUMS.NS,0.3528747329001503,0.09432444077430122,,0.4301802754942677,0.27316363939504573,0.28583875600533587,1.0,0.2051930940041906,0.28544449528264704,0.14784931411952995,0.24144707592598497,0.35056185208485136,0.21856506409098425,0.36306944892789383,0.3071561726068384,0.13772635534023583,0.3215526240312973,0.08395694218836425,0.10832607548753864,0.22147269886897084,0.3464447093428417,0.1719904702347357,0.1604900072944688,0.265335269593142,0.31651103446160905,0.39128491997755455,0.10904308500701196,0.454333678153428,0.3247626634403095,0.043204872706726766,0.37381160902147736
APCOTEXIND.NS,0.19596012950513048,0.10066460221389059,,0.25856585512969454,0.204407259804822,0.3421771847438481,0.2051930940041906,1.0,0.09865841299328532,0.4219255380705311,0.11105694689585,0.23748179124730787,0.22652375726076077,0.2535769715747965,0.26769154260555295,0.09588140170587195,0.22093407342271182,0.02292187274334975,0.1190241485627844,0.12421518891862152,0.24215108181749484,0.2282119244294652,0.11554238443715577,0.1940276752580274,0.21622071208039412,0.12585228247154848,-0.015469579766965114,0.17789828357389523,0.23844927617031522,-0.07962955421873794,0.19827590607520898
APOLLOHOSP.NS,0.21876844303983006,-0.03501613112314749,,0.24936022587683415,0.25512453433443183,0.11507183852903284,0.28544449528264704,0.09865841299328532,1.0,0.09320427463344018,0.050026332937985474,0.33144875887958486,0.2003711493945159,0.20148993032810095,0.24772260647519048,0.18955159871467853,0.1578300257644554,0.21725810054234684,-0.019064733982761612,0.2379740420721873,0.2598302048378248,0.1916248933064634,0.2184939962408393,0.21838336804356412,0.3157237017036589,0.21396918693655514,0.036735273059949516,0.11116913740479793,0.18516511609797595,-0.03154700559064201,0.18567878352151035
ARVIND.NS,0.1786539238190288,0.1467454057114202,,0.32695298364763986,0.27142798890473574,0.36232244150235676,0.14784931411952995,0.4219255380705311,0.09320427463344018,1.0,0.09812169705574175,0.16166534376408948,0.1426878026831618,0.2390131855576643,0.3540716425533219,0.17166422124803657,0.24738200465427776,0.10058855978424591,0.11055923125486494,0.20608321665108043,0.14086525259442706,0.1780949702733926,0.185973254587188,0.19409908231006856,0.16528552180878256,0.10993751135351355,0.08325119243610549,0.22590920877683482,0.2969922166316028,-0.0917612933290024,0.08083528546349894
ATGL.NS,0.20797487352091396,0.29435195066845404,,0.36549525513346637,0.23333721164341942,0.13759635021492989,0.24144707592598497,0.11105694689585,0.050026332937985474,0.09812169705574175,1.0,0.15875411348741744,0.16045008791192897,0.23469029440482886,0.2926073478974024,0.05560047377250135,0.17448646070547888,0.045103957660701306,0.10492762140012729,0.10018818573797329,0.25569737473278886,0.12313019187929725,0.14947709441777057,0.1711012548912889,0.23111948728178658,0.22773254514380195,0.11970817452767833,0.1600568614697514,0.18037253619596905,0.03488435839228533,0.296405470149494
AZAD.NS,0.32927503967071287,0.19428069864711484,,0.3718885838530818,0.32508526753264133,0.3207024918906444,0.35056185208485136,0.23748179124730787,0.33144875887958486,0.16166534376408948,0.15875411348741744,1.0,0.2528450093550749,0.28617431990998937,0.43382023283990095,0.20195747624736138,0.18680214536571244,0.16981803476796498,0.053996988475108,0.09770828996436355,0.31460850872850227,0.1802902209952912,0.3558011616262074,0.3629824189414661,0.2868827376972926,0.3833280596684776,0.13452853255023542,0.2656964482887048,0.30529656230279606,0.05676897398628872,0.39170324929990274
CEIGALL.NS,0.2274665845277415,0.0593636463520858,,0.27334893555055256,0.2989538924143805,0.233070641923104,0.21856506409098425,0.22652375726076077,0.2003711493945159,0.1426878026831618,0.16045008791192897,0.2528450093550749,1.0,0.21490496980088375,0.21382558107477984,0.17401835331475526,0.22534159878303028,0.02972071643029629,0.14112312870984847,0.030061356587088837,0.1403972031424557,0.08000285339190791,0.11646864124186415,0.19911792688130725,0.16129265645962634,0.19535635876909307,0.07927800109012872,0.1389453801162148,0.18998469170605015,0.08117385939238161,0.2937277721006628
CEMPRO.NS,0.25092115528121717,0.11898009321191946,,0.41489791138647336,0.2320765190416486,0.33541796846166694,0.36306944892789383,0.2535769715747965,0.20148993032810095,0.2390131855576643,0.23469029440482886,0.28617431990998937,0.21490496980088375,1.0,0.2559660698750131,0.22955347280676663,0.2046574842348177,0.14339476560964673,0.17821074437151577,0.17003192073106274,0.2625477912504351,0.2128154719787384,0.1955655640214006,0.28616702873973426,0.22288149093208257,0.2674789835551479,0.12894916135427334,0.2582538729625849,0.30612732324957714,0.02298914710752695,0.2999832868571435
CGPOWER.NS,0.38123473609868647,0.17444379917204794,,0.4503379122247673,0.397230551551265,0.3117975932785229,0.3071561726068384,0.26769154260555295,0.24772260647519048,0.3540716425533219,0.2926073478974024,0.43382023283990095,0.21382558107477984,0.2559660698750131,1.0,0.20875932543277634,0.2827038811035131,0.06686852559384757,0.0961937790402817,0.1521662313091723,0.34985232552558587,0.21779559666362702,0.30618918686519975,0.4888337025234013,0.2836555058509858,0.3535144832060645,0.057688071680142984,0.3037406713411746,0.3032745829673011,0.014132887363877489,0.41434129584085877
CPPLUS.NS,0.15612890457650108,0.2950249857053337,,0.1633147800610779,0.24503087490356215,0.20349253600420403,0.13772635534023583,0.09588140170587195,0.18955159871467853,0.17166422124803657,0.05560047377250135,0.20195747624736138,0.17401835331475526,0.22955347280676663,0.20875932543277634,1.0,0.11600655710086581,0.17940847692454376,0.1857187981994624,0.10033580235730843,0.17726151810640053,0.23632393622052952,0.1497827518666818,0.1445826380450708,0.13173769297459764,0.16915684484240096,0.051877592140624686,0.03666131684043947,0.2681284842348951,0.006692083381229486,0.20351238903806992
DIFFNKG.NS,0.2894781567724271,0.13989339064213402,,0.3858990256770546,0.2877953175519925,0.21258160516297508,0.3215526240312973,0.22093407342271182,0.1578300257644554,0.24738200465427776,0.17448646070547888,0.18680214536571244,0.22534159878303028,0.2046574842348177,0.2827038811035131,0.11600655710086581,1.0,0.1699654095780855,0.05780245142524626,0.178196656291132,0.25975440580095727,0.19148572523647514,0.19489309497850782,0.18287759414505877,0.23492075665181128,0.16353948128491794,0.06494184197566963,0.29029846674763354,0.20338107747563525,0.06075216823863901,0.2536857374498119
EMCURE.NS,0.17819830810361026,0.04927760553104718,,0.12792597959249521,0.07109677796704887,0.10135873603240185,0.08395694218836425,0.02292187274334975,0.21725810054234684,0.10058855978424591,0.045103957660701306,0.16981803476796498,0.02972071643029629,0.14339476560964673,0.06686852559384757,0.17940847692454376,0.1699654095780855,1.0,0.02656353427486939,0.12839526033623125,0.18238077503611877,0.14193056774776294,0.13609985047488873,0.08723574370464952,0.2505130004244532,0.13404254267166507,0.09150664563604544,0.13146415259944613,0.13622131853612257,0.00575118131788054,0.12126015123382834
GAYAPROJ.NS,0.07813095563037843,0.09853499543395769,,0.07298602191872927,-0.01613448643240883,0.0013613222645394354,0.10832607548753864,0.1190241485627844,-0.019064733982761612,0.11055923125486494,0.10492762140012729,0.053996988475108,0.14112312870984847,0.17821074437151577,0.0961937790402817,0.1857187981994624,0.05780245142524626,0.02656353427486939,1.0,-3.377571065125958e-05,0.11564168731986771,-0.03382351091498942,0.06899749173120232,-0.0018382489169916868,0.128666259848044,0.04523982496550202,-0.05357849849960787,0.1924785071689199,0.13832630154111994,0.1310224995442936,0.08285427627279923
GLAND.NS,0.02750628691028271,0.08847779533345736,,0.24761615296558487,0.08257092287932737,0.16653227047813443,0.22147269886897084,0.12421518891862152,0.2379740420721873,0.20608321665108043,0.10018818573797329,0.09770828996436355,0.030061356587088837,0.17003192073106274,0.1521662313091723,0.10033580235730843,0.178196656291132,0.12839526033623125,-3.377571065125958e-05,1.0,0.2417720659794509,0.15919286572641253,0.16405441641129515,0.18260958140033914,0.08260378487499259,0.005815586709558262,0.029569938678618086,0.06285510995844558,0.21950721289902705,0.06056154467176367,0.12603481758849203
GRANULES.NS,0.36961931645286633,0.1752521742860957,,0.41191804738758786,0.261381964954841,0.2676442460403016,0.3464447093428417,0.24215108181749484,0.2598302048378248,0.14086525259442706,0.25569737473278886,0.31460850872850227,0.1403972031424557,0.2625477912504351,0.34985232552558587,0.17726151810640053,0.25975440580095727,0.18238077503611877,0.11564168731986771,0.2417720659794509,1.0,0.25240607808045756,0.20207786434201658,0.2967745910568555,0.28400241230995676,0.32771143663335495,0.02306779147523285,0.2051538610234515,0.3195884125165065,0.09961612006343329,0.3117523032619193
