Capital,Max_ADV_Usage_%,Avg_Days_To_Exit,Bottleneck_Stock,Estimated_Max_Capacity,Pass_5pct_ADV_Rule,Capacity_Rating
1000000,0.13,0.0,HMVL,39207108.0,True,MEDIUM
5000000,0.64,0.02,HMVL,39207108.0,True,MEDIUM
10000000,1.28,0.04,HMVL,39207108.0,True,MEDIUM
25000000,3.19,0.09,HMVL,39207108.0,True,MEDIUM
50000000,6.38,0.18,HMVL,39207108.0,False,MEDIUM
100000000,12.75,0.36,HMVL,39207108.0,False,MEDIUM
